1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007055997-015767 | http://is6.auto.ru/all/images/10/9c/60x45/109c3d26.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 120 000 |  2002  |  151 200 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Зеленоград | 20.01.15
1007055757-c6273 | http://is10.auto.ru/all/images/7c/97/60x45/7c973212.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 39 000 |  1999  |  129 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Железнодорожный | 20.01.15
1006754491-dcc42 | http://is16.auto.ru/all/images/42/c5/60x45/42c51250.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 65 000 |  2003  |  4 321 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 20.01.15
1006936303-ca960 | http://is11.auto.ru/all/images/4b/09/60x45/4b09ca1f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 70 000 |  2001  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Курск | 20.01.15
49178484-f0d552 | http://is2.auto.ru/all/images/e6/f3/60x45/e6f32a39.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 70 000 |  2003  |  112 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1005710697-5aff | http://is13.auto.ru/all/images/8f/35/60x45/8f35573f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 55 000 |  1989  |  47 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007052695-d62b | http://is9.auto.ru/all/images/36/93/60x45/3693c991.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 110 000 |  2004  |  122 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Воронеж | 19.01.15
1007052583-bc5af | http://is8.auto.ru/all/images/8e/fe/60x45/8efe6315.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 68 000 |  2000  |  89 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Мытищи | 19.01.15
1006631867-ad6d45 | http://is18.auto.ru/all/images/dc/97/60x45/dc975aa0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 45 000 |  2001  |  240 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
50392050-bbf5b1 | http://is3.auto.ru/all/images/c6/27/60x45/c62704a8.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 95 000 |  2000  |  58 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ярославль | 19.01.15
1003410552-6df9b | http://is6.auto.ru/all/images/53/bd/60x45/53bd2d3e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 60 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Волгодонск | 19.01.15
1007051203-4085b | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 30 000 |  1994  |  110 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Смоленск | 19.01.15
1007050355-0f3e | http://is17.auto.ru/all/images/ec/dd/60x45/ecddc6a4.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 30 000 |  1996  |  120 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Таловая | 19.01.15
1006813183-7dfde4 | http://is2.auto.ru/all/images/55/24/60x45/5524ddf9.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 70 000 |  2001  |  197 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Кашира | 19.01.15
1007043115-0edaa | http://is6.auto.ru/all/images/88/2c/60x45/882ce3e1.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #ffefd5 | 25 000 |  1991  |  9 999 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Смоленск | 19.01.15
1003058754-dc1d8b | http://is9.auto.ru/all/images/01/d2/60x45/01d2fc41.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 55 000 |  1998  |  95 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Щелково | 19.01.15
1005910161-ba2a1 | http://is13.auto.ru/all/images/1d/9d/60x45/1d9de40f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 80 000 |  2003  |  107 492 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Алексин | 19.01.15
1004647429-cd5c0 | http://is2.auto.ru/all/images/19/65/60x45/196518d0.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 80 000 |  2000  |  210 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Железнодорожный | 19.01.15
1007049671-1890cb | http://is17.auto.ru/all/images/f5/2f/60x45/f52fab16.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 260 000 |  2005  |  3 500 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Сарапул | 19.01.15
1007049339-9881 | http://is4.auto.ru/all/images/a7/97/60x45/a797d7fa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 55 000 |  1998  |  30 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Клин | 19.01.15
1007049211-cf9116 | http://is15.auto.ru/all/images/88/0a/60x45/880a7a5b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 100 000 |  2001  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Энгельс | 19.01.15
1007048831-8f6b | http://is17.auto.ru/all/images/21/a6/60x45/21a64f9b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 55 000 |  2001  |  295 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
49864224-759c79 | http://is14.auto.ru/all/images/ed/dd/60x45/edddf7fa.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 90 000 |  1999  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Серпухов | 19.01.15
1007048591-9af7 | http://is12.auto.ru/all/images/98/83/60x45/98832c03.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 50 000 |  1999  |  99 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Покров | 19.01.15
1005504191-d276 | http://is11.auto.ru/all/images/4c/68/60x45/4c682200.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 130 000 |  2003  |  140 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воронеж | 19.01.15
1005971007-7976 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 40 000 |  1995  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Стрежевой | 19.01.15
1007048125-666895 | http://is18.auto.ru/all/images/c5/ea/60x45/c5ea5d36.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 100 000 |  2002  |  75 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Михайловка | 19.01.15
1007047767-7ab9f9 | http://is5.auto.ru/all/images/ad/a8/60x45/ada8b832.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 35 000 |  1999  |  110 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007048003-d4e7c0 | http://is17.auto.ru/all/images/d2/3d/60x45/d23d1ec7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 50 000 |  2001  |  140 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Киров | 19.01.15
1007047983-52674 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 45 000 |  2001  |  201 500 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1001548789-fd17 | http://is8.auto.ru/all/images/f4/de/60x45/f4de2567.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 75 000 |  1997  |  107 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Краснодар | 19.01.15
1007045825-55c219 | http://is16.auto.ru/all/images/af/c1/60x45/afc1c6cc.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 54 000 |  1994  |  110 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ульяновск | 19.01.15
1007045667-1387b8 | http://is15.auto.ru/all/images/3b/8a/60x45/3b8ab521.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 55 000 |  2004  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Вязьма | 19.01.15
1007044315-c604 | http://is7.auto.ru/all/images/c5/5c/60x45/c55c2f68.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 55 000 |  2001  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Серпухов | 19.01.15
1007044031-8d95 | http://is3.auto.ru/all/images/1f/3e/60x45/1f3ea2a3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 25 000 |  1996  |  95 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Калуга | 19.01.15
1007043725-07c9 | http://is2.auto.ru/all/images/f2/a5/60x45/f2a579e3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 68 000 |  1998  |  93 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тольятти | 19.01.15
1007042819-0295f | http://is8.auto.ru/all/images/a0/25/60x45/a025eae5.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 123 000 |  2003  |  228 100 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Белая Калитва | 19.01.15
1007042401-ce2595 | http://is7.auto.ru/all/images/55/81/60x45/55814c39.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 50 000 |  1991  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007042319-e07a0 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 55 000 |  2000  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007041951-ec01 | http://is15.auto.ru/all/images/a3/c8/60x45/a3c897d4.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 50 000 |  1993  |  300 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Коломна | 19.01.15
1001357561-d633 | http://is2.auto.ru/all/images/7e/aa/60x45/7eaa33b0.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 70 000 |  2002  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Серпухов | 19.01.15
1007041079-4c5bb | http://is9.auto.ru/all/images/16/66/60x45/16667b82.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 60 000 |  2003  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1005180149-e5236f | http://is18.auto.ru/all/images/37/f2/60x45/37f2e6a3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 55 000 |  2002  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1005180321-c625 | http://is9.auto.ru/all/images/66/08/60x45/6608bd0a.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 55 000 |  2002  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Королев | 19.01.15
1007037905-7194 | http://is8.auto.ru/all/images/aa/b6/60x45/aab6948b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 170 000 |  2003  |  40 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006676039-2f71 | http://is18.auto.ru/all/images/87/8b/60x45/878b7da8.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 125 000 |  2002  |  47 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Воскресенск | 19.01.15
1006982199-62b645 | http://is5.auto.ru/all/images/3a/0c/60x45/3a0cd4b1.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 35 000 |  1999  |  50 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ногинск | 19.01.15
1007037163-00ec6 | http://is10.auto.ru/all/images/9c/4a/60x45/9c4a72bb.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #FF0000 | 30 000 |  1993  |  110 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 19.01.15
1006860183-67dadd | http://is17.auto.ru/all/images/5f/8d/60x45/5f8d7ccd.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 47 000 |  1989  |  75 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007035049-a247b8 | http://is14.auto.ru/all/images/fa/f8/60x45/faf81dfc.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FF0000 | 60 000 |  2002  |  95 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тверь | 19.01.15
1006743379-f723a3 | http://is9.auto.ru/all/images/58/ea/60x45/58eabeb3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2003  |  212 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006752047-7a7f54 | http://is5.auto.ru/all/images/af/ab/60x45/afab0011.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 77 000 |  2000  |  174 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Липецк | 19.01.15
1006573549-3b03 | http://is16.auto.ru/all/images/d8/f6/60x45/d8f6b897.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 15 000 |  1995  |  287 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ивантеевка | 19.01.15
1007031933-e48980 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 30 000 |  2002  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ярославль | 19.01.15
1007023465-0993d3 | http://is13.auto.ru/all/images/df/26/60x45/df26e230.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 55 000 |  1998  |  155 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1006995227-529f | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0088ff | 100 000 |  2002  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Орел | 19.01.15
1006311409-dfe153 | http://is4.auto.ru/all/images/93/9b/60x45/939bf560.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 75 000 |  2000  |  50 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 19.01.15
1006635101-bcc1 | http://is18.auto.ru/all/images/24/62/60x45/2462d076.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 65 000 |  2004  |  90 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006994467-571f | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 125 000 |  2002  |  180 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Белгород | 19.01.15
1003637288-9ec6bf | http://is17.auto.ru/all/images/5c/96/60x45/5c9616a4.jpg |  ВАЗ 21091.6 MT (280 л.с.)  | #000000 | 200 000 |  2004  |  273 000 км  |  1.6 MT (280 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006739285-935a | http://is5.auto.ru/all/images/40/30/60x45/40303fad.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #CACECB | 200 000 |  1997  |  10 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Махачкала | 18.01.15
1006993373-96ca3 | http://is17.auto.ru/all/images/99/85/60x45/998568c6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFCC00 | 55 000 |  1999  |  10 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тверь | 18.01.15
1006746967-fcaec | http://is5.auto.ru/all/images/2c/20/60x45/2c2052bd.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 97 000 |  2001  |  91 580 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Энгельс | 18.01.15
1006993033-6835b | http://is14.auto.ru/all/images/12/9a/60x45/129aee83.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 65 000 |  1992  |  4 555 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Крымск | 18.01.15
1006748685-fddf | http://is18.auto.ru/all/images/2a/bb/60x45/2abb5949.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #0000FF | 45 000 |  1997  |  100 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Погар | 18.01.15
49258522-2bf9dc | http://is18.auto.ru/all/images/a6/59/60x45/a6594cd1.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 80 000 |  2003  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006811321-438e9 | http://is5.auto.ru/all/images/eb/03/60x45/eb03d7f5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 54 000 |  1997  |  149 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006992191-96a678 | http://is10.auto.ru/all/images/87/b6/60x45/87b625b3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 152 000 |  2005  |  200 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Майкоп | 18.01.15
1006469793-3981 | http://is4.auto.ru/all/images/96/01/60x45/96015909.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 140 000 |  2004  |  177 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Буйнакск | 18.01.15
1006991843-1f29 | http://is13.auto.ru/all/images/e3/c6/60x45/e3c615ff.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 75 000 |  1992  |  17 600 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Воронеж | 18.01.15
1006815053-a21d | http://is7.auto.ru/all/images/e6/0c/60x45/e60c7f85.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 25 000 |  1989  |  5 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тверь | 18.01.15
1006991581-ae2e16 | http://is4.auto.ru/all/images/f2/ce/60x45/f2cef6cf.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 105 000 |  2000  |  34 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Борисоглебск | 18.01.15
46624390-91a6 | http://is18.auto.ru/all/images/b7/19/60x45/b7197897.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 33 000 |  2002  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Гагарин | 18.01.15
1006738115-6e06 | http://is2.auto.ru/all/images/bb/db/60x45/bbdb5ce2.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 85 000 |  2003  |  80 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ракитное | 18.01.15
1006990693-887ec | http://is16.auto.ru/all/images/e6/a5/60x45/e6a5eb33.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 25 000 |  1991  |  161 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Железногорск | 18.01.15
1006989785-8ebf07 | http://is11.auto.ru/all/images/44/62/60x45/4462fe96.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 40 000 |  2001  |  15 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006810835-b2a1 | http://is3.auto.ru/all/images/7e/6f/60x45/7e6fc682.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 43 000 |  2000  |  127 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1005377027-28440 | http://is5.auto.ru/all/images/8a/bd/60x45/8abd40ab.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 65 000 |  1990  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 18.01.15
1006111099-ffe718 | http://is7.auto.ru/all/images/18/52/60x45/18526e33.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 52 000 |  1994  |  174 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Людиново | 18.01.15
1006809511-a8b88 | http://is1.auto.ru/all/images/f4/75/60x45/f475ed5e.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 80 000 |  2001  |  1 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тверь | 18.01.15
1003275486-24d86 | http://is3.auto.ru/all/images/04/c0/60x45/04c080e6.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 65 000 |  2002  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006988155-732646 | http://is2.auto.ru/all/images/d0/c5/60x45/d0c54cc5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 40 000 |  1999  |  98 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006987147-9f4cba | http://is16.auto.ru/all/images/f9/1c/60x45/f91c65cd.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 75 000 |  2003  |  175 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Подольск | 18.01.15
1006986297-77c8 | http://is15.auto.ru/all/images/27/05/60x45/2705e7db.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 58 000 |  1998  |  180 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 18.01.15
1006987441-29d9 | http://is15.auto.ru/all/images/fe/a0/60x45/fea0197b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 90 000 |  2003  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Рославль | 18.01.15
1004215787-0ecda | http://is11.auto.ru/all/images/73/d0/60x45/73d01ab1.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 110 000 |  2003  |  110 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006985821-bcd5 | http://is4.auto.ru/all/images/f0/0a/60x45/f00a2d1c.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 40 000 |  2001  |  170 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Чебоксары | 18.01.15
1006985401-efde0 | http://is1.auto.ru/all/images/4b/22/60x45/4b22ce6b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 110 000 |  2005  |  127 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Рязань | 18.01.15
1006688875-6f5947 | http://is11.auto.ru/all/images/58/fa/60x45/58fa66ab.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 85 000 |  2002  |  100 500 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Калуга | 18.01.15
48396074-9956 | http://is6.auto.ru/all/images/d7/bf/60x45/d7bfb5f3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 75 000 |  2001  |  12 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006984831-dffe | http://is2.auto.ru/all/images/fb/ca/60x45/fbcad4ff.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 99 000 |  2003  |  169 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тамбов | 18.01.15
1006982589-fc404 | http://is4.auto.ru/all/images/fd/48/60x45/fd489a2c.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 145 000 |  2005  |  250 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Геленджик | 18.01.15
1006742155-dd4c | http://is3.auto.ru/all/images/26/43/60x45/2643fdd8.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 160 000 |  2003  |  136 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006981627-e1fe7 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 100 000 |  2001  |  45 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 18.01.15
1006981549-59c111 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 75 000 |  2003  |  14 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1005812739-6f61 | http://is16.auto.ru/all/images/93/14/60x45/931485dd.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 35 000 |  1991  |  90 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006981039-1e5b1 | http://is12.auto.ru/all/images/a1/ac/60x45/a1ace94a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 39 000 |  1998  |  120 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 18.01.15
1006798891-9087 | http://is8.auto.ru/all/images/90/ee/60x45/90ee0e3a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 50 000 |  2000  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
