1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1006024095-914c1 | http://is14.auto.ru/all/images/87/bc/60x45/87bc1c28.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 173 723 |  2006  |  42 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Смоленск | 21.01.15
1004761545-37a1 | http://is11.auto.ru/all/images/17/de/60x45/17dee760.jpg |  ВАЗ 21141.5 MT (74 л.с.)  | #CACECB | 87 000 |  2006  |  129 000 км  |  1.5 MT (74 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 21.01.15
1007188011-8de0 | http://is16.auto.ru/all/images/15/c7/60x45/15c7a136.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 250 000 |  2011  |  49 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 21.01.15
1007187107-db80 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 220 000 |  2011  |  87 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Апастово | 21.01.15
1006751647-bf413 | http://is8.auto.ru/all/images/b1/d5/60x45/b1d56a29.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 100 000 |  2006  |  100 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1006805585-3daa4 | http://is17.auto.ru/all/images/8a/30/60x45/8a303153.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 275 000 |  2013  |  21 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Истра | 21.01.15
1007187649-b9f532 | http://is12.auto.ru/all/images/6c/6b/60x45/6c6b6241.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 143 000 |  2001  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1006796751-4de4b | http://is9.auto.ru/all/images/04/43/60x45/0443c8cd.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 140 000 |  2005  |  26 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007187077-a2431 | http://is11.auto.ru/all/images/59/d1/60x45/59d1d4ca.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 153 000 |  2007  |  144 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007187439-5a1d1 | http://is6.auto.ru/all/images/3f/25/60x45/3f252186.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 150 000 |  2009  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Дербент | 21.01.15
1007116275-e210f | http://is2.auto.ru/all/images/10/35/60x45/10353758.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 120 000 |  2005  |  108 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Пушкино | 21.01.15
1007186019-17cee | http://is2.auto.ru/all/images/8c/46/60x45/8c4693bb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9966CC | 245 000 |  2012  |  28 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Калуга | 21.01.15
1007186687-7b282 | http://is6.auto.ru/all/images/82/41/60x45/82410796.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 176 697 |  2008  |  120 785 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Новая Усмань | 21.01.15
1007186469-9b0cf0 | http://is8.auto.ru/all/images/ff/2c/60x45/ff2c113c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 145 000 |  2009  |  105 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007185699-1aad0 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 160 000 |  2008  |  36 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Бор | 21.01.15
1006878409-17e9 | http://is9.auto.ru/all/images/ee/db/60x45/eedb8fa3.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 195 000 |  2010  |  64 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007185863-cd8b0 | http://is2.auto.ru/all/images/63/2d/60x45/632dc6d6.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 100 000 |  2006  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007185933-8421e | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #9c9999 | 220 000 |  2010  |  25 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Гусь-Хрустальный | 21.01.15
1007185791-b269 | http://is6.auto.ru/all/images/49/be/60x45/49be2087.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 115 000 |  2006  |  118 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воронеж | 21.01.15
1006524459-a58b7 | http://is18.auto.ru/all/images/d9/d5/60x45/d9d5bf20.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 200 000 |  2011  |  71 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Армавир | 21.01.15
1007184805-60f2a | http://is8.auto.ru/all/images/0a/db/60x45/0adbd5e4.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 175 000 |  2010  |  62 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 21.01.15
1007181317-664e | http://is6.auto.ru/all/images/e1/cd/60x45/e1cdbb2e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CC0033 | 210 000 |  2011  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007185073-2f37f | http://is9.auto.ru/all/images/2f/fe/60x45/2ffec749.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 80 000 |  2004  |  80 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1005391447-13ccd5 | http://is2.auto.ru/all/images/79/b4/60x45/79b4d1a1.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 208 000 |  2012  |  44 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007184485-63534e | http://is2.auto.ru/all/images/3a/ab/60x45/3aabedcb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 108 000 |  2004  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1006358471-e9bb5 | http://is8.auto.ru/all/images/3d/6c/60x45/3d6c7291.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 180 000 |  2010  |  106 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Брянск | 21.01.15
1006367139-21bd | http://is15.auto.ru/all/images/51/66/60x45/5166395c.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #CACECB | 180 000 |  2010  |  85 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Рязань | 21.01.15
1006798455-2495 | http://is17.auto.ru/all/images/c0/d5/60x45/c0d5c1e3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 145 000 |  2007  |  210 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Брянск | 21.01.15
1007184271-d30a | http://is2.auto.ru/all/images/24/bd/60x45/24bdb165.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 175 000 |  2008  |  89 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Бутурлиновка | 21.01.15
1007113939-e3c658 | http://is6.auto.ru/all/images/94/65/60x45/9465ca91.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 110 000 |  2004  |  7 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тула | 21.01.15
1007184143-05dba8 | http://is4.auto.ru/all/images/f9/14/60x45/f914f783.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 119 888 |  2004  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007182861-b9bbe | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 244 000 |  2013  |  14 600 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тверь | 21.01.15
1007182591-6ffec | http://is18.auto.ru/all/images/65/f1/60x45/65f1de5e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 165 000 |  2007  |  83 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Владимир | 21.01.15
1007183709-697a | http://is4.auto.ru/all/images/63/ea/60x45/63ea7389.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 190 000 |  2011  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тверь | 21.01.15
1007183135-ef17a | http://is13.auto.ru/all/images/cf/87/60x45/cf87e9a1.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #34ba2b | 160 000 |  2011  |  90 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Подольск | 21.01.15
1007183127-f549 | http://is7.auto.ru/all/images/9c/f0/60x45/9cf002aa.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 190 000 |  2011  |  110 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Курск | 21.01.15
1006980047-073ecb | http://is5.auto.ru/all/images/98/3a/60x45/983a161d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FF0000 | 215 000 |  2011  |  65 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Павловский Посад | 21.01.15
1006628297-18f69c | http://is17.auto.ru/all/images/bc/c4/60x45/bcc4fa6a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 195 000 |  2011  |  90 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007172197-25af | http://is13.auto.ru/all/images/99/8f/60x45/998fec9f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 215 000 |  2010  |  40 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Белгород | 21.01.15
1006569879-b953d4 | http://is13.auto.ru/all/images/8e/93/60x45/8e9385d8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 125 000 |  2005  |  138 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тверь | 21.01.15
1002553397-1234ef | http://is6.auto.ru/all/images/7d/86/60x45/7d86ea10.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 140 000 |  2007  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воскресенск | 21.01.15
1007181345-6e44f9 | http://is6.auto.ru/all/images/29/fb/60x45/29fb42a4.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 190 000 |  2008  |  117 300 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Сладково | 21.01.15
1007054891-6479f | http://is14.auto.ru/all/images/ba/98/60x45/ba984504.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 230 000 |  2012  |  60 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пенза | 21.01.15
1006468323-5c15 | http://is8.auto.ru/all/images/c8/2d/60x45/c82dd240.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 220 000 |  2011  |  60 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007181799-b15a | http://is17.auto.ru/all/images/f5/b1/60x45/f5b19f88.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 155 000 |  2008  |  75 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пушкино | 21.01.15
1007105429-0b88 | http://is2.auto.ru/all/images/a5/ff/60x45/a5ff102e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 180 000 |  2011  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Волоколамск | 21.01.15
1007173633-7d9b5 | http://is2.auto.ru/all/images/a5/ff/60x45/a5ff102e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 180 000 |  2011  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007181375-91135 | http://is6.auto.ru/all/images/02/6d/60x45/026dacf4.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 145 000 |  2006  |  176 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тверь | 21.01.15
1007180297-c6124 | http://is6.auto.ru/all/images/62/ce/60x45/62ce738d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 280 000 |  2012  |  3 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007179507-371d5d | http://is6.auto.ru/all/images/39/f8/60x45/39f80264.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 100 000 |  2007  |  112 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Мытищи | 21.01.15
1007178715-fb5bfd | http://is5.auto.ru/all/images/44/52/60x45/44528760.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 165 000 |  2007  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Новомосковск | 21.01.15
1006369071-27283 | http://is17.auto.ru/all/images/99/ef/60x45/99ef348b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 120 000 |  2004  |  20 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Переславль-Залесский | 21.01.15
1007179373-196d73 | http://is5.auto.ru/all/images/b0/b1/60x45/b0b1024d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 105 000 |  2006  |  134 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Дмитров | 21.01.15
1007178799-c2a3be | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 238 000 |  2012  |  38 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Моршанск | 21.01.15
1007178141-b53f | http://is2.auto.ru/all/images/72/8c/60x45/728c4e9f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFFFFF | 200 000 |  2012  |  50 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Братск | 21.01.15
1007177929-593b | http://is9.auto.ru/all/images/c0/7b/60x45/c07be289.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 190 000 |  2008  |  138 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Анапа | 21.01.15
1007177769-fe24e2 | http://is7.auto.ru/all/images/89/b9/60x45/89b9bb21.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 130 000 |  2008  |  119 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Лесосибирск | 21.01.15
1006810591-fd28 | http://is4.auto.ru/all/images/b2/a6/60x45/b2a60f7e.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 135 000 |  2005  |  130 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007175867-340e | http://is18.auto.ru/all/images/bd/0a/60x45/bd0a33a2.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 210 000 |  2009  |  120 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007177213-6fe1 | http://is4.auto.ru/all/images/df/2e/60x45/df2e9a94.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 125 000 |  2005  |  131 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1007176461-91c8 | http://is18.auto.ru/all/images/52/e7/60x45/52e73cc1.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 90 000 |  2005  |  164 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ярославль | 21.01.15
1007175311-0d5c | http://is10.auto.ru/all/images/b9/ac/60x45/b9ac0aa9.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 200 000 |  2012  |  49 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Чебоксары | 21.01.15
1007175941-4998 | http://is5.auto.ru/all/images/e2/e1/60x45/e2e11125.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 235 000 |  2011  |  50 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Липецк | 21.01.15
1007175905-c59c45 | http://is9.auto.ru/all/images/ba/92/60x45/ba9263a3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0088ff | 135 000 |  2004  |  190 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Черкесск | 21.01.15
1007175737-ac0d1 | http://is2.auto.ru/all/images/bd/be/60x45/bdbed1ba.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0088ff | 155 000 Правый руль |  2009  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Калуга | 21.01.15
1007175687-f3fc57 | http://is8.auto.ru/all/images/ac/c0/60x45/acc0dfff.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 115 000 |  2005  |  154 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рязань | 21.01.15
1006870225-9cc4a | http://is11.auto.ru/all/images/36/d5/60x45/36d56c19.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 60 000 |  2004  |  11 111 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 21.01.15
1005165637-5d4ef | http://is10.auto.ru/all/images/8e/7e/60x45/8e7ee876.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 145 000 |  2009  |  104 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Рузаевка | 21.01.15
1007175041-dae9 | http://is3.auto.ru/all/images/25/05/60x45/250571dc.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 170 000 |  2008  |  94 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Знаменское | 21.01.15
1007039175-8f13fa | http://is9.auto.ru/all/images/ae/91/60x45/ae91b0fe.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #34ba2b | 190 000 |  2010  |  78 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 21.01.15
1003909006-e443ba | http://is18.auto.ru/all/images/f3/ca/60x45/f3ca7eca.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #926547 | 165 000 |  2008  |  120 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007174691-1176bc | http://is3.auto.ru/all/images/9b/a9/60x45/9ba9818e.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 150 000 |  2007  |  110 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 21.01.15
1006992289-f193 | http://is8.auto.ru/all/images/33/b2/60x45/33b2b581.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 125 000 |  2005  |  60 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Петрозаводск | 21.01.15
1006862585-7881 | http://is18.auto.ru/all/images/21/b7/60x45/21b7b627.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 85 000 |  2005  |  99 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Курск | 21.01.15
1007173679-2b9700 | http://is12.auto.ru/all/images/9a/3f/60x45/9a3fb2ec.jpg |  ВАЗ 21141.6 MT (74 л.с.)  | #CACECB | 95 000 |  2004  |  140 000 км  |  1.6 MT (74 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1007174081-3707c | http://is5.auto.ru/all/images/f1/c2/60x45/f1c26949.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0000FF | 85 000 |  2007  |  113 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Вологда | 21.01.15
1007172901-31c8 | http://is8.auto.ru/all/images/be/02/60x45/be02811e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 115 000 |  2008  |  113 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1006929471-27038c | http://is9.auto.ru/all/images/3b/8c/60x45/3b8cd32e.jpg |  ВАЗ 21141.5 MT (77 л.с.)  | #9c9999 | 79 000 |  2006  |  114 000 км  |  1.5 MT (77 л.с.)хэтчбек, бензин, передний  | Владимир | 21.01.15
1007173499-78034d | http://is5.auto.ru/all/images/e4/d2/60x45/e4d2f506.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 95 000 |  2006  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007173373-a28f0 | http://is18.auto.ru/all/images/fe/8f/60x45/fe8f50ac.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 95 000 |  2006  |  130 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Иваново | 21.01.15
1007037611-c81a | http://is16.auto.ru/all/images/4e/b2/60x45/4eb20729.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 100 000 |  2004  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рязань | 21.01.15
1007171383-12ae42 | http://is8.auto.ru/all/images/9c/e8/60x45/9ce8f493.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 125 000 |  2008  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1006802105-c92a | http://is16.auto.ru/all/images/53/eb/60x45/53ebaf90.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 262 900 |  2013  |  22 850 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1007170937-f2236 | http://is12.auto.ru/all/images/29/4a/60x45/294a5df1.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 155 000 |  2007  |  59 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1006069469-a738ca | http://is2.auto.ru/all/images/52/fc/60x45/52fcda5f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 249 000 |  2012  |  66 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1002157023-b92f1e | http://is7.auto.ru/all/images/34/1c/60x45/341c0e62.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 214 990 |  2011  |  81 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1006796037-5a63 | http://is6.auto.ru/all/images/1c/67/60x45/1c672068.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 219 990 |  2011  |  62 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1004019884-946b0 | http://is2.auto.ru/all/images/8c/4d/60x45/8c4d1cb0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 230 000 |  2011  |  19 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1005426607-436b | http://is4.auto.ru/all/images/80/07/60x45/8007cb9d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 230 000 |  2009  |  25 730 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 21.01.15
1002939486-11a424 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (77 л.с.)  | #34ba2b | 105 000 |  2006  |  117 000 км  |  1.5 MT (77 л.с.)хэтчбек, бензин, передний  | Кострома | 21.01.15
1003979426-3378 | http://is12.auto.ru/all/images/6d/10/60x45/6d10c28f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 78 000 |  2005  |  106 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Новомичуринск | 21.01.15
1003610144-4dc4 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 110 000 |  2007  |  20 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нальчик | 21.01.15
1006524515-8ab84e | http://is10.auto.ru/all/images/dd/dd/60x45/dddd1b8a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 250 000 |  2012  |  47 500 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007171005-72a272 | http://is16.auto.ru/all/images/da/10/60x45/da1071ae.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 50 000 |  2004  |  140 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Иваново | 21.01.15
1004215565-9427b | http://is18.auto.ru/all/images/d2/98/60x45/d29810d8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 120 000 |  2006  |  98 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1004695427-569ff3 | http://is8.auto.ru/all/images/76/d9/60x45/76d90bdb.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 132 000 |  2007  |  94 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
