1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1004223319-3f72 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf V1.6 AT (102 л.с.)  | #CACECB | 540 000 |  2008  |  54 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
47028078-dcf1 | http://is18.auto.ru/all/images/dc/8b/60x45/dc8ba8af.jpg |  Volkswagen Golf V1.4 MT (80 л.с.)  | #0000FF | 570 000 |  2007  |  88 120 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005319811-8e618 | http://is17.auto.ru/all/images/6d/2b/60x45/6d2b21a2.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 650 000 |  2012  |  23 540 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Котельники | 21.01.15
48257226-c9cf24 | http://is16.auto.ru/all/images/ac/c3/60x45/acc3b00a.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #FFFFFF | 600 000 |  2012  |  32 000 км  |  1.4 MT (80 л.с.)универсал, бензин, передний  | Владикавказ | 21.01.15
1007188635-81436 | http://is6.auto.ru/all/images/a4/d6/60x45/a4d65cd8.jpg |  Volkswagen Golf III1.9d MT (75 л.с.)  | #000000 | 165 000 |  1992  |  1 000 км  |  1.9d MT (75 л.с.)хэтчбек, дизель, передний  | Брянск | 21.01.15
1007188001-fffb | http://is11.auto.ru/all/images/a2/a2/60x45/a2a2bfae.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 600 000 |  2009  |  118 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1004847953-ea3e | http://is12.auto.ru/all/images/b1/ba/60x45/b1ba2170.jpg |  Volkswagen Golf IV1.9d MT (68 л.с.)  | #34ba2b | 177 000 |  1998  |  240 000 км  |  1.9d MT (68 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 21.01.15
1006993689-30ec | http://is8.auto.ru/all/images/be/ad/60x45/bead4073.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #0000FF | 450 000 |  2008  |  150 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
41912686-d0fd | http://is8.auto.ru/all/images/38/d6/60x45/38d6457d.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 220 000 |  2000  |  267 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Ярославль | 21.01.15
48539452-6454 | http://is11.auto.ru/all/images/73/0b/60x45/730b320a.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 430 000 |  2006  |  100 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Смоленск | 21.01.15
1004076950-6ffb | http://is12.auto.ru/all/images/d1/b9/60x45/d1b960f7.jpg |  Volkswagen Golf II1.6 AT (75 л.с.)  | #FFCC00 | 60 000 |  1988  |  230 000 км  |  1.6 AT (75 л.с.)хэтчбек, бензин, передний  | Пушкино | 21.01.15
1007187959-b3744 | http://is18.auto.ru/all/images/0c/34/60x45/0c343fbd.jpg |  Volkswagen Golf V2.0 AT (150 л.с.)  | #FF0000 | 480 000 |  2005  |  200 000 км  |  2.0 AT (150 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007187251-7d928 | http://is16.auto.ru/all/images/95/48/60x45/95489eed.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #FF0000 | 220 000 |  2002  |  270 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Домодедово | 21.01.15
1006928275-58aaac | http://is15.auto.ru/all/images/06/25/60x45/0625e006.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #34ba2b | 160 000 |  1997  |  180 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007186077-2915 | http://is5.auto.ru/all/images/a8/d7/60x45/a8d7ef50.jpg |  Volkswagen Golf VI1.4 AT  | #000000 | 593 000 |  2011  |  38 000 км  |  1.4 ATхэтчбек, бензин, передний  | Москва | 21.01.15
1006162141-325810 | http://is10.auto.ru/all/images/14/69/60x45/1469b286.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #000000 | 135 000 |  1997  |  250 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Орел | 21.01.15
1006470421-b3e25 | http://is10.auto.ru/all/images/4f/7b/60x45/4f7bc8c7.jpg |  Volkswagen Golf II1.6d MT (54 л.с.)  | #fde910 | 85 000 |  1987  |  350 000 км  |  1.6d MT (54 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 21.01.15
36901618-e2b50 | http://is7.auto.ru/all/images/bd/dc/60x45/bddc2dcb.jpg |  Volkswagen Golf II1.8 MT (117 л.с.)  | #FF9966 | 75 000 |  1987  |  196 000 км  |  1.8 MT (117 л.с.)хэтчбек, бензин, передний  | Владимир | 21.01.15
9959496-75c8f | http://is9.auto.ru/all/images/80/20/60x45/80209505.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #CACECB | 555 000 |  2010  |  31 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Волгоград | 21.01.15
1007185295-0648 | http://is4.auto.ru/all/images/81/c2/60x45/81c2c415.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FFFFFF | 255 555 |  2005  |  69 300 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005443215-a697c | http://is9.auto.ru/all/images/f0/d0/60x45/f0d04919.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #000000 | 865 000 |  2011  |  9 800 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Раменское | 21.01.15
1007184579-7ba5 | http://is4.auto.ru/all/images/c1/da/60x45/c1daf6e8.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #0000FF | 345 000 |  2003  |  170 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007183795-aa91d | http://is2.auto.ru/all/images/7b/1e/60x45/7b1ed06e.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 411 100 |  2008  |  68 540 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007183569-63bf | http://is12.auto.ru/all/images/28/25/60x45/2825c704.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 269 000 |  2000  |  174 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007182263-3266 | http://is18.auto.ru/all/images/ef/8c/60x45/ef8c304b.jpg |  Volkswagen Golf III1.6 MT (101 л.с.)  | #FF0000 | 105 000 |  1995  |  150 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1004965911-19eb | http://is15.auto.ru/all/images/17/ba/60x45/17ba64ab.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #FFFFFF | 240 000 |  2002  |  160 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Киржач | 21.01.15
1007181715-ee79 | http://is6.auto.ru/all/images/3e/da/60x45/3eda00a7.jpg |  Volkswagen Golf III1.8 AT (75 л.с.)  | #0000FF | 145 000 |  1994  |  80 000 км  |  1.8 AT (75 л.с.)хэтчбек, бензин, передний  | Курск | 21.01.15
1007113751-a248a6 | http://is7.auto.ru/all/images/46/a4/60x45/46a4cc73.jpg |  Volkswagen Golf V1.6 AT (115 л.с.)  | #0000FF | 370 000 |  2005  |  190 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Орел | 21.01.15
1007109611-29a46 | http://is4.auto.ru/all/images/22/93/60x45/229344e7.jpg |  Volkswagen Golf VII1.2 MT (105 л.с.)  | #0000FF | 815 000 |  2012  |  10 100 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Зеленоград | 21.01.15
1005386971-cfe8 | http://is5.auto.ru/all/images/13/9a/60x45/139a7d8e.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FFFFFF | 585 000 |  2010  |  139 675 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005038103-4e36 | http://is17.auto.ru/all/images/2e/17/60x45/2e1765f0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 599 000 |  2010  |  86 379 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007181507-64987e | http://is9.auto.ru/all/images/53/31/60x45/5331cb61.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 885 000 |  2013  |  3 900 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Махачкала | 21.01.15
1007111805-487b2 | http://is18.auto.ru/all/images/99/fe/60x45/99feb727.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0000FF | 650 000 |  2010  |  47 773 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006749359-d45f | http://is11.auto.ru/all/images/24/11/60x45/241130c8.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #CACECB | 510 000 |  2012  |  101 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007181123-0d3d1 | http://is9.auto.ru/all/images/f8/fe/60x45/f8fe430c.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #000000 | 190 000 |  1999  |  300 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1003417484-e379 | http://is16.auto.ru/all/images/59/00/60x45/5900a570.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #FF0000 | 415 000 |  2007  |  120 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Тверь | 21.01.15
1007180167-b597b0 | http://is2.auto.ru/all/images/e3/aa/60x45/e3aac529.jpg |  Volkswagen Golf IV2.3 MT (150 л.с.)  | #0000FF | 258 000 |  1998  |  350 000 км  |  2.3 MT (150 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007178135-8b06 | http://is9.auto.ru/all/images/3c/a6/60x45/3ca63206.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #FF0000 | 200 000 |  1999  |  218 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Саранск | 21.01.15
1004547017-01cd3f | http://is13.auto.ru/all/images/87/9e/60x45/879edf6f.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 365 000 |  2005  |  130 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1001569505-124dd | http://is14.auto.ru/all/images/85/e4/60x45/85e4c870.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 670 000 |  2011  |  58 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Воронеж | 21.01.15
1006866593-edc1 | http://is5.auto.ru/all/images/00/4e/60x45/004e0fdd.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #0000FF | 435 000 |  2007  |  124 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007175787-86c84 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #FFFFFF | 545 000 |  2011  |  26 300 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Верхняя Пышма | 21.01.15
1005565905-5b8c | http://is15.auto.ru/all/images/ec/72/60x45/ec727571.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 679 000 |  2011  |  60 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007166879-4100e | http://is7.auto.ru/all/images/06/ad/60x45/06adfb1d.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 510 000 |  2008  |  61 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007175633-2fcb3 | http://is8.auto.ru/all/images/6b/dd/60x45/6bdda733.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FFFFFF | 680 000 |  2012  |  11 025 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007175399-7a2b14 | http://is5.auto.ru/all/images/f3/15/60x45/f3156790.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #CACECB | 235 000 |  2000  |  157 235 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Санкт-Петербург | 21.01.15
1007174835-a02c8 | http://is12.auto.ru/all/images/1c/81/60x45/1c816793.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #CACECB | 655 000 |  2011  |  29 751 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Белгород | 21.01.15
1007174775-b580 | http://is12.auto.ru/all/images/64/94/60x45/6494d461.jpg |  Volkswagen Golf II1.3 MT (55 л.с.)  | #0000FF | 55 000 |  1985  |  96 000 км  |  1.3 MT (55 л.с.)хэтчбек, бензин, передний  | Касимов | 21.01.15
1007174721-0d3c4a | http://is11.auto.ru/all/images/3a/dd/60x45/3addc790.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 607 000 |  2010  |  88 249 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006517501-742bb | http://is17.auto.ru/all/images/38/11/60x45/381151cd.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #0000FF | 80 000 |  1988  |  127 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007038821-ef03d8 | http://is13.auto.ru/all/images/f6/78/60x45/f67869fe.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 610 000 |  2010  |  69 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007172547-86e57 | http://is5.auto.ru/all/images/90/a9/60x45/90a94813.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 225 000 |  2001  |  190 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Вязьма | 21.01.15
1005637425-700d | http://is18.auto.ru/all/images/32/cd/60x45/32cd19ae.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #000000 | 300 000 |  2003  |  285 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Иваново | 21.01.15
41029988-164f3 | http://is5.auto.ru/all/images/95/32/60x45/95325201.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #CACECB | 420 000 |  2008  |  108 500 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1006929517-5a4d3c | http://is9.auto.ru/all/images/f3/da/60x45/f3da3bc5.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #CACECB | 915 000 |  2013  |  40 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007171503-482083 | http://is12.auto.ru/all/images/01/51/60x45/015114c7.jpg |  Volkswagen Golf III1.6 MT (101 л.с.)  | #9c9999 | 84 990 |  1994  |  94 234 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007168413-6217 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf V1.4 MT (80 л.с.)  | #9c9999 | 490 000 |  2007  |  80 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Владимир | 21.01.15
1007165651-d5a2c | http://is16.auto.ru/all/images/d2/5a/60x45/d25a0f90.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #0000FF | 288 888 |  2004  |  121 769 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005104889-29aae | http://is17.auto.ru/all/images/a4/8f/60x45/a48f59a5.jpg |  Volkswagen Golf VII1.6 AT (110 л.с.)  | #FFFFFF | 1 096 850 |  2014  |  6 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005105051-b389 | http://is17.auto.ru/all/images/49/a4/60x45/49a4bba3.jpg |  Volkswagen Golf VII1.6 AT (110 л.с.)  | #FF0000 | 1 160 700 |  2014  |  5 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007165109-b66aa8 | http://is14.auto.ru/all/images/ee/7a/60x45/ee7ad8df.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 470 000 |  2008  |  93 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Серпухов | 21.01.15
1005918979-29c29 | http://is12.auto.ru/all/images/6d/d4/60x45/6dd46c5c.jpg |  Volkswagen Golf III2.0 MT (115 л.с.)  | #9966CC | 140 000 |  1992  |  370 000 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Белгород | 21.01.15
1004345489-a0eb | http://is6.auto.ru/all/images/1f/5e/60x45/1f5e5a44.jpg |  Volkswagen Golf VII1.2 AT (105 л.с.)  | #FFFFFF | 850 000 |  2013  |  22 222 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
1006685227-756bed | http://is18.auto.ru/all/images/78/fa/60x45/78fad682.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #CACECB | 565 000 |  2010  |  76 170 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007165647-1740e | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf III1.8 MT (90 л.с.)  | #9966CC | 90 000 |  1997  |  250 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 21.01.15
49614820-5adb | http://is18.auto.ru/all/images/80/bc/60x45/80bc3859.jpg |  Volkswagen Golf II1.8 MT (90 л.с.)  | #0000FF | 110 000 |  1987  |  170 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Руза | 21.01.15
1005634353-6945 | http://is9.auto.ru/all/images/3c/f5/60x45/3cf569e0.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #0000FF | 140 000 |  1984  |  98 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007167385-d6a0 | http://is2.auto.ru/all/images/73/90/60x45/7390cca9.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0000FF | 275 000 |  2001  |  154 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Пенза | 21.01.15
1007167831-ce414 | http://is17.auto.ru/all/images/f9/24/60x45/f924e537.jpg |  Volkswagen Golf II1.6d MT (70 л.с.)  | #CACECB | 60 000 |  1985  |  219 000 км  |  1.6d MT (70 л.с.)хэтчбек, дизель, передний  | Медвежьегорск | 21.01.15
1007166935-65ba8 | http://is6.auto.ru/all/images/a1/29/60x45/a129894d.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 690 000 |  2012  |  26 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Орел | 21.01.15
1007166649-da9691 | http://is3.auto.ru/all/images/a5/01/60x45/a501c8c4.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 610 000 |  2010  |  100 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
349698-3e69 | http://is7.auto.ru/all/images/3a/aa/60x45/3aaae1f4.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 349 000 |  2004  |  132 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007115319-58100 | http://is9.auto.ru/all/images/11/3d/60x45/113d06d2.jpg |  Volkswagen Golf VI1.8 AT (160 л.с.)  | #CACECB | 690 000 |  2012  |  31 745 км  |  1.8 AT (160 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007165655-1147 | http://is13.auto.ru/all/images/5d/fb/60x45/5dfbf74e.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 333 333 |  2005  |  78 451 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007147871-d8f53 | http://is2.auto.ru/all/images/b2/11/60x45/b211ec65.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 455 555 |  2009  |  52 420 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007165463-b83b | http://is9.auto.ru/all/images/70/b7/60x45/70b7eb4d.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #CACECB | 330 000 |  2003  |  144 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006517965-11406b | http://is1.auto.ru/all/images/f5/39/60x45/f539563a.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 672 000 |  2011  |  54 531 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007164561-18a7 | http://is12.auto.ru/all/images/02/d9/60x45/02d99afb.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 380 000 |  2005  |  160 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007164141-7b448 | http://is9.auto.ru/all/images/93/37/60x45/9337d0e7.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FF0000 | 580 000 |  2008  |  86 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Омск | 21.01.15
1007159803-92b194 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf II1.8 MT (84 л.с.)  | #0088ff | 85 000 |  1986  |  120 000 км  |  1.8 MT (84 л.с.)хэтчбек, бензин, передний  | Котельниково | 21.01.15
1006862497-ddedb5 | http://is6.auto.ru/all/images/fd/aa/60x45/fdaa7e9a.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #000000 | 599 900 |  2012  |  34 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1005043723-4e105e | http://is8.auto.ru/all/images/c5/b5/60x45/c5b5d9fd.jpg |  Volkswagen Golf II1.6 MT (72 л.с.)  | #FF0000 | 27 000 |  1989  |  999 000 км  |  1.6 MT (72 л.с.)хэтчбек, бензин, передний  | Думиничи | 21.01.15
50265328-28c68f | http://is13.auto.ru/all/images/b7/86/60x45/b7866115.jpg |  Volkswagen Golf III1.6 MT (101 л.с.)  | #FF0000 | 125 000 |  1996  |  268 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
1007159579-2cf67c | http://is2.auto.ru/all/images/8d/4e/60x45/8d4ee9a7.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FF0000 | 110 000 |  1992  |  120 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Железногорск | 21.01.15
1006811867-9b00 | http://is8.auto.ru/all/images/2c/77/60x45/2c77ad78.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #FFFFFF | 299 000 |  2002  |  107 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007159385-54445 | http://is8.auto.ru/all/images/5c/40/60x45/5c4063b5.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 225 000 |  2001  |  200 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1002664459-a70d | http://is16.auto.ru/all/images/92/0a/60x45/920a8899.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 500 000 |  2008  |  98 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Воронеж | 21.01.15
1006619195-f83d | http://is6.auto.ru/all/images/2f/4d/60x45/2f4d1d22.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 243 999 |  2003  |  208 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Тверь | 21.01.15
1007112485-a71bc | http://is3.auto.ru/all/images/17/14/60x45/17144918.jpg |  Volkswagen Golf VII1.2 MT (105 л.с.)  | #9c9999 | 750 000 |  2013  |  3 000 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Иваново | 21.01.15
1007158717-3a72bb | http://is18.auto.ru/all/images/b8/e1/60x45/b8e108ea.jpg |  Volkswagen Golf II1.8 MT (90 л.с.)  | #0000FF | 50 000 |  1986  |  1 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007158535-7cf0 | http://is10.auto.ru/all/images/0e/f7/60x45/0ef7be41.jpg |  Volkswagen Golf VI1.8 AT (160 л.с.)  | #000000 | 488 000 |  2009  |  67 000 км  |  1.8 AT (160 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006621827-76eca | http://is2.auto.ru/all/images/02/3f/60x45/023ff5e1.jpg |  Volkswagen Golf V1.4 MT (75 л.с.)  | #000000 | 310 000 |  2004  |  190 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Коломна | 21.01.15
1007156885-d0e0c | http://is2.auto.ru/all/images/91/86/60x45/91865e26.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #CACECB | 495 000 |  2010  |  108 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 21.01.15
1007152333-ce3d | http://is18.auto.ru/all/images/88/fc/60x45/88fc7dd8.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #FF0000 | 120 000 |  1992  |  190 210 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007153437-40ec32 | http://is8.auto.ru/all/images/30/10/60x45/30104cb3.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #CACECB | 330 000 |  2001  |  222 222 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007152871-0a67b | http://is17.auto.ru/all/images/15/a7/60x45/15a70db7.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #9c9999 | 539 000 |  2009  |  73 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 21.01.15
1007152511-ee1dd | http://is9.auto.ru/all/images/8c/c4/60x45/8cc40f0d.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 340 000 |  2006  |  137 395 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007152445-538212 | http://is2.auto.ru/all/images/03/81/60x45/0381fb1a.jpg |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #926547 | 50 000 |  1988  |  195 000 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Москва | 21.01.15
1007152251-953d15 | http://is17.auto.ru/all/images/41/e5/60x45/41e5d64a.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 444 444 |  2007  |  89 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
