1006870167-2d0d4 | http://is13.auto.ru/all/images/26/90/60x45/26908ec0.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 345 000 |  2012  |  25 600 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007166075-53be11 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #FFFFFF | 60 000 |  1988  |  165 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Краснощеково | 21.01.15
1007164725-da08 | http://is16.auto.ru/all/images/d3/78/60x45/d3783514.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 550 000 |  2013  |  23 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Троицк | 21.01.15
1007164643-9c56 | http://is17.auto.ru/all/images/30/2e/60x45/302e6579.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 180 000 |  2007  |  73 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007164659-6e8d | http://is5.auto.ru/all/images/a6/72/60x45/a672ff89.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9c9999 | 325 000 |  2013  |  35 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Саранск | 21.01.15
1002103923-3b5bc | http://is16.auto.ru/all/images/17/c9/60x45/17c9c9e6.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 125 000 |  1994  |  135 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Клин | 21.01.15
1007165431-739e | http://is14.auto.ru/all/images/93/61/60x45/9361fe47.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 400 000 |  2013  |  20 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Краснодар | 21.01.15
1007165411-5be4b5 | http://is6.auto.ru/all/images/90/dd/60x45/90dd319c.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 105 000 |  2002  |  100 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Шатура | 21.01.15
1006517923-08e9 | http://is3.auto.ru/all/images/8d/3b/60x45/8d3b3cdc.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #34ba2b | 175 000 |  1999  |  14 500 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Белгород | 21.01.15
1007163273-e72cb | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 375 000 |  2013  |  19 900 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Череповец | 21.01.15
1007096039-f22d | http://is15.auto.ru/all/images/c9/ad/60x45/c9ad57eb.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 470 000 |  2014  |  1 450 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Ростов-на-Дону | 21.01.15
40812770-4904 | http://is10.auto.ru/all/images/63/05/60x45/6305dcdd.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 105 000 |  2000  |  123 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Клин | 21.01.15
44612586-f879d | http://is8.auto.ru/all/images/4e/95/60x45/4e95d4e7.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #CC0033 | 220 000 |  2009  |  63 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1006813817-8850 | http://is2.auto.ru/all/images/bb/82/60x45/bb82ad8c.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 200 000 |  2006  |  68 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007160017-1f00 | http://is9.auto.ru/all/images/38/bc/60x45/38bc8aee.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9966CC | 165 000 |  2000  |  71 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007161925-34984 | http://is6.auto.ru/all/images/ef/dd/60x45/efdd1d84.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 250 000 |  2010  |  100 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Ступино | 21.01.15
47693504-a98b4 | http://is15.auto.ru/all/images/33/3b/60x45/333be4d8.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 433 000 |  2011  |  7 400 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Электросталь | 21.01.15
1007159449-4539 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #ffefd5 | 65 000 |  1996  |  130 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Старый Оскол | 21.01.15
48114962-97d0e4 | http://is13.auto.ru/all/images/84/e7/60x45/84e72640.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 170 000 |  2000  |  61 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007160253-6442 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 170 000 |  2001  |  90 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Миллерово | 21.01.15
27549516-fe171b | http://is5.auto.ru/all/images/4b/61/60x45/4b610385.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 310 000 |  2012  |  23 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 21.01.15
1006159683-5045f | http://is11.auto.ru/all/images/fd/e0/60x45/fde0bcd8.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 140 000 |  2002  |  101 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Серпухов | 21.01.15
1007158695-f9ee | http://is18.auto.ru/all/images/ba/4d/60x45/ba4df017.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 257 000 |  2006  |  88 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 21.01.15
1007158503-f6d68 | http://is7.auto.ru/all/images/33/11/60x45/331176ca.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 355 111 |  2012  |  45 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1003894928-6d421 | http://is8.auto.ru/all/images/7c/6d/60x45/7c6d086f.jpg |  ВАЗ 2121 (4x4) 212171.6 MT (73 л.с.) 4WD  | #34ba2b | 55 000 |  1995  |  178 000 км  |  1.6 MT (73 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 21.01.15
1006259877-ff45c4 | http://is9.auto.ru/all/images/8e/ac/60x45/8eaca340.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 450 000 |  2014  |  2 400 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Клин | 21.01.15
1007055881-d2ab7 | http://is5.auto.ru/all/images/ed/68/60x45/ed687a4c.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 200 000 |  2014  |  100 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007099879-c99a | http://is6.auto.ru/all/images/5e/5a/60x45/5e5ad85b.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 270 000 |  2009  |  78 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Липецк | 21.01.15
1007153285-b2d6c7 | http://is17.auto.ru/all/images/04/e9/60x45/04e97f5c.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9c9999 | 280 000 |  2002  |  2 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007151889-be458 | http://is14.auto.ru/all/images/e0/89/60x45/e0890661.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 229 888 |  2007  |  96 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 21.01.15
1007146777-80c1 | http://is18.auto.ru/all/images/1c/bd/60x45/1cbd73ee.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #000000 | 110 000 |  1991  |  40 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 21.01.15
1007141691-e929bb | http://is9.auto.ru/all/images/9b/23/60x45/9b236ebc.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 85 000 |  1999  |  97 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007140937-954e | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9966CC | 155 000 |  2001  |  102 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 21.01.15
1006672373-fa29 | http://is9.auto.ru/all/images/9b/62/60x45/9b62fa43.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 219 000 |  2002  |  123 456 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Дубна | 21.01.15
1007119453-b045 | http://is2.auto.ru/all/images/d6/df/60x45/d6df82ad.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 350 000 |  2012  |  61 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Егорлыкская | 21.01.15
1007119567-9b6c | http://is11.auto.ru/all/images/5c/32/60x45/5c320a56.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #000000 | 800 000 |  2014  |  2 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 21.01.15
1005930031-184a1b | http://is3.auto.ru/all/images/d9/33/60x45/d93355c2.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 600 000 |  2014  |  11 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 21.01.15
1007101511-8f3806 | http://is15.auto.ru/all/images/56/f1/60x45/56f1ecb4.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 300 000 |  2012  |  8 800 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007118177-5e4c37 | http://is9.auto.ru/all/images/95/ef/60x45/95ef3105.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #9966CC | 120 000 |  2002  |  140 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 20.01.15
1007117431-348b7 | http://is17.auto.ru/all/images/68/7b/60x45/687b687d.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 390 000 |  2014  |  1 367 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Богучар | 20.01.15
1007116727-8c13 | http://is2.auto.ru/all/images/14/66/60x45/1466dca8.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 80 000 |  1998  |  200 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 20.01.15
1007116953-8301a | http://is11.auto.ru/all/images/75/04/60x45/7504fa09.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 105 000 |  1999  |  190 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Чебоксары | 20.01.15
1007108697-36b8e | http://is9.auto.ru/all/images/dc/f7/60x45/dcf76c18.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 100 000 |  2000  |  139 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Егорьевск | 20.01.15
1007116125-ca3cdb | http://is15.auto.ru/all/images/28/d2/60x45/28d2f94b.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 320 000 |  2012  |  44 600 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007115867-d2690a | http://is17.auto.ru/all/images/63/b3/60x45/63b32ab6.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #9966CC | 320 000 |  2013  |  13 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007115123-bbb171 | http://is2.auto.ru/all/images/5d/1b/60x45/5d1b2324.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #34ba2b | 153 000 |  2002  |  75 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007115325-18e2a | http://is18.auto.ru/all/images/20/a7/60x45/20a78aaf.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 99 000 |  2001  |  76 921 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007114601-5c31c2 | http://is12.auto.ru/all/images/92/81/60x45/92811952.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 150 000 |  2003  |  50 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Белгород | 20.01.15
1006416347-a07fef | http://is8.auto.ru/all/images/58/4e/60x45/584e6e51.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 340 000 |  2013  |  20 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
49916132-d3265 | http://is17.auto.ru/all/images/db/a9/60x45/dba9c806.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 135 000 |  2003  |  94 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007114985-166a | http://is12.auto.ru/all/images/65/95/60x45/65956d32.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 370 000 |  2013  |  28 555 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Калуга | 20.01.15
1007111375-2651d9 | http://is13.auto.ru/all/images/51/77/60x45/5177ff53.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 339 000 |  2013  |  1 200 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007113793-2eaa1e | http://is3.auto.ru/all/images/c8/dd/60x45/c8dd33d1.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 334 000 |  2012  |  21 596 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Псков | 20.01.15
1004028338-22dae | http://is17.auto.ru/all/images/91/b0/60x45/91b0a502.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 134 000 |  1999  |  95 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007114235-f4f5 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 375 000 |  2014  |  3 200 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Кострома | 20.01.15
46847086-a9c4 | http://is15.auto.ru/all/images/94/21/60x45/9421909e.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 150 000 |  2000  |  123 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Новомосковск | 20.01.15
1006796753-7fd020 | http://is4.auto.ru/all/images/39/97/60x45/39978897.jpg |  ВАЗ 2121 (4x4)1.7 MT 4WD  | #9c9999 | 275 000 |  2010  |  29 000 км  |  1.7 MT 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007112501-9d1025 | http://is17.auto.ru/all/images/a9/e5/60x45/a9e56bf8.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 275 000 |  2011  |  64 200 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 20.01.15
1006798289-0c81 | http://is4.auto.ru/all/images/d9/42/60x45/d942b597.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 410 000 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007111123-58cb | http://is15.auto.ru/all/images/bc/4a/60x45/bc4acfae.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 285 000 |  2011  |  46 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007110571-31e4d2 | http://is4.auto.ru/all/images/fe/7a/60x45/fe7aa000.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 90 000 |  2001  |  143 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Хотьково | 20.01.15
1007110261-ec6f73 | http://is5.auto.ru/all/images/63/0c/60x45/630c8e74.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9966CC | 230 000 |  1999  |  50 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007110149-85b812 | http://is9.auto.ru/all/images/b3/9b/60x45/b39b1905.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 340 000 |  2013  |  38 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1005181279-3536 | http://is17.auto.ru/all/images/c0/cd/60x45/c0cd1d41.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 450 000 |  2014  |  7 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1006690279-b9e2 | http://is6.auto.ru/all/images/42/58/60x45/425805b4.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 410 000 |  2013  |  25 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007109259-6d4471 | http://is18.auto.ru/all/images/c9/d9/60x45/c9d9512e.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #ffefd5 | 69 000 |  1990  |  130 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Владимир | 20.01.15
1007108487-76d5 | http://is12.auto.ru/all/images/ba/e9/60x45/bae96b04.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 245 000 |  2010  |  31 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007109075-17773 | http://is11.auto.ru/all/images/38/c4/60x45/38c46a78.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 175 000 |  2001  |  123 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1004828741-c0c7ba | http://is15.auto.ru/all/images/a6/4c/60x45/a64c7abb.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 120 000 |  2002  |  150 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Саратов | 20.01.15
1004850873-022b | http://is11.auto.ru/all/images/d2/15/60x45/d215efc2.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 130 000 |  2004  |  145 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Углич | 20.01.15
1007039059-f346 | http://is14.auto.ru/all/images/99/c7/60x45/99c7202f.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 210 000 |  2008  |  56 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007107033-978ec | http://is18.auto.ru/all/images/c5/4d/60x45/c54d1369.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 260 000 |  2010  |  109 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1006928267-3a728 | http://is11.auto.ru/all/images/e7/b1/60x45/e7b1e755.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 320 000 |  2010  |  85 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Калуга | 20.01.15
1007105723-0b131 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4)MT 4WD  | #34ba2b | 120 000 |  2000  |  135 000 км  |  MT 4WDвнедорожник, бензин, полный  | Малоярославец | 20.01.15
1007104021-1bd47a | http://is16.auto.ru/all/images/62/ea/60x45/62ea8f8d.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 290 000 |  2011  |  21 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Ефремов | 20.01.15
1007104525-8ca3d | http://is11.auto.ru/all/images/ec/83/60x45/ec83095d.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 89 000 |  1996  |  180 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Смоленск | 20.01.15
1007104841-b9a0fb | http://is6.auto.ru/all/images/64/c3/60x45/64c3aa3b.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 140 000 |  1999  |  136 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Нововоронеж | 20.01.15
1006748293-8e32f | http://is18.auto.ru/all/images/d2/ef/60x45/d2efd216.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 199 000 |  2007  |  80 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Азов | 20.01.15
1004974237-a2e8 | http://is6.auto.ru/all/images/5c/22/60x45/5c229836.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 143 000 |  1997  |  1 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Смоленск | 20.01.15
1007102939-d281 | http://is6.auto.ru/all/images/06/cd/60x45/06cd5131.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #FFFFFF | 97 000 |  1995  |  150 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 20.01.15
1007102921-86e50e | http://is15.auto.ru/all/images/ac/c8/60x45/acc84d8c.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #000000 | 295 000 |  2011  |  25 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Владимир | 20.01.15
1006572821-a5133 | http://is17.auto.ru/all/images/b5/5b/60x45/b55b3d9d.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 99 000 |  1999  |  110 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1006921251-8d193 | http://is12.auto.ru/all/images/6c/ef/60x45/6cef2e4b.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #34ba2b | 550 000 |  2001  |  80 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Уруссу | 20.01.15
1007049381-25184d | http://is14.auto.ru/all/images/3d/71/60x45/3d714008.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 239 000 |  2011  |  37 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Киров | 20.01.15
1007101843-d93a1 | http://is6.auto.ru/all/images/b6/70/60x45/b670224c.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #FF0000 | 63 000 |  1994  |  185 605 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 20.01.15
1006627483-fd04 | http://is4.auto.ru/all/images/8b/f0/60x45/8bf0551e.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 120 000 |  1997  |  180 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007101751-d7a844 | http://is13.auto.ru/all/images/e0/f9/60x45/e0f919f9.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #000000 | 455 000 |  2014  |  1 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Тольятти | 20.01.15
1007100857-cd31 | http://is12.auto.ru/all/images/f9/f3/60x45/f9f358ba.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #FF0000 | 50 000 |  1983  |  100 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 20.01.15
1007101635-2232b | http://is15.auto.ru/all/images/ec/b3/60x45/ecb3e6a4.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 180 000 |  2007  |  80 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 20.01.15
1007101621-04edf | http://is8.auto.ru/all/images/61/a6/60x45/61a67839.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 339 000 |  2012  |  65 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Краснодар | 20.01.15
1007100749-18bf5d | http://is17.auto.ru/all/images/28/61/60x45/28616cb7.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 130 000 |  2002  |  100 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Пенза | 20.01.15
