1006867571-6b7a | http://is11.auto.ru/all/images/af/da/60x45/afdabf7a.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 350 000 |  2005  |  87 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005925403-f299a | http://is16.auto.ru/all/images/bd/5d/60x45/bd5d8c57.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #926547 | 1 290 000 |  2013  |  31 000 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1004167433-8f98 | http://is3.auto.ru/all/images/19/f1/60x45/19f1ebcf.jpg |  Skoda Octavia III1.2 MT (105 л.с.)  | #926547 | 900 000 |  2014  |  15 000 км  |  1.2 MT (105 л.с.)лифтбек, бензин, передний  | Смоленск | 22.01.15
1006113449-ff4f16 | http://is7.auto.ru/all/images/08/9a/60x45/089abcc7.jpg |  Skoda Octavia II Рестайлинг1.4 MT (122 л.с.)  | #FF0000 | 620 000 |  2011  |  35 000 км  |  1.4 MT (122 л.с.)лифтбек, бензин, передний  | Сергиев Посад | 22.01.15
1007254201-8d15c9 | http://is14.auto.ru/all/images/fd/e7/60x45/fde7670f.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #0000FF | 450 000 |  2008  |  99 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Коркино | 22.01.15
1007253527-96b4 | http://is10.auto.ru/all/images/f1/da/60x45/f1da54e4.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #34ba2b | 360 000 |  2008  |  79 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007254151-9b753 | http://is8.auto.ru/all/images/c2/71/60x45/c271e610.jpg |  Skoda Octavia II1.6 MT  | #ffefd5 | 320 000 |  2007  |  84 300 км  |  1.6 MTлифтбек, бензин, передний  | Москва | 22.01.15
1007253465-fcf8 | http://is15.auto.ru/all/images/56/a9/60x45/56a9649b.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #CACECB | 520 000 |  2010  |  129 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Чишмы | 22.01.15
1007241881-384c1a | http://is5.auto.ru/all/images/e6/e3/60x45/e6e3b548.jpg |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #FFFFFF | 475 000 |  2011  |  104 564 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Владимир | 22.01.15
1007188677-69784 | http://is9.auto.ru/all/images/95/84/60x45/95849290.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #CACECB | 495 000 |  2007  |  87 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Ялта | 22.01.15
1007254233-927d7 | http://is7.auto.ru/all/images/66/1a/60x45/661a8172.jpg |  Skoda Octavia III1.8 MT (180 л.с.)  | #FFFFFF | 960 000 |  2014  |  18 500 км  |  1.8 MT (180 л.с.)лифтбек, бензин, передний  | Чебоксары | 22.01.15
1006024609-b678 | http://is16.auto.ru/all/images/a2/20/60x45/a220f6fd.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #000000 | 870 000 |  2013  |  24 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007253687-d7085a | http://is8.auto.ru/all/images/8e/34/60x45/8e3416db.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 432 000 |  2009  |  90 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007253681-26272 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 547 000 |  2010  |  65 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Рязань | 22.01.15
47196032-d8d248 | http://is2.auto.ru/all/images/ef/d4/60x45/efd4a97d.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 310 000 |  2005  |  153 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007254023-8e0a | http://is9.auto.ru/all/images/9a/3e/60x45/9a3e7cec.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #9c9999 | 495 000 |  2006  |  105 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Брянск | 22.01.15
1007232697-5fe15 | http://is14.auto.ru/all/images/40/98/60x45/40986661.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #0088ff | 437 000 |  2008  |  123 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Брянск | 22.01.15
1002930222-ade1 | http://is11.auto.ru/all/images/b7/ee/60x45/b7ee0495.jpg |  Skoda Octavia I Рестайлинг1.6 AT (102 л.с.)  | #FFCC00 | 250 000 |  2002  |  117 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1004150415-798a93 | http://is3.auto.ru/all/images/dc/60/60x45/dc60d308.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 340 000 |  2007  |  100 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Донской | 22.01.15
1006155593-6965c7 | http://is12.auto.ru/all/images/5f/a7/60x45/5fa78ecc.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #000000 | 612 000 |  2008  |  122 430 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007189879-262e | http://is17.auto.ru/all/images/84/58/60x45/84582a4b.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 725 000 |  2012  |  48 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Смоленск | 22.01.15
1006873417-c252 | http://is16.auto.ru/all/images/b7/0c/60x45/b70c2b1a.jpg |  Skoda Octavia II Рестайлинг1.4 AT  | #9c9999 | 598 000 |  2011  |  52 995 км  |  1.4 ATлифтбек, бензин, передний  | Москва | 22.01.15
47409360-57a2 | http://is4.auto.ru/all/images/0a/c8/60x45/0ac88eb7.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 400 000 |  2007  |  113 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | п.Ракитное | 22.01.15
1007253357-bbc209 | http://is5.auto.ru/all/images/69/8d/60x45/698d7e7a.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 645 000 |  2012  |  41 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Оренбург | 22.01.15
1007252393-3a38d | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #9c9999 | 950 000 |  2012  |  76 000 км  |  1.8 AT (152 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007237759-6571 | http://is5.auto.ru/all/images/47/5e/60x45/475e1265.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #9c9999 | 490 000 |  2010  |  150 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007252713-52155 | http://is13.auto.ru/all/images/ba/73/60x45/ba7338fa.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 333 333 |  2008  |  89 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Пенза | 22.01.15
1006571771-1be5 | http://is12.auto.ru/all/images/32/e3/60x45/32e36757.jpg |  Skoda Octavia II Рестайлинг1.9d MT (105 л.с.)  | #34ba2b | 850 200 |  2011  |  70 000 км  |  1.9d MT (105 л.с.)универсал, дизель, передний  | Минск | 22.01.15
1006933895-02671 | http://is6.auto.ru/all/images/62/dd/60x45/62dd9954.jpg |  Skoda Octavia II Рестайлинг1.9d MT (105 л.с.)  | #0000FF | 850 200 |  2011  |  91 000 км  |  1.9d MT (105 л.с.)универсал, дизель, передний  | Минск | 22.01.15
1007116483-3111e | http://is18.auto.ru/all/images/68/56/60x45/685655b8.jpg |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #FFFFFF | 599 000 |  2012  |  59 000 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Иваново | 22.01.15
1007251981-60c0a9 | http://is5.auto.ru/all/images/ff/30/60x45/ff303d7f.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 900 000 |  2011  |  58 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Славянск-на-Кубани | 22.01.15
1007251449-c05cd5 | http://is18.auto.ru/all/images/23/ca/60x45/23caecea.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 225 000 |  2006  |  197 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Видное | 22.01.15
1007251649-d45c | http://is5.auto.ru/all/images/71/e8/60x45/71e81a37.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #34ba2b | 370 000 |  2002  |  198 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Симферополь | 22.01.15
1007099551-ee4850 | http://is2.auto.ru/all/images/a4/fe/60x45/a4fe7508.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 550 000 |  2010  |  132 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Подольск | 22.01.15
1007251429-4cac | http://is14.auto.ru/all/images/51/c7/60x45/51c78205.jpg |  Skoda Octavia III1.2 AT (105 л.с.)  | #926547 | 780 000 |  2014  |  22 500 км  |  1.2 AT (105 л.с.)лифтбек, бензин, передний  | Тамбов | 22.01.15
1002154239-42a1 | http://is2.auto.ru/all/images/3c/ef/60x45/3cef0063.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #000000 | 600 000 |  2010  |  130 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007041015-07e5 | http://is6.auto.ru/all/images/c6/61/60x45/c661b609.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 385 000 |  2007  |  149 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1005920585-19385 | http://is13.auto.ru/all/images/e8/e7/60x45/e8e7826b.jpg |  Skoda Octavia III1.2 AT (105 л.с.)  | #FFFFFF | 615 000 |  2014  |  1 000 км  |  1.2 AT (105 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007048257-74d8 | http://is2.auto.ru/all/images/db/e4/60x45/dbe417af.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 360 000 |  2008  |  94 000 км  |  1.8 MT (150 л.с.)универсал, бензин, передний  | Орехово-Зуево | 22.01.15
1004701627-067e2 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 427 680 |  2007  |  152 248 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004703505-6a62ed | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 333 720 |  2005  |  191 039 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004701585-530123 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 378 000 |  2007  |  113 445 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004833029-52efa | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 397 980 |  2007  |  135 798 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007250895-7895 | http://is13.auto.ru/all/images/2a/54/60x45/2a54e35b.jpg |  Skoda Octavia I1.8 MT (125 л.с.)  | #000000 | 210 000 |  1998  |  130 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Ногинск | 22.01.15
1007249291-1c8f0 | http://is12.auto.ru/all/images/ec/8b/60x45/ec8b1253.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 625 000 |  2012  |  59 300 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Ершичи | 22.01.15
1007250091-55847 | http://is12.auto.ru/all/images/40/da/60x45/40dae5e0.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 380 000 |  2008  |  195 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007165657-46c4e | http://is2.auto.ru/all/images/1c/35/60x45/1c35dd0d.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #000000 | 945 000 |  2014  |  27 000 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007156399-a167 | http://is12.auto.ru/all/images/9b/c6/60x45/9bc62055.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 555 555 |  2011  |  45 364 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007227907-fd96 | http://is13.auto.ru/all/images/9a/e3/60x45/9ae37023.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #34ba2b | 188 888 |  2003  |  112 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007154907-f405e | http://is9.auto.ru/all/images/17/69/60x45/1769744c.jpg |  Skoda Octavia II1.4 MT (80 л.с.)  | #9c9999 | 333 333 |  2007  |  67 953 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007154915-b3000c | http://is4.auto.ru/all/images/1e/71/60x45/1e7123bc.jpg |  Skoda Octavia II1.4 MT (75 л.с.)  | #9c9999 | 333 333 |  2008  |  78 467 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007227923-6ef5a6 | http://is12.auto.ru/all/images/60/d5/60x45/60d5d268.jpg |  Skoda Octavia I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 388 888 |  2008  |  65 894 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007227639-c613 | http://is15.auto.ru/all/images/33/44/60x45/33443f29.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #CACECB | 533 333 |  2009  |  45 962 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007249787-3c08 | http://is6.auto.ru/all/images/57/5b/60x45/575beddf.jpg |  Skoda Octavia III1.2 AT (105 л.с.)  | #926547 | 780 000 |  2014  |  22 500 км  |  1.2 AT (105 л.с.)лифтбек, бензин, передний  | Саратов | 22.01.15
1006876727-7054 | http://is17.auto.ru/all/images/f4/8a/60x45/f48adb8d.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.) 4WD  | #000000 | 245 000 |  2001  |  277 000 км  |  1.8 MT (150 л.с.) 4WDлифтбек, бензин, полный  | Брянск | 22.01.15
1007248713-5f4f | http://is11.auto.ru/all/images/dc/ea/60x45/dcead088.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FF0000 | 415 000 |  2010  |  54 300 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007249503-ff50 | http://is6.auto.ru/all/images/07/0b/60x45/070b356e.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #000000 | 650 000 |  2010  |  50 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007249325-2a72 | http://is2.auto.ru/all/images/a4/9f/60x45/a49fe2f5.jpg |  Skoda Octavia I Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 300 000 |  2004  |  270 258 км  |  1.8 AT (150 л.с.)лифтбек, бензин, передний  | Серпухов | 22.01.15
1006986859-bb384a | http://is7.auto.ru/all/images/1d/82/60x45/1d8294b2.jpg |  Skoda Octavia III1.4 AT (140 л.с.)  | #FFFFFF | 800 000 |  2013  |  39 000 км  |  1.4 AT (140 л.с.)лифтбек, бензин, передний  | Владимир | 22.01.15
1007248287-1161 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #000000 | 450 000 |  2008  |  102 000 км  |  1.8 MT (150 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007248877-4b6264 | http://is17.auto.ru/all/images/72/f7/60x45/72f7c54a.jpg |  Skoda Octavia II Рестайлинг1.8 AT (160 л.с.)  | #9c9999 | 595 000 |  2008  |  97 500 км  |  1.8 AT (160 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007248795-32e592 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #926547 | 640 000 |  2011  |  29 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007248365-49348 | http://is3.auto.ru/all/images/47/9e/60x45/479ef67c.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 950 000 |  2012  |  104 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007248471-0d7c51 | http://is3.auto.ru/all/images/73/77/60x45/7377a882.jpg |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #FFFFFF | 470 000 |  2010  |  100 000 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007248479-9e80 | http://is10.auto.ru/all/images/64/f3/60x45/64f3344d.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #926547 | 978 300 |  2013  |  59 930 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007224623-d3bd | http://is1.auto.ru/all/images/3b/83/60x45/3b8335e7.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #9c9999 | 599 999 |  2009  |  68 548 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007248363-45d6a | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia III1.6 MT (110 л.с.)  | #FFFFFF | 815 700 |  2014  |  1 км  |  1.6 MT (110 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007248197-a7bc5 | http://is3.auto.ru/all/images/fb/76/60x45/fb76c007.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #9966CC | 540 000 |  2009  |  85 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005976143-f560 | http://is2.auto.ru/all/images/7b/1c/60x45/7b1c3547.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 550 000 |  2010  |  68 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Тверь | 22.01.15
1007189931-53c6 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia I1.6 MT (75 л.с.)  | #FFFFFF | 200 000 |  2000  |  357 000 км  |  1.6 MT (75 л.с.)лифтбек, бензин, передний  | Смоленск | 22.01.15
1007247827-698f6 | http://is13.auto.ru/all/images/9a/da/60x45/9ada7d34.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 630 000 |  2013  |  40 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Ковров | 22.01.15
1006815079-418f | http://is3.auto.ru/all/images/b6/91/60x45/b691e9a0.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #9c9999 | 650 000 |  2012  |  115 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247439-94636c | http://is6.auto.ru/all/images/2e/3c/60x45/2e3c3be9.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #CACECB | 659 900 |  2011  |  80 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247349-4015e | http://is11.auto.ru/all/images/af/d8/60x45/afd8ee75.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 199 888 |  2003  |  147 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247311-178b | http://is6.auto.ru/all/images/a2/8f/60x45/a28feb77.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 588 888 |  2011  |  52 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007246143-129ba9 | http://is18.auto.ru/all/images/3e/82/60x45/3e820974.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #FF0000 | 430 000 |  2008  |  190 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247205-4bb6 | http://is18.auto.ru/all/images/d4/df/60x45/d4dfe18c.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 339 888 |  2009  |  91 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007246021-d420e | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia III1.8 AT (180 л.с.)  | #000000 | 1 120 000 |  2014  |  20 000 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007110099-316f1 | http://is6.auto.ru/all/images/06/87/60x45/06873ec7.jpg |  Skoda Octavia III1.4 AT (140 л.с.)  | #000000 | 930 000 |  2014  |  11 000 км  |  1.4 AT (140 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007226823-89674 | http://is9.auto.ru/all/images/aa/89/60x45/aa895341.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #9c9999 | 577 777 |  2009  |  72 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1006976929-0fb7 | http://is5.auto.ru/all/images/a2/0f/60x45/a20f2ff2.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 414 000 |  2009  |  59 230 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007042537-738920 | http://is3.auto.ru/all/images/3e/60/60x45/3e60165e.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #000000 | 419 000 |  2007  |  109 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006464301-a4be95 | http://is1.auto.ru/all/images/70/26/60x45/702694fc.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #CACECB | 705 000 |  2011  |  69 000 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Череповец | 22.01.15
1007054751-81a555 | http://is12.auto.ru/all/images/ed/f4/60x45/edf4c9a6.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #ffefd5 | 650 000 |  2011  |  97 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1006110133-69fa40 | http://is8.auto.ru/all/images/47/5e/60x45/475ee4cc.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #926547 | 1 340 000 |  2014  |  15 000 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007245955-1654 | http://is3.auto.ru/all/images/2d/98/60x45/2d982fab.jpg |  Skoda Octavia I Рестайлинг1.6 AT (102 л.с.)  | #9c9999 | 565 000 |  2011  |  80 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1003626746-af96f | http://is1.auto.ru/all/images/26/7e/60x45/267ecc66.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #CACECB | 882 900 |  2012  |  48 500 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1001728585-4906a5 | http://is5.auto.ru/all/images/b7/2b/60x45/b72bae13.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 569 000 |  2011  |  70 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Нижний Новгород | 22.01.15
1007234021-00cfd6 | http://is9.auto.ru/all/images/22/06/60x45/2206997a.jpg |  Skoda Octavia II Рестайлинг1.4 MT (122 л.с.)  | #ffefd5 | 479 999 |  2011  |  102 000 км  |  1.4 MT (122 л.с.)лифтбек, бензин, передний  | Вышний Волочек | 22.01.15
1006868581-2232 | http://is15.auto.ru/all/images/7e/c4/60x45/7ec41f2e.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FFFFFF | 779 909 |  2011  |  109 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
47336100-a2b18 | http://is4.auto.ru/all/images/d3/b3/60x45/d3b3d51f.jpg |  Skoda Octavia II Рестайлинг2.0d AT (140 л.с.)  | #9c9999 | 830 000 |  2011  |  123 000 км  |  2.0d AT (140 л.с.)универсал, дизель, передний  | Рыльск | 22.01.15
1007242489-da24ef | http://is15.auto.ru/all/images/49/cd/60x45/49cd4808.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #000000 | 699 999 |  2012  |  60 000 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1006936311-fda707 | http://is1.auto.ru/all/images/1f/e5/60x45/1fe5bfdc.jpg |  Skoda Octavia II Рестайлинг Scout2.0d AT (140 л.с.) 4WD  | #926547 | 1 050 000 |  2011  |  105 000 км  |  2.0d AT (140 л.с.) 4WDуниверсал, дизель, полный  | Сергиев Посад | 22.01.15
1007172629-2b31 | http://is12.auto.ru/all/images/bb/52/60x45/bb521909.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #9c9999 | 389 000 |  2006  |  109 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1007242255-7e3fd | http://is12.auto.ru/all/images/1f/de/60x45/1fdeb9bd.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 375 000 |  2009  |  55 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 22.01.15
1006466727-859df | http://is13.auto.ru/all/images/8c/62/60x45/8c62f18d.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #ffefd5 | 675 000 |  2011  |  156 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Брянск | 22.01.15
1007048281-e8af8 | http://is17.auto.ru/all/images/61/6a/60x45/616a808f.jpg |  Skoda Octavia II2.0 AT (150 л.с.)  | #9c9999 | 600 000 |  2008  |  130 000 км  |  2.0 AT (150 л.с.)лифтбек, бензин, передний  | Мытищи | 22.01.15
1007046931-4fb374 | http://is4.auto.ru/all/images/8a/e1/60x45/8ae14a2c.jpg |  Skoda Octavia II2.0 AT (150 л.с.)  | #9c9999 | 600 000 |  2008  |  130 000 км  |  2.0 AT (150 л.с.)лифтбек, бензин, передний  | Москва | 22.01.15
1005913719-d0edeb | http://is3.auto.ru/all/images/97/7a/60x45/977a7ff3.jpg |  Skoda Octavia III1.6 MT (110 л.с.)  | #000000 | 830 000 |  2014  |  1 010 км  |  1.6 MT (110 л.с.)лифтбек, бензин, передний  | Воронеж | 22.01.15
