1007256331-ecc78 | http://is15.auto.ru/all/images/51/b6/60x45/51b636f9.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 450 000 |  2006  |  93 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007181407-1057 | http://is4.auto.ru/all/images/39/47/60x45/39475694.jpg |  Honda Civic V1.6 AT (125 л.с.)  | #fde910 | 230 000 |  1994  |  1 000 км  |  1.6 AT (125 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007174173-ae666a | /i/all7/img/no-photo-thumb.gif |  Honda Civic V1.6 MT (160 л.с.)  | #0000FF | 105 000 Правый руль |  1992  |  320 000 км  |  1.6 MT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007245925-e8b553 | http://is2.auto.ru/all/images/50/a1/60x45/50a119e4.jpg |  Honda Civic VI1.5 MT (130 л.с.)  | #000000 | 195 000 |  1999  |  150 000 км  |  1.5 MT (130 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007245465-1bcc | http://is5.auto.ru/all/images/62/10/60x45/62106ce8.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #000000 | 450 000 |  2009  |  133 800 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 22.01.15
50384494-b54fad | http://is2.auto.ru/all/images/ef/2a/60x45/ef2a42bf.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #FF0000 | 450 000 |  2008  |  97 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007233907-f267 | http://is12.auto.ru/all/images/c5/ba/60x45/c5ba0216.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #9c9999 | 469 000 |  2007  |  99 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 22.01.15
1005578309-1759b | http://is15.auto.ru/all/images/46/40/60x45/4640f737.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FF0000 | 549 999 |  2008  |  70 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Кострома | 22.01.15
1006678187-b618 | http://is2.auto.ru/all/images/b2/88/60x45/b2881e55.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 510 000 |  2009  |  70 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1004689407-717393 | http://is14.auto.ru/all/images/03/5c/60x45/035c604e.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FF0000 | 770 000 |  2012  |  40 551 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007240919-93d77 | http://is5.auto.ru/all/images/10/7d/60x45/107d4f1f.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 520 000 |  2008  |  120 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Армавир | 22.01.15
1006921711-c506dd | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 445 000 |  2007  |  69 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007238479-d3123a | http://is9.auto.ru/all/images/50/fa/60x45/50fa2cde.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 610 000 |  2008  |  120 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240861-e52260 | http://is17.auto.ru/all/images/8d/86/60x45/8d867e04.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0000FF | 365 000 |  2007  |  150 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1007240793-14ac6 | http://is3.auto.ru/all/images/5d/59/60x45/5d598b1d.jpg |  Honda Civic V1.6 AT (125 л.с.)  | #FFFFFF | 140 000 Правый руль |  1993  |  185 000 км  |  1.6 AT (125 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240657-b2dabf | http://is14.auto.ru/all/images/9d/03/60x45/9d033e02.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FFCC00 | 485 000 |  2008  |  68 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Саратов | 22.01.15
1007188491-3928 | http://is16.auto.ru/all/images/c8/d4/60x45/c8d47be9.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FFFFFF | 450 000 |  2006  |  127 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 22.01.15
1007033397-b17647 | http://is5.auto.ru/all/images/5e/34/60x45/5e3485bd.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #CACECB | 156 000 |  1998  |  250 000 км  |  1.4 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007239867-fdf1 | http://is2.auto.ru/all/images/1c/69/60x45/1c693c2c.jpg |  Honda Civic V1.6 AT (125 л.с.)  | #0000FF | 95 000 Правый руль |  1992  |  190 000 км  |  1.6 AT (125 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007158455-2c54c | http://is15.auto.ru/all/images/e5/32/60x45/e5323d92.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 377 777 |  2009  |  79 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
48956634-e0a2 | http://is15.auto.ru/all/images/e1/12/60x45/e112c079.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FFFFFF | 530 000 |  2008  |  160 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007116741-034f | http://is18.auto.ru/all/images/1b/e7/60x45/1be75f4a.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 550 000 |  2009  |  81 850 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Ростов-на-Дону | 22.01.15
1005753209-10686 | http://is2.auto.ru/all/images/5f/78/60x45/5f78860e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 515 000 |  2009  |  82 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007237941-64149 | http://is8.auto.ru/all/images/c5/09/60x45/c5091691.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CC0033 | 420 000 |  2006  |  120 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Орел | 22.01.15
1007238597-7e5e09 | http://is6.auto.ru/all/images/54/fb/60x45/54fbbcb4.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #000000 | 799 000 |  2012  |  69 385 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007237935-6c6b | http://is6.auto.ru/all/images/b7/f9/60x45/b7f97af7.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CC0033 | 675 000 |  2011  |  52 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007094801-918033 | http://is5.auto.ru/all/images/3a/f7/60x45/3af72db0.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #FF0000 | 120 000 |  1998  |  145 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
48481782-963c4 | http://is10.auto.ru/all/images/ea/3f/60x45/ea3f0017.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #000000 | 750 000 |  2012  |  63 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Чехов | 22.01.15
1007237381-39903 | http://is14.auto.ru/all/images/6d/3d/60x45/6d3d0be4.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 511 111 |  2009  |  78 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006742399-17084 | http://is8.auto.ru/all/images/a0/69/60x45/a069fec1.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #34ba2b | 125 000 |  1998  |  250 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237097-f9a0eb | http://is16.auto.ru/all/images/fb/02/60x45/fb02fbf1.jpg |  Honda Civic VI1.6 MT (105 л.с.)  | #000000 | 170 000 |  2000  |  177 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007236999-f76ac | http://is13.auto.ru/all/images/cc/68/60x45/cc68c5d3.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FFFFFF | 890 000 |  2013  |  56 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 22.01.15
1002741101-27f2 | http://is2.auto.ru/all/images/19/d1/60x45/19d1fe33.jpg |  Honda Civic VII1.7 AT (125 л.с.)  | #9c9999 | 360 000 |  2003  |  118 000 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Москва | 22.01.15
1007109883-be08 | http://is2.auto.ru/all/images/0c/9e/60x45/0c9e2b0b.jpg |  Honda Civic VII1.6 AT (110 л.с.)  | #0000FF | 229 999 Правый руль |  2003  |  200 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
48949796-70b03b | http://is4.auto.ru/all/images/ab/aa/60x45/abaa1386.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #0000FF | 550 000 |  2008  |  60 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Сочи | 22.01.15
1006626075-85a90 | http://is15.auto.ru/all/images/4b/90/60x45/4b90a2aa.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #926547 | 540 000 |  2009  |  96 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 22.01.15
1007236331-32087 | http://is9.auto.ru/all/images/bf/4e/60x45/bf4e620a.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #FF0000 | 569 888 |  2008  |  111 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007235283-21de0 | http://is15.auto.ru/all/images/31/a9/60x45/31a9b473.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 400 000 |  2007  |  160 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Ковров | 22.01.15
1002417153-b8e3 | http://is1.auto.ru/all/images/c6/52/60x45/c65261ba.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FF9966 | 540 540 |  2008  |  83 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006805019-03fe0f | http://is14.auto.ru/all/images/f8/f6/60x45/f8f69ae0.jpg |  Honda Civic VI1.6 MT (116 л.с.)  | #CACECB | 195 000 |  1999  |  170 000 км  |  1.6 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005394733-f4e21 | http://is3.auto.ru/all/images/7b/89/60x45/7b89d110.jpg |  Honda Civic VII1.4 AT (90 л.с.)  | #CACECB | 250 000 |  2001  |  150 000 км  |  1.4 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006754535-8234 | http://is7.auto.ru/all/images/b4/dd/60x45/b4ddb3d1.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #0000FF | 44 444 |  1993  |  170 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007234785-4663af | http://is15.auto.ru/all/images/b2/4c/60x45/b24c14d2.jpg |  Honda Civic VII1.6 AT (110 л.с.)  | #CACECB | 315 000 |  2001  |  156 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005582885-73b33 | http://is18.auto.ru/all/images/b8/cb/60x45/b8cb42cf.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #FF0000 | 120 000 |  1996  |  169 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006615733-44946 | http://is16.auto.ru/all/images/98/f4/60x45/98f4ea54.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FFFFFF | 989 000 |  2012  |  41 400 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234101-c6c7 | http://is17.auto.ru/all/images/92/98/60x45/9298406e.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #ffefd5 | 430 000 |  2008  |  95 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233447-6dda5 | /i/all7/img/no-photo-thumb.gif |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #FF9966 | 515 000 |  2008  |  95 555 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Челябинск | 22.01.15
1007233775-8910 | http://is10.auto.ru/all/images/30/4b/60x45/304bb7af.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 599 000 |  2010  |  42 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006678253-9189 | http://is11.auto.ru/all/images/8b/bb/60x45/8bbb8d43.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #926547 | 1 155 000 |  2012  |  14 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233049-93363 | http://is5.auto.ru/all/images/d1/b8/60x45/d1b8fc9a.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #9c9999 | 150 000 |  1995  |  200 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006687301-687e | http://is9.auto.ru/all/images/31/ef/60x45/31efd4dc.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #9c9999 | 465 000 |  2008  |  140 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1005511897-6830 | http://is17.auto.ru/all/images/bb/fb/60x45/bbfb2f0d.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 338 000 |  2007  |  120 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007231865-461dad | http://is11.auto.ru/all/images/70/2b/60x45/702bafda.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FF0000 | 800 000 |  2013  |  70 000 км  |  1.8 AT (142 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007232601-23f80e | http://is2.auto.ru/all/images/6a/10/60x45/6a10ae50.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #0000FF | 137 777 |  1998  |  130 888 км  |  1.4 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006925407-47b88 | http://is3.auto.ru/all/images/2e/8c/60x45/2e8cefb6.jpg |  Honda Civic V1.6 AT (113 л.с.)  | #0000FF | 140 000 |  1996  |  227 000 км  |  1.6 AT (113 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007175339-b55bf3 | http://is5.auto.ru/all/images/1e/9a/60x45/1e9a14f7.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FFFFFF | 590 000 |  2008  |  130 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007231649-820e40 | http://is7.auto.ru/all/images/60/2f/60x45/602fb6f8.jpg |  Honda Civic VII Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 210 000 |  2004  |  89 461 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007231355-1c9c | http://is2.auto.ru/all/images/c2/46/60x45/c246887e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 499 999 |  2010  |  47 514 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007114959-0df3b | http://is9.auto.ru/all/images/5c/16/60x45/5c16241f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 550 000 |  2007  |  114 289 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007187137-0810 | http://is5.auto.ru/all/images/96/4b/60x45/964bc525.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FFFFFF | 800 000 |  2012  |  77 000 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Иркутск | 22.01.15
1007229025-490a | http://is3.auto.ru/all/images/88/7f/60x45/887f12c4.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 429 888 |  2008  |  149 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227037-a22045 | http://is2.auto.ru/all/images/07/19/60x45/07191192.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 499 999 |  2009  |  107 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007226297-8309b9 | http://is14.auto.ru/all/images/64/af/60x45/64af6c5a.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #0000FF | 395 000 |  2009  |  67 800 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007226345-83cb1 | http://is15.auto.ru/all/images/ab/cd/60x45/abcdf774.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 499 000 |  2009  |  77 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007226501-025f6d | http://is17.auto.ru/all/images/86/83/60x45/8683c09d.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #CACECB | 400 000 |  2008  |  85 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 22.01.15
1007226285-bcb65 | http://is9.auto.ru/all/images/5b/00/60x45/5b009720.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #0000FF | 450 000 |  2007  |  100 580 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225811-93b99 | http://is2.auto.ru/all/images/73/80/60x45/73804ad2.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 498 000 |  2008  |  85 269 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007221271-ebe33 | http://is18.auto.ru/all/images/79/06/60x45/79061e2f.jpg |  Honda Civic VII1.6 AT (110 л.с.)  | #34ba2b | 299 000 |  2003  |  188 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Раменское | 22.01.15
1007225071-df92 | http://is16.auto.ru/all/images/75/0e/60x45/750e0ef3.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #000000 | 159 888 |  2000  |  290 000 км  |  1.4 MT (90 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007223215-c4d1ee | http://is13.auto.ru/all/images/a5/ed/60x45/a5edd040.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0000FF | 469 000 |  2007  |  94 002 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222443-0b30 | http://is18.auto.ru/all/images/fe/71/60x45/fe717892.jpg |  Honda Civic V1.6 MT (160 л.с.)  | #34ba2b | 180 000 |  1995  |  250 000 км  |  1.6 MT (160 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007222085-64e48 | http://is13.auto.ru/all/images/5e/57/60x45/5e572c9c.jpg |  Honda Civic V1.5 MT (90 л.с.)  | #FFFFFF | 277 777 |  1993  |  137 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220009-2294 | http://is18.auto.ru/all/images/c1/11/60x45/c111b087.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FF0000 | 467 775 |  2007  |  84 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007220571-fc8a | http://is3.auto.ru/all/images/7e/0e/60x45/7e0e7197.jpg |  Honda Civic IX1.8 AT (142 л.с.)  | #FFFFFF | 846 615 |  2012  |  36 554 км  |  1.8 AT (142 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007220337-8dcd7 | http://is1.auto.ru/all/images/dc/74/60x45/dc7417a2.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #FF0000 | 516 285 |  2009  |  117 500 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007220267-dae1 | http://is18.auto.ru/all/images/72/b3/60x45/72b35ae0.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #CACECB | 439 900 |  2006  |  51 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Санкт-Петербург | 22.01.15
1007217287-f1bd8 | http://is8.auto.ru/all/images/31/ff/60x45/31ffe3e2.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 529 900 |  2010  |  65 800 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007215243-594fa | http://is2.auto.ru/all/images/00/59/60x45/0059a31e.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 429 888 |  2008  |  107 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007214931-80f16 | http://is14.auto.ru/all/images/f1/cc/60x45/f1cccfd2.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 414 000 |  2007  |  88 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Жуковский | 22.01.15
1007214709-d9500 | http://is4.auto.ru/all/images/26/a5/60x45/26a5ff89.jpg |  Honda Civic VI1.5 MT (90 л.с.)  | #000000 | 155 000 |  1997  |  255 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Жуковский | 22.01.15
1007211033-052aa7 | http://is14.auto.ru/all/images/a1/99/60x45/a199fbbd.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #CACECB | 500 000 |  2008  |  74 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 22.01.15
1005450197-d6cf5a | http://is8.auto.ru/all/images/bc/ab/60x45/bcaba0cf.jpg |  Honda Civic VI1.6 MT (125 л.с.)  | #000000 | 205 000 |  1997  |  160 000 км  |  1.6 MT (125 л.с.)купе, бензин, передний  | Санкт-Петербург | 22.01.15
1007192157-284d | http://is13.auto.ru/all/images/a1/b5/60x45/a1b5015f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 430 000 |  2007  |  179 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Тула | 22.01.15
1007190793-9f0f | http://is13.auto.ru/all/images/1f/37/60x45/1f374a9a.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #0000FF | 235 000 |  2000  |  190 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Смоленск | 22.01.15
1007181377-97753 | http://is1.auto.ru/all/images/72/b0/60x45/72b0a13e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 550 000 |  2009  |  129 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005451695-2da2 | http://is1.auto.ru/all/images/68/db/60x45/68db74ad.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 600 000 |  2011  |  70 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Муром | 22.01.15
1006927735-bc40 | http://is1.auto.ru/all/images/20/5b/60x45/205b5bad.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 445 000 |  2008  |  92 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004488487-4748b0 | http://is5.auto.ru/all/images/73/b0/60x45/73b0b60c.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FFCC00 | 420 000 |  2007  |  121 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1005392003-619f88 | http://is14.auto.ru/all/images/67/c6/60x45/67c6cf95.jpg |  Honda Civic VII Рестайлинг1.7 AT (125 л.с.)  | #FF0000 | 337 137 |  2005  |  94 600 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Москва | 21.01.15
1007188433-61c73d | http://is14.auto.ru/all/images/35/fe/60x45/35fea9f5.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 450 000 |  2008  |  14 200 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006992411-3f3c | http://is5.auto.ru/all/images/08/13/60x45/0813175e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CC0033 | 485 000 |  2008  |  94 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007188033-c5df6 | http://is6.auto.ru/all/images/48/e5/60x45/48e56b44.jpg |  Honda Civic VIII1.4hyb CVT (95 л.с.)  | #9c9999 | 460 000 |  2007  |  86 000 км  |  1.4hyb CVT (95 л.с.)седан, гибрид, передний  | Набережные Челны | 21.01.15
1006989451-4cd6f | http://is3.auto.ru/all/images/dc/2d/60x45/dc2d4a30.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FF0000 | 455 000 |  2007  |  133 668 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005640543-fe8a3 | http://is17.auto.ru/all/images/00/3b/60x45/003b25e2.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #FFFFFF | 525 000 |  2008  |  120 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Воронеж | 21.01.15
1007184017-d0640 | http://is3.auto.ru/all/images/e1/e2/60x45/e1e2ff63.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 394 000 |  2009  |  79 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007184813-4736d6 | http://is17.auto.ru/all/images/91/75/60x45/9175492c.jpg |  Honda Civic VI1.6 MT (160 л.с.)  | #000000 | 265 000 |  1997  |  250 000 км  |  1.6 MT (160 л.с.)седан, бензин, передний  | Липецк | 21.01.15
1006991909-48fb | http://is14.auto.ru/all/images/dc/e2/60x45/dce28a9a.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 400 000 |  2007  |  120 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007183843-450663 | http://is18.auto.ru/all/images/4a/25/60x45/4a255c71.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #0088ff | 460 000 |  2008  |  140 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007183533-37ff2 | http://is9.auto.ru/all/images/5e/99/60x45/5e991bef.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 505 000 |  2008  |  89 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007182243-9c0a5 | http://is18.auto.ru/all/images/1a/2d/60x45/1a2deed9.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 570 000 |  2009  |  73 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 21.01.15
