1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007251447-77a6d | http://is3.auto.ru/all/images/9d/8b/60x45/9d8b0fe9.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 130 000 |  2001  |  236 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007251385-b7f752 | http://is10.auto.ru/all/images/60/7e/60x45/607eab89.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 210 000 |  2000  |  180 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005811305-e6a9d | http://is15.auto.ru/all/images/05/3a/60x45/053ad123.jpg |  Nissan Almera II (N16)1.8 AT (114 л.с.)  | #9c9999 | 230 000 |  2002  |  181 км  |  1.8 AT (114 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
47557738-7a3286 | http://is6.auto.ru/all/images/ad/23/60x45/ad2322eb.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #926547 | 275 000 |  2005  |  138 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Белореченск | 22.01.15
47559032-ff54 | http://is17.auto.ru/all/images/ae/13/60x45/ae1306c9.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #926547 | 275 000 |  2005  |  138 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Майкоп | 22.01.15
1007251139-7bed | http://is8.auto.ru/all/images/20/c4/60x45/20c41c75.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 280 000 |  2006  |  86 500 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Химки | 22.01.15
1007116941-daa8 | http://is18.auto.ru/all/images/23/b7/60x45/23b77963.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 600 000 |  2014  |  2 400 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1003901730-665ab | http://is3.auto.ru/all/images/b2/a9/60x45/b2a9dbb7.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 546 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003901804-7a16a | http://is4.auto.ru/all/images/ff/b4/60x45/ffb44709.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 578 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007155015-c7769 | http://is13.auto.ru/all/images/65/80/60x45/6580245e.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 222 222 |  2005  |  134 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227325-25c57d | http://is3.auto.ru/all/images/8f/de/60x45/8fdeb63c.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 244 444 |  2005  |  107 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007154835-bde39 | http://is8.auto.ru/all/images/32/38/60x45/323825ee.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 269 999 |  2006  |  95 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007228085-e45f8 | http://is14.auto.ru/all/images/a4/b8/60x45/a4b82210.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 288 888 |  2006  |  67 895 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227691-5393 | http://is11.auto.ru/all/images/1e/65/60x45/1e654431.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 299 999 |  2006  |  89 564 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007249419-a4ff | http://is1.auto.ru/all/images/9d/a7/60x45/9da7f86f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 189 979 |  2003  |  156 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007249441-38c1e0 | http://is3.auto.ru/all/images/af/1e/60x45/af1e6f8e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 249 777 |  2005  |  149 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007248345-d0ab | http://is3.auto.ru/all/images/0c/ea/60x45/0ceabc4e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 290 000 |  2006  |  96 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 22.01.15
1007053099-91a5 | http://is18.auto.ru/all/images/11/af/60x45/11af3a20.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 210 000 |  2005  |  150 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Тамбов | 22.01.15
1007248033-1ca5af | http://is10.auto.ru/all/images/5f/43/60x45/5f43fdd4.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 560 000 |  2014  |  20 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007246573-dc9e3b | http://is3.auto.ru/all/images/84/9d/60x45/849de808.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0000FF | 90 000 |  1998  |  289 518 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007247469-c07e | http://is16.auto.ru/all/images/83/2f/60x45/832f0115.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 110 000 |  1999  |  210 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Ковров | 22.01.15
1007224981-ac76d | http://is2.auto.ru/all/images/02/be/60x45/02be10c7.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 345 000 |  2006  |  136 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005522143-bf3e | http://is9.auto.ru/all/images/8a/99/60x45/8a992cd9.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #9c9999 | 679 000 |  2014  |  9 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007246487-67385 | http://is18.auto.ru/all/images/e0/03/60x45/e003f986.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #34ba2b | 160 000 |  2001  |  295 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Уфа | 22.01.15
1007246275-a5811e | http://is5.auto.ru/all/images/be/33/60x45/be3331a5.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0000FF | 290 000 |  2005  |  158 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004485453-0eee | http://is18.auto.ru/all/images/dd/7a/60x45/dd7a0943.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 230 000 |  2005  |  88 000 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007049395-0182 | http://is5.auto.ru/all/images/af/f9/60x45/aff9466e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 395 400 |  2005  |  126 456 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242757-338b | http://is8.auto.ru/all/images/6b/9b/60x45/6b9b4148.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 250 000 |  2004  |  235 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006845827-66a7 | http://is15.auto.ru/all/images/7a/85/60x45/7a857d28.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 255 555 |  2006  |  98 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006806213-55ec | http://is6.auto.ru/all/images/68/d6/60x45/68d6930d.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 245 000 |  2006  |  153 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006516999-97299 | http://is11.auto.ru/all/images/25/e2/60x45/25e2718c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 255 000 |  2006  |  114 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007188341-1de990 | http://is15.auto.ru/all/images/22/10/60x45/22106374.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 350 000 |  2006  |  139 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007184229-e4080 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 550 000 |  2014  |  17 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007239791-819aea | http://is13.auto.ru/all/images/f5/d4/60x45/f5d46f13.jpg |  Nissan Almera I (N15)2.0d MT (76 л.с.)  | #CACECB | 220 000 |  1999  |  99 000 км  |  2.0d MT (76 л.с.)хэтчбек, дизель, передний  | Москва | 22.01.15
1007239877-45da2 | http://is17.auto.ru/all/images/3f/a5/60x45/3fa5f317.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #000000 | 99 000 |  1998  |  200 000 км  |  1.6 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007238765-bb6d | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #9c9999 | 580 000 |  2014  |  1 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Панино | 22.01.15
1007157913-5cfc5 | http://is14.auto.ru/all/images/9b/7e/60x45/9b7efff7.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 288 888 |  2005  |  116 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007239407-04f0d0 | http://is9.auto.ru/all/images/63/8b/60x45/638b2271.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 240 000 |  2005  |  190 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Боровичи | 22.01.15
1006111913-c92a | http://is10.auto.ru/all/images/57/c6/60x45/57c61849.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 265 000 |  2004  |  95 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1005978151-7873 | http://is1.auto.ru/all/images/4e/92/60x45/4e92ddb8.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #FF0000 | 230 000 |  2005  |  87 109 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007238573-30760d | http://is5.auto.ru/all/images/f1/e5/60x45/f1e59895.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #ffefd5 | 266 000 |  2005  |  114 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1005911023-9fd0 | http://is9.auto.ru/all/images/8a/91/60x45/8a91b0d7.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 530 000 |  2014  |  1 200 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007107303-67f9 | http://is11.auto.ru/all/images/9e/17/60x45/9e175b9b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 240 000 |  2006  |  108 535 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
38571308-9201ce | http://is4.auto.ru/all/images/3d/65/60x45/3d654734.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 210 000 |  2002  |  199 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Юрьев-Польский | 22.01.15
1006978073-97a7 | http://is5.auto.ru/all/images/56/73/60x45/5673509c.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 215 000 |  2002  |  199 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007237647-f6683 | http://is1.auto.ru/all/images/c5/35/60x45/c53522bb.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #0000FF | 145 000 |  1998  |  157 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007176695-1b9fd | http://is15.auto.ru/all/images/c4/5b/60x45/c45bdce9.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 611 110 |  2014  |  6 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006865555-5dc12a | http://is14.auto.ru/all/images/d1/7b/60x45/d17badb9.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 250 000 |  2005  |  100 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003124830-cec0 | http://is13.auto.ru/all/images/e0/33/60x45/e0339a37.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 540 000 |  2014  |  55 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004971395-bf9bbc | http://is11.auto.ru/all/images/1d/51/60x45/1d51c15d.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 570 000 |  2014  |  2 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Великие Луки | 22.01.15
42864938-11c0e | http://is17.auto.ru/all/images/66/ff/60x45/66ff7b93.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 225 000 |  2005  |  141 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007235579-063f8c | http://is18.auto.ru/all/images/fe/f4/60x45/fef43b11.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 210 000 |  2004  |  197 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007235509-d178cf | http://is14.auto.ru/all/images/ed/d5/60x45/edd5f7ec.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 279 888 |  2006  |  91 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007233971-beed | http://is15.auto.ru/all/images/53/92/60x45/53921377.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 233 000 |  2003  |  128 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1002558247-cd73 | http://is2.auto.ru/all/images/86/56/60x45/8656c882.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #FFCC00 | 190 000 |  2005  |  200 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Вязьма | 22.01.15
1007233681-83c393 | http://is5.auto.ru/all/images/75/37/60x45/75374a22.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 235 000 |  2004  |  118 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Щелково | 22.01.15
1002109613-68a15f | http://is4.auto.ru/all/images/72/28/60x45/722873e3.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 315 000 |  2005  |  105 143 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007053783-b3c949 | http://is9.auto.ru/all/images/f4/4c/60x45/f44c1b1f.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 200 000 |  2005  |  217 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006737311-aeb0 | http://is16.auto.ru/all/images/55/26/60x45/55268bd5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 255 000 |  2005  |  93 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1002282449-df86 | http://is8.auto.ru/all/images/53/c3/60x45/53c3184f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 231 500 |  2004  |  136 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Наро-Фоминск | 22.01.15
1007035625-f2f0 | http://is14.auto.ru/all/images/38/98/60x45/389890f2.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 319 000 |  2006  |  115 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Уфа | 22.01.15
1007227449-db9b | http://is11.auto.ru/all/images/80/12/60x45/80127243.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 220 000 |  2005  |  90 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007229695-af33 | http://is12.auto.ru/all/images/b9/b2/60x45/b9b271b5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 275 000 |  2006  |  94 120 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227753-a2fa6 | http://is13.auto.ru/all/images/c9/d1/60x45/c9d16380.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 255 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007228617-070636 | http://is8.auto.ru/all/images/5e/d1/60x45/5ed11ae0.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 399 900 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007226993-5896f | http://is18.auto.ru/all/images/6c/96/60x45/6c96a064.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #000000 | 90 000 |  1998  |  305 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007226179-2c73fb | http://is3.auto.ru/all/images/55/bb/60x45/55bbf9a7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 260 000 |  2006  |  145 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Глазов | 22.01.15
1005646057-525f | http://is11.auto.ru/all/images/89/26/60x45/8926aac2.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 120 000 |  1996  |  200 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007225189-c5e4 | http://is18.auto.ru/all/images/d9/4b/60x45/d94bcf1c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 155 555 |  2004  |  99 239 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007225785-beff | http://is9.auto.ru/all/images/e9/7e/60x45/e97e4882.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #34ba2b | 119 888 |  1998  |  169 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007220917-cdba2a | http://is17.auto.ru/all/images/a3/f7/60x45/a3f7887b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 355 000 |  2006  |  98 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223449-093ca | /i/all7/img/no-photo-thumb.gif |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 459 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007220583-7ee568 | http://is6.auto.ru/all/images/54/56/60x45/54569f31.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 540 000 |  2014  |  7 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215011-d31a2 | http://is7.auto.ru/all/images/3c/e7/60x45/3ce786db.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 499 888 |  2014  |  6 500 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007214753-7d0992 | http://is10.auto.ru/all/images/79/5d/60x45/795dc968.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 219 000 |  2002  |  148 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Жуковский | 22.01.15
1002736529-e0c9 | http://is18.auto.ru/all/images/40/51/60x45/40512fac.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 549 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006800329-cee00 | http://is7.auto.ru/all/images/10/4e/60x45/104e3376.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 520 000 |  2014  |  3 900 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Дубна | 22.01.15
1005762229-643117 | http://is6.auto.ru/all/images/f1/7a/60x45/f17a2626.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 223 000 |  2005  |  122 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1004553701-43f44f | http://is15.auto.ru/all/images/34/0b/60x45/340bc712.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 310 000 |  2006  |  84 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007188919-4f514 | http://is11.auto.ru/all/images/d8/12/60x45/d812e596.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 235 000 |  2005  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Зеленоград | 21.01.15
1007187885-b04f | http://is15.auto.ru/all/images/64/88/60x45/6488cfbb.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 245 000 |  2005  |  156 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007187355-d61b7f | http://is12.auto.ru/all/images/26/aa/60x45/26aaa99a.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 250 000 |  2005  |  150 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007187485-b501bc | http://is17.auto.ru/all/images/62/9c/60x45/629c4801.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #CACECB | 160 000 |  1999  |  120 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006813359-fa943 | http://is12.auto.ru/all/images/b7/5b/60x45/b75b6c41.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #9c9999 | 160 000 |  2000  |  290 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Тверь | 21.01.15
1007187705-608f | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 270 000 |  2006  |  140 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007187005-bbd00c | http://is8.auto.ru/all/images/78/b5/60x45/78b5be1a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 270 000 |  2005  |  135 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ейск | 21.01.15
1007172153-5651 | http://is17.auto.ru/all/images/12/e9/60x45/12e9fcf7.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 270 000 |  2004  |  180 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Балашиха | 21.01.15
49258178-8f26 | http://is18.auto.ru/all/images/f9/5e/60x45/f95ed33a.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 245 000 |  2001  |  118 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
1007187371-c913 | http://is7.auto.ru/all/images/cc/4c/60x45/cc4c8938.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 570 000 |  2014  |  10 700 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Железногорск | 21.01.15
1007187111-2c7e86 | http://is1.auto.ru/all/images/80/51/60x45/805147a1.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 270 000 |  2003  |  129 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Тюмень | 21.01.15
1007187121-617f | http://is15.auto.ru/all/images/13/7b/60x45/137b9e45.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #000000 | 110 000 |  1996  |  293 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Кострома | 21.01.15
1007186943-3685d9 | http://is16.auto.ru/all/images/d4/9e/60x45/d49ea9b4.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 300 000 |  2005  |  143 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Апрелевка | 21.01.15
1007185975-e490 | http://is3.auto.ru/all/images/83/c2/60x45/83c2dd55.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #FF0000 | 143 000 |  1996  |  192 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Тверь | 21.01.15
1007186219-e55674 | http://is2.auto.ru/all/images/b4/96/60x45/b496909f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 249 900 |  2004  |  90 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007185857-8939d | http://is4.auto.ru/all/images/49/c9/60x45/49c999ef.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 500 000 |  2014  |  7 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007185363-4be53a | http://is14.auto.ru/all/images/b0/66/60x45/b066e92a.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 699 000 |  2014  |  1 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1004352909-1eff | http://is2.auto.ru/all/images/32/72/60x45/32721cc7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 260 000 |  2006  |  157 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Чебоксары | 21.01.15
1007046099-8eb0a | http://is5.auto.ru/all/images/4f/f0/60x45/4ff09ce7.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 250 000 |  2002  |  125 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007184083-efae | http://is8.auto.ru/all/images/6d/c8/60x45/6dc8935f.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 105 000 |  1997  |  200 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Долгопрудный | 21.01.15
1006615605-e6a040 | http://is4.auto.ru/all/images/fd/cc/60x45/fdcccd6a.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFCC00 | 600 000 |  2014  |  5 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007173271-d1f759 | http://is8.auto.ru/all/images/7c/c3/60x45/7cc3fc4a.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #0000FF | 199 000 |  2002  |  177 542 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
