1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1007226971-e13345 | http://is3.auto.ru/all/images/ab/fa/60x45/abfa1d91.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #9c9999 | 799 000 |  2005  |  100 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007226601-c9df0 | http://is11.auto.ru/all/images/2f/c3/60x45/2fc3b7f6.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #CACECB | 1 050 000 |  2008  |  82 000 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007227091-2b59e | http://is8.auto.ru/all/images/b8/91/60x45/b891a0d6.jpg |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 275 000 |  2001  |  99 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227461-663a | http://is16.auto.ru/all/images/47/19/60x45/471997cd.jpg |  Volkswagen Touareg I3.6 AT (280 л.с.) 4WD  | #0000FF | 777 000 |  2007  |  70 000 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007229649-6bd204 | http://is7.auto.ru/all/images/f3/1b/60x45/f31bac0d.jpg |  Volkswagen Tiguan I1.4 MT (150 л.с.) 4WD  | #FFFFFF | 629 000 |  2008  |  78 000 км  |  1.4 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 22.01.15
1007229569-84a734 | http://is12.auto.ru/all/images/69/ec/60x45/69ec90dd.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (240 л.с.) 4WD  | #9c9999 | 1 155 000 |  2009  |  75 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007229385-c7ca | http://is13.auto.ru/all/images/3d/a6/60x45/3da6ca3a.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #000000 | 849 888 |  2007  |  166 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
1007229607-9acc | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touareg I3.0d AT (224 л.с.) 4WD  | #9c9999 | 733 000 |  2005  |  106 900 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007229797-53d9 | http://is15.auto.ru/all/images/04/55/60x45/0455c6b9.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #CACECB | 550 000 |  2004  |  116 285 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007229643-76eb | http://is2.auto.ru/all/images/35/0b/60x45/350bd612.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #000000 | 895 000 |  2012  |  57 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007229109-d1923 | http://is18.auto.ru/all/images/e1/02/60x45/e1021e58.jpg |  Volkswagen Passat CC I2.0 AT (200 л.с.)  | #000000 | 750 000 |  2009  |  131 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007229079-eaf94 | http://is2.auto.ru/all/images/03/f0/60x45/03f0f528.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #0000FF | 687 400 |  2014  |  6 546 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005268089-062e | http://is5.auto.ru/all/images/f8/01/60x45/f8016b6e.jpg |  Volkswagen Vento1.8 MT (90 л.с.)  | #34ba2b | 210 000 |  1996  |  250 000 км  |  1.8 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006628439-0fcc | http://is17.auto.ru/all/images/db/2c/60x45/db2c7300.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #926547 | 2 400 000 |  2013  |  69 000 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
1007228861-34b5 | http://is9.auto.ru/all/images/74/f6/60x45/74f60d7f.jpg |  Volkswagen Golf IV1.8 AT (150 л.с.)  | #000000 | 233 333 |  2000  |  120 780 км  |  1.8 AT (150 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007228799-010b | http://is5.auto.ru/all/images/e0/3d/60x45/e03d2b42.jpg |  Volkswagen Passat B51.6 MT (101 л.с.)  | #CACECB | 235 000 |  2000  |  105 236 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007228775-493a53 | http://is16.auto.ru/all/images/85/5d/60x45/855d6189.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #CACECB | 265 000 |  2003  |  105 235 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007228731-c321b | http://is16.auto.ru/all/images/6b/20/60x45/6b20fcf9.jpg |  Volkswagen Bora1.6 AT (102 л.с.)  | #000000 | 275 000 |  2004  |  113 065 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007228561-efcc | http://is13.auto.ru/all/images/16/cd/60x45/16cd2504.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #000000 | 550 000 |  2007  |  104 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007228341-8ebb | http://is13.auto.ru/all/images/ac/1b/60x45/ac1bc5de.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (105 л.с.)  | #CC0033 | 565 000 |  2011  |  60 123 км  |  1.2 MT (105 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228401-98bc | http://is13.auto.ru/all/images/9d/83/60x45/9d83dc5e.jpg |  Volkswagen Caddy III Рестайлинг Maxi1.2 MT (105 л.с.)  | #0000FF | 710 000 |  2012  |  55 456 км  |  1.2 MT (105 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228333-62ce3 | http://is2.auto.ru/all/images/c8/5a/60x45/c85a0f64.jpg |  Volkswagen Caddy III1.6 MT (102 л.с.)  | #CC0033 | 415 000 |  2007  |  89 878 км  |  1.6 MT (102 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228423-d510eb | http://is12.auto.ru/all/images/5a/38/60x45/5a38639d.jpg |  Volkswagen Caddy III1.6 MT (102 л.с.)  | #0000FF | 420 000 |  2008  |  78 250 км  |  1.6 MT (102 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228377-fb10c5 | http://is3.auto.ru/all/images/dc/d0/60x45/dcd0f5fc.jpg |  Volkswagen Caddy III1.6 MT (102 л.с.)  | #0000FF | 450 000 |  2009  |  87 659 км  |  1.6 MT (102 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228417-2c88 | http://is18.auto.ru/all/images/71/c6/60x45/71c6505f.jpg |  Volkswagen Caddy III Maxi1.6 MT (102 л.с.)  | #CC0033 | 450 000 |  2007  |  89 765 км  |  1.6 MT (102 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007228397-6561 | http://is17.auto.ru/all/images/4d/a6/60x45/4da60ee9.jpg |  Volkswagen Caddy III Maxi1.6 MT (102 л.с.)  | #CC0033 | 650 000 |  2009  |  89 787 км  |  1.6 MT (102 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1005811735-ba739 | http://is17.auto.ru/all/images/a5/3e/60x45/a53e4989.jpg |  Volkswagen Touran I1.6 MT (115 л.с.)  | #CACECB | 380 000 |  2004  |  160 500 км  |  1.6 MT (115 л.с.)компактвэн, бензин, передний  | Пенза | 22.01.15
1007228283-b5144 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #34ba2b | 333 000 |  2002  |  155 111 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007190527-81a945 | http://is15.auto.ru/all/images/fb/a2/60x45/fba2a526.jpg |  Volkswagen Scirocco III2.0 AT (210 л.с.)  | #FFFFFF | 1 180 000 |  2012  |  28 000 км  |  2.0 AT (210 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007228011-8224ee | http://is2.auto.ru/all/images/7e/9e/60x45/7e9ee179.jpg |  Volkswagen Transporter T42.5d MT (88 л.с.)  | #FFFFFF | 450 000 |  2002  |  168 000 км  |  2.5d MT (88 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007228145-8c8b3a | http://is1.auto.ru/all/images/3f/97/60x45/3f97f624.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 495 000 |  2005  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227557-835e1f | http://is4.auto.ru/all/images/e8/ca/60x45/e8ca335f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  66 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227567-c292 | http://is1.auto.ru/all/images/da/17/60x45/da171ddd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  63 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227571-078fc | http://is1.auto.ru/all/images/eb/0a/60x45/eb0a79a4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  68 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227529-2c8216 | http://is3.auto.ru/all/images/fa/43/60x45/fa43cf2e.jpg |  Volkswagen Touareg I Рестайлинг3.6 AT (280 л.с.) 4WD  | #000000 | 855 000 |  2008  |  115 200 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007227331-bb4d63 | http://is3.auto.ru/all/images/57/36/60x45/5736bd57.jpg |  Volkswagen Jetta V1.6 AT (102 л.с.)  | #9c9999 | 555 555 |  2008  |  80 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007226387-c40438 | http://is3.auto.ru/all/images/8e/dc/60x45/8edc887a.jpg |  Volkswagen Passat B31.8 MT (107 л.с.)  | #0000FF | 109 900 |  1990  |  330 000 км  |  1.8 MT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007226771-7d67 | http://is14.auto.ru/all/images/b8/32/60x45/b83248c2.jpg |  Volkswagen Passat B51.6 MT (101 л.с.)  | #9c9999 | 259 900 |  2000  |  207 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007226497-32a1f | http://is15.auto.ru/all/images/cb/45/60x45/cb458888.jpg |  Volkswagen Scirocco III1.4 MT (160 л.с.)  | #000000 | 600 000 |  2008  |  59 000 км  |  1.4 MT (160 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007226609-0646c | http://is3.auto.ru/all/images/e7/66/60x45/e766d0a7.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (224 л.с.) 4WD  | #000000 | 1 098 123 |  2008  |  59 876 км  |  3.0d AT (224 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007226573-bbfdd | http://is2.auto.ru/all/images/b8/7c/60x45/b87c7a7d.jpg |  Volkswagen Golf III1.8 AT (90 л.с.)  | #0000FF | 165 000 |  1996  |  137 355 км  |  1.8 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007226465-95c2d | http://is17.auto.ru/all/images/e0/ae/60x45/e0ae42ca.jpg |  Volkswagen Golf VI1.2 MT (105 л.с.)  | #9c9999 | 555 000 |  2011  |  47 098 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007226485-2249e | http://is18.auto.ru/all/images/ef/a2/60x45/efa28176.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 311 111 |  2003  |  98 520 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224671-835d8d | http://is18.auto.ru/all/images/2c/a1/60x45/2ca17c48.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #FF0000 | 188 888 |  1994  |  15 220 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007226289-6bfdf | http://is1.auto.ru/all/images/ba/95/60x45/ba95cf23.jpg |  Volkswagen Passat B62.0 AT (200 л.с.)  | #CACECB | 455 000 |  2005  |  125 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224679-aa56 | http://is4.auto.ru/all/images/11/07/60x45/1107e170.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.) 4WD  | #926547 | 2 180 000 |  2012  |  57 000 км  |  2.0d AT (180 л.с.) 4WDминивэн, дизель, полный  | Москва | 22.01.15
1007224721-c6df | http://is16.auto.ru/all/images/a2/2a/60x45/a22ac458.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.) 4WD  | #9c9999 | 2 330 000 |  2011  |  51 000 км  |  2.0d AT (180 л.с.) 4WDминивэн, дизель, полный  | Москва | 22.01.15
1007224109-5360a | http://is18.auto.ru/all/images/f5/e6/60x45/f5e69c49.jpg |  Volkswagen Touareg II3.0d AT (245 л.с.) 4WD  | #FFFFFF | 3 490 000 |  2014  |  1 094 км  |  3.0d AT (245 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007225357-a2b7 | http://is5.auto.ru/all/images/a3/7f/60x45/a37f1eb5.jpg |  Volkswagen Touareg I3.2 AT (241 л.с.) 4WD  | #9c9999 | 699 999 |  2005  |  116 981 км  |  3.2 AT (241 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007224945-701eb | http://is3.auto.ru/all/images/74/ed/60x45/74ed29eb.jpg |  Volkswagen Touareg I2.5d MT (174 л.с.) 4WD  | #9c9999 | 777 777 |  2006  |  95 000 км  |  2.5d MT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1006877937-d002 | http://is17.auto.ru/all/images/5e/9d/60x45/5e9d37f4.jpg |  Volkswagen Passat B61.8 MT (160 л.с.)  | #926547 | 840 000 |  2008  |  165 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224847-f777 | http://is7.auto.ru/all/images/a6/4c/60x45/a64cba61.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.)  | #FFFFFF | 1 560 000 |  2011  |  91 200 км  |  2.0d AT (180 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007226075-cc7949 | http://is17.auto.ru/all/images/be/c2/60x45/bec2fbe6.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 299 888 |  2001  |  218 000 км  |  1.8 AT (150 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007224077-f58cc4 | http://is8.auto.ru/all/images/71/12/60x45/711219a5.jpg |  Volkswagen Passat B62.0 MT (150 л.с.)  | #000000 | 629 000 |  2006  |  191 757 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007225981-53d57a | http://is11.auto.ru/all/images/87/29/60x45/872910c8.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #926547 | 1 768 000 |  2011  |  64 520 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007225967-826dc | http://is6.auto.ru/all/images/f0/ec/60x45/f0eca29f.jpg |  Volkswagen Touareg I2.5d AT (174 л.с.) 4WD  | #000000 | 898 000 |  2007  |  99 852 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007226021-3d3d | http://is12.auto.ru/all/images/fb/a7/60x45/fba767c7.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #CACECB | 239 888 |  2001  |  232 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007222305-d33c0 | http://is16.auto.ru/all/images/7c/95/60x45/7c95cb02.jpg |  Volkswagen Jetta VI1.6 AT (105 л.с.)  | #9c9999 | 755 555 |  2013  |  3 400 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007225955-11083 | http://is15.auto.ru/all/images/dc/63/60x45/dc6332c6.jpg |  Volkswagen Passat B31.8 MT (112 л.с.)  | #34ba2b | 129 000 |  1991  |  133 333 км  |  1.8 MT (112 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007221803-41fef | http://is9.auto.ru/all/images/e7/c1/60x45/e7c1beca.jpg |  Volkswagen Touareg II3.0d AT (204 л.с.) 4WD  | #FFFFFF | 2 099 000 |  2012  |  50 000 км  |  3.0d AT (204 л.с.) 4WDвнедорожник, дизель, полный  | Санкт-Петербург | 22.01.15
1007222647-6a74 | http://is4.auto.ru/all/images/f2/df/60x45/f2df4130.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (174 л.с.) 4WD  | #000000 | 899 999 |  2008  |  120 000 км  |  2.5d AT (174 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007225919-814bcc | http://is10.auto.ru/all/images/f1/86/60x45/f18619a4.jpg |  Volkswagen Passat B31.8 MT (75 л.с.)  | #0000FF | 109 880 |  1990  |  369 000 км  |  1.8 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007225403-bc5d | http://is11.auto.ru/all/images/ba/0b/60x45/ba0bbd9b.jpg |  Volkswagen Touran II1.2 MT (105 л.с.)  | #926547 | 719 888 |  2011  |  55 757 км  |  1.2 MT (105 л.с.)компактвэн, бензин, передний  | Санкт-Петербург | 22.01.15
1007221671-21e15d | http://is15.auto.ru/all/images/50/d1/60x45/50d123c3.jpg |  Volkswagen Golf III1.9d MT (90 л.с.)  | #0000FF | 177 777 |  1995  |  147 000 км  |  1.9d MT (90 л.с.)хэтчбек, дизель, передний  | Москва | 22.01.15
1007225515-a15248 | http://is10.auto.ru/all/images/d9/64/60x45/d964fa8b.jpg |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #000000 | 69 888 |  1989  |  185 000 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225491-d9fd6 | http://is15.auto.ru/all/images/23/ab/60x45/23ab1315.jpg |  Volkswagen Passat B31.9d MT (75 л.с.)  | #34ba2b | 199 888 |  1994  |  198 000 км  |  1.9d MT (75 л.с.)универсал, дизель, передний  | Санкт-Петербург | 22.01.15
1007221651-08d77 | http://is6.auto.ru/all/images/a1/e7/60x45/a1e7441c.jpg |  Volkswagen Golf IV1.8 MT (125 л.с.) 4WD  | #CACECB | 233 300 |  2002  |  122 000 км  |  1.8 MT (125 л.с.) 4WDхэтчбек, бензин, полный  | Москва | 22.01.15
1007221281-11b67 | http://is7.auto.ru/all/images/94/d2/60x45/94d27878.jpg |  Volkswagen Touareg II3.0d AT (240 л.с.) 4WD  | #CACECB | 1 980 000 |  2011  |  112 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 22.01.15
1007220993-a6c1d0 | http://is9.auto.ru/all/images/0a/f9/60x45/0af9f10e.jpg |  Volkswagen Multivan T5 Рестайлинг2.0d AT (180 л.с.)  | #CACECB | 1 850 000 |  2011  |  38 000 км  |  2.0d AT (180 л.с.)минивэн, дизель, передний  | Санкт-Петербург | 22.01.15
1007225507-93b0 | http://is8.auto.ru/all/images/f5/fb/60x45/f5fbd8f2.jpg |  Volkswagen Passat B51.9d MT (90 л.с.)  | #FF0000 | 279 888 |  1998  |  178 962 км  |  1.9d MT (90 л.с.)седан, дизель, передний  | Санкт-Петербург | 22.01.15
1007225245-6d9f | http://is13.auto.ru/all/images/33/a1/60x45/33a13abc.jpg |  Volkswagen Passat B51.6 AT (101 л.с.)  | #000000 | 219 888 |  1997  |  223 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007225455-d7aa | http://is7.auto.ru/all/images/97/6f/60x45/976fd1ed.jpg |  Volkswagen Caddy III1.4 MT (75 л.с.)  | #0000FF | 435 000 |  2010  |  115 000 км  |  1.4 MT (75 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007225347-681f | http://is5.auto.ru/all/images/94/33/60x45/9433c44e.jpg |  Volkswagen Jetta VI1.4 AT (122 л.с.)  | #000000 | 760 000 |  2014  |  35 000 км  |  1.4 AT (122 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007225353-bba391 | http://is17.auto.ru/all/images/4d/f7/60x45/4df77311.jpg |  Volkswagen Golf V1.6 MT (115 л.с.)  | #000000 | 399 999 |  2007  |  68 300 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225165-78330 | http://is17.auto.ru/all/images/db/44/60x45/db449352.jpg |  Volkswagen Tiguan I1.4 MT (150 л.с.) 4WD  | #000000 | 960 000 |  2011  |  17 800 км  |  1.4 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 22.01.15
1007225279-db1887 | http://is6.auto.ru/all/images/06/96/60x45/0696491d.jpg |  Volkswagen Transporter T5 Long1.9d MT (102 л.с.)  | #FF0000 | 766 000 |  2008  |  202 901 км  |  1.9d MT (102 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224979-3b8dd | http://is9.auto.ru/all/images/6f/b9/60x45/6fb9a426.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 419 000 |  2013  |  23 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224849-a76a33 | http://is8.auto.ru/all/images/46/d3/60x45/46d3eeb3.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 535 000 |  2013  |  43 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224935-7c64ee | http://is5.auto.ru/all/images/eb/d1/60x45/ebd16dbf.jpg |  Volkswagen Passat CC I2.0d AT (170 л.с.)  | #000000 | 844 444 |  2011  |  37 564 км  |  2.0d AT (170 л.с.)седан, дизель, передний  | Москва | 22.01.15
1007224923-9a2d6a | http://is9.auto.ru/all/images/57/4e/60x45/574e7770.jpg |  Volkswagen Caravelle T52.5d AT (174 л.с.)  | #ffefd5 | 1 080 000 |  2008  |  110 000 км  |  2.5d AT (174 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224743-ccc9e | http://is2.auto.ru/all/images/ea/26/60x45/ea260939.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 799 999 |  2012  |  48 456 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224723-e97f9d | http://is18.auto.ru/all/images/47/6b/60x45/476b990c.jpg |  Volkswagen Touran II2.0d AT (140 л.с.)  | #000000 | 930 000 |  2011  |  113 000 км  |  2.0d AT (140 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007224751-5917e4 | http://is8.auto.ru/all/images/84/52/60x45/845237f2.jpg |  Volkswagen Transporter T5 Рестайлинг2.0d MT (102 л.с.)  | #FFFFFF | 1 150 000 |  2012  |  69 000 км  |  2.0d MT (102 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224759-d84bd | http://is12.auto.ru/all/images/d5/3e/60x45/d53e3ccd.jpg |  Volkswagen Passat B5 Рестайлинг1.9d AT (130 л.с.)  | #0000FF | 288 888 |  2001  |  146 000 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007224677-0e2b8 | http://is3.auto.ru/all/images/10/d4/60x45/10d4b15a.jpg |  Volkswagen Lupo1.4 MT (100 л.с.)  | #000000 | 255 000 |  2004  |  125 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224597-2c686 | http://is15.auto.ru/all/images/5f/f5/60x45/5ff5f188.jpg |  Volkswagen Caddy III1.9d AT (105 л.с.)  | #ffefd5 | 585 000 |  2010  |  59 000 км  |  1.9d AT (105 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007224367-49b86 | http://is16.auto.ru/all/images/db/37/60x45/db37f434.jpg |  Volkswagen Jetta VI1.6 AT (105 л.с.)  | #CACECB | 665 000 |  2013  |  21 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224523-afbe | http://is17.auto.ru/all/images/ac/f9/60x45/acf9a98b.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #9c9999 | 699 900 |  2014  |  1 001 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007223813-7d9d | http://is14.auto.ru/all/images/ee/64/60x45/ee64372a.jpg |  Volkswagen Passat CC I1.8 MT (152 л.с.)  | #FFFFFF | 805 000 |  2011  |  76 000 км  |  1.8 MT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224425-f6ebc | http://is13.auto.ru/all/images/57/98/60x45/5798724f.jpg |  Volkswagen Transporter T5 Рестайлинг2.0d MT (84 л.с.)  | #FFFFFF | 995 000 |  2010  |  88 500 км  |  2.0d MT (84 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224583-e129 | http://is2.auto.ru/all/images/9d/1e/60x45/9d1ecb13.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #CACECB | 655 555 |  2004  |  148 631 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007224237-4d50f2 | http://is12.auto.ru/all/images/f0/e2/60x45/f0e25d90.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 450 000 |  2012  |  14 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224143-5873fa | http://is15.auto.ru/all/images/c2/b9/60x45/c2b9288b.jpg |  Volkswagen Touran II2.0d AT (110 л.с.)  | #0000FF | 699 000 |  2012  |  80 000 км  |  2.0d AT (110 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007224413-0d5aab | http://is2.auto.ru/all/images/02/ca/60x45/02ca00b0.jpg |  Volkswagen Caravelle T5 Рестайлинг2.0d MT (102 л.с.)  | #FFFFFF | 1 890 000 |  2013  |  1 280 км  |  2.0d MT (102 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224415-9f6082 | http://is14.auto.ru/all/images/40/c9/60x45/40c9fa7f.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #000000 | 355 555 |  2003  |  92 300 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224393-498ad | http://is12.auto.ru/all/images/e5/f2/60x45/e5f2bb7f.jpg |  Volkswagen Transporter T42.5d MT (102 л.с.)  | #FFFFFF | 422 222 |  2001  |  135 248 км  |  2.5d MT (102 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007224281-7f3b | http://is11.auto.ru/all/images/b6/73/60x45/b6734c60.jpg |  Volkswagen Touran I Рестайлинг1.9d AT (105 л.с.)  | #0000FF | 450 000 |  2008  |  71 000 км  |  1.9d AT (105 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
