1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1007163835-fcfa0 | http://is8.auto.ru/all/images/b8/c4/60x45/b8c4fee6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 260 000 |  2012  |  45 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Ульяновск | 22.01.15
1007250093-c650 | http://is14.auto.ru/all/images/52/ea/60x45/52ea99c4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 140 000 |  2006  |  177 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Троицк | 22.01.15
41396734-9b5ff6 | http://is5.auto.ru/all/images/44/f6/60x45/44f61ade.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 220 000 |  2011  |  60 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007247955-fb24da | http://is12.auto.ru/all/images/17/60/60x45/1760b3fa.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #CACECB | 145 000 |  2007  |  98 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006929043-1d143 | http://is8.auto.ru/all/images/3a/cb/60x45/3acb8518.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 220 000 |  2011  |  82 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006160881-fdfc | http://is17.auto.ru/all/images/8f/e4/60x45/8fe41e68.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 235 000 |  2011  |  45 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007250323-283f | http://is16.auto.ru/all/images/ab/e8/60x45/abe83c57.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 208 000 |  2011  |  57 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тольятти | 22.01.15
1007250205-133a | http://is18.auto.ru/all/images/37/38/60x45/37385b10.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 205 000 |  2012  |  90 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Казань | 22.01.15
1007237823-a5d14c | http://is8.auto.ru/all/images/44/b5/60x45/44b5f400.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 260 000 |  2012  |  45 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007250103-b2a65 | http://is4.auto.ru/all/images/b6/c0/60x45/b6c033d3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 225 000 |  2011  |  64 004 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007226721-6049 | http://is10.auto.ru/all/images/5f/fe/60x45/5ffecb5b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 288 888 |  2013  |  4 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007248865-b06ae | http://is15.auto.ru/all/images/9f/f0/60x45/9ff06446.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 82 000 |  2006  |  180 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007247937-e08fb | http://is11.auto.ru/all/images/9e/57/60x45/9e57eff6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 210 000 |  2010  |  44 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1007247977-2adda | http://is12.auto.ru/all/images/08/23/60x45/0823d69c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 257 000 |  2013  |  24 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Ижевск | 22.01.15
1007248549-00a88 | http://is16.auto.ru/all/images/9d/cf/60x45/9dcf4bbb.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 220 000 |  2008  |  51 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Краснодар | 22.01.15
1006571549-bd52e | http://is8.auto.ru/all/images/23/d5/60x45/23d584bd.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 185 000 |  2010  |  85 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247631-4dc01f | http://is17.auto.ru/all/images/30/ce/60x45/30ce7ffb.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #000000 | 375 000 |  2013  |  22 500 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Курск | 22.01.15
1007247559-795e23 | http://is12.auto.ru/all/images/e5/53/60x45/e5536fc8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 130 555 |  2006  |  130 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007247507-bd45 | http://is14.auto.ru/all/images/dc/95/60x45/dc95ae86.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 235 000 |  2012  |  45 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тамбов | 22.01.15
49867000-46fccb | http://is4.auto.ru/all/images/b5/90/60x45/b590f4ee.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 171 000 |  2009  |  99 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1007246141-36e36 | http://is9.auto.ru/all/images/8c/28/60x45/8c285181.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 230 000 |  2010  |  75 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Дзержинск | 22.01.15
1006160055-2369f | http://is15.auto.ru/all/images/65/07/60x45/65076715.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 155 000 |  2007  |  95 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Вурнары | 22.01.15
1007242583-dd2c | http://is9.auto.ru/all/images/10/34/60x45/1034d08b.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 250 000 |  2011  |  55 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005694583-a74a7 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 219 000 |  2011  |  40 546 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007242791-5245c | http://is5.auto.ru/all/images/e5/15/60x45/e515203a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 128 000 |  2008  |  122 220 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005970117-208e | http://is14.auto.ru/all/images/e6/25/60x45/e6255ffa.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 235 000 |  2012  |  37 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1006919849-5312 | http://is11.auto.ru/all/images/ba/32/60x45/ba32ae8f.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #CACECB | 355 000 |  2014  |  16 900 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006469769-8e5f0d | http://is7.auto.ru/all/images/fb/8f/60x45/fb8f02e9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 240 000 |  2012  |  43 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Воронеж | 22.01.15
46779146-8e7dc3 | http://is1.auto.ru/all/images/b7/c8/60x45/b7c829c0.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 180 000 |  2008  |  105 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007241803-b0dd | http://is14.auto.ru/all/images/f3/11/60x45/f311e9c4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 224 888 |  2012  |  66 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007241795-b278 | http://is17.auto.ru/all/images/bd/ca/60x45/bdca6728.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 229 888 |  2011  |  39 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007241323-279319 | http://is6.auto.ru/all/images/85/67/60x45/8567d79d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 175 000 |  2007  |  72 400 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Пенза | 22.01.15
1003065618-ee82d1 | http://is9.auto.ru/all/images/61/22/60x45/6122d67d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0088ff | 145 000 |  2007  |  85 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007240217-3fa5 | http://is17.auto.ru/all/images/52/bd/60x45/52bd157c.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9966CC | 205 000 |  2008  |  50 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240209-1f6c | http://is15.auto.ru/all/images/87/cb/60x45/87cb8d0d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 208 000 |  2008  |  27 846 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007045453-41fd | http://is2.auto.ru/all/images/16/d3/60x45/16d331a1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 215 000 |  2012  |  56 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Егорьевск | 22.01.15
1000250681-5951a4 | http://is11.auto.ru/all/images/06/2d/60x45/062de678.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #0000FF | 250 000 |  2010  |  64 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Ефремов | 22.01.15
1004900971-3815 | http://is9.auto.ru/all/images/32/71/60x45/3271d127.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 195 000 |  2008  |  76 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007095895-ace644 | http://is15.auto.ru/all/images/11/e3/60x45/11e31249.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 255 555 |  2012  |  52 411 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007208473-a16ff7 | http://is9.auto.ru/all/images/a1/b4/60x45/a1b4d469.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 215 000 |  2007  |  61 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007104373-59842 | http://is13.auto.ru/all/images/e0/29/60x45/e029a3bc.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 250 000 |  2011  |  42 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Новочеркасск | 22.01.15
1005507119-afaf08 | http://is17.auto.ru/all/images/df/45/60x45/df45917d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 260 000 |  2011  |  40 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Липецк | 22.01.15
1007218471-5addac | http://is6.auto.ru/all/images/0b/a5/60x45/0ba56eca.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 154 990 |  2010  |  50 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007238635-33763 | http://is9.auto.ru/all/images/a9/7e/60x45/a97ea122.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 199 000 |  2011  |  43 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007098515-5de0 | http://is16.auto.ru/all/images/97/b0/60x45/97b0337f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 265 000 |  2012  |  20 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Новомосковск | 22.01.15
1007114319-763561 | http://is3.auto.ru/all/images/84/cc/60x45/84cca03d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 230 000 |  2011  |  18 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Курск | 22.01.15
1007236965-94b7 | http://is11.auto.ru/all/images/09/fa/60x45/09fa6bef.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 250 000 |  2012  |  59 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ржев | 22.01.15
1002231759-a470e5 | http://is15.auto.ru/all/images/07/ae/60x45/07ae5996.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 290 000 |  2012  |  31 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Брянск | 22.01.15
1007237299-44b1a | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 165 000 |  2005  |  104 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Тольятти | 22.01.15
1002737227-118ac | http://is16.auto.ru/all/images/d7/3f/60x45/d73f795a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 150 000 |  2008  |  86 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Тверь | 22.01.15
1007236413-49c53 | http://is2.auto.ru/all/images/fc/65/60x45/fc65ace7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 170 000 |  2007  |  63 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Владимир | 22.01.15
1007234453-c2d2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 180 000 |  2011  |  63 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
50262306-37e3 | http://is14.auto.ru/all/images/a3/47/60x45/a347cc67.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 205 000 |  2009  |  100 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Тула | 22.01.15
1006522071-6c0e12 | http://is16.auto.ru/all/images/83/c1/60x45/83c1c4c4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 155 000 |  2007  |  89 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1007235995-e7b780 | http://is13.auto.ru/all/images/7a/91/60x45/7a91202b.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #0000FF | 145 000 |  2006  |  106 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Орел | 22.01.15
1007235595-960a0b | http://is15.auto.ru/all/images/5e/6c/60x45/5e6cbfd0.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 205 000 |  2010  |  68 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Брянск | 22.01.15
1006621667-5a354 | http://is16.auto.ru/all/images/16/fb/60x45/16fbe550.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 215 000 |  2010  |  98 600 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007035093-867410 | http://is13.auto.ru/all/images/bd/7b/60x45/bd7b2b32.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 272 000 |  2013  |  93 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Владимир | 22.01.15
1007035095-a132 | http://is12.auto.ru/all/images/70/21/60x45/70215223.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 198 000 |  2009  |  79 879 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Владимир | 22.01.15
1006802643-2dda | http://is4.auto.ru/all/images/95/6a/60x45/956a66b7.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 210 000 |  2008  |  46 500 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Владимир | 22.01.15
1006796865-da8e | http://is3.auto.ru/all/images/52/5b/60x45/525ba5c8.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #fde910 | 220 000 |  2011  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1007234871-e16fb7 | http://is4.auto.ru/all/images/64/11/60x45/6411c28b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 232 000 |  2012  |  25 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Арзамас | 22.01.15
1007234635-fba3d | http://is9.auto.ru/all/images/08/f0/60x45/08f02065.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #34ba2b | 220 000 |  2010  |  86 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ковров | 22.01.15
1007234551-9663 | http://is16.auto.ru/all/images/26/03/60x45/2603a1c2.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 250 000 |  2012  |  40 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
1007234369-e6d1 | http://is6.auto.ru/all/images/90/fe/60x45/90fe5170.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 230 000 |  2011  |  21 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006740107-8dea48 | http://is9.auto.ru/all/images/69/f1/60x45/69f19f6f.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 230 000 |  2011  |  52 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007234235-0f0f2 | http://is11.auto.ru/all/images/ad/39/60x45/ad39581b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 239 990 |  2011  |  31 700 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Нижний Новгород | 22.01.15
1004332057-4d18 | http://is9.auto.ru/all/images/27/33/60x45/2733ea0c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 255 000 |  2012  |  16 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007233919-b86b | http://is16.auto.ru/all/images/b1/1d/60x45/b11d04b7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0088ff | 160 000 |  2006  |  86 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
1006468669-30e7 | http://is9.auto.ru/all/images/6f/a5/60x45/6fa55314.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 195 000 |  2008  |  75 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007232295-1c6e9 | http://is3.auto.ru/all/images/a7/ee/60x45/a7ee6273.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 210 000 |  2011  |  65 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Арзамас | 22.01.15
1007233379-6369 | http://is15.auto.ru/all/images/e3/a3/60x45/e3a39526.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 188 111 |  2007  |  83 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004226359-d667b | http://is15.auto.ru/all/images/7b/d6/60x45/7bd6ddde.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 223 000 |  2011  |  32 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Ликино-Дулево | 22.01.15
1006736883-990b1 | http://is6.auto.ru/all/images/c7/44/60x45/c7448894.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #34ba2b | 235 000 |  2012  |  62 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004612531-eb55b | http://is3.auto.ru/all/images/be/11/60x45/be111089.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 185 000 |  2009  |  88 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1005176827-9cbc9d | http://is8.auto.ru/all/images/63/c2/60x45/63c2a3d1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 220 000 |  2011  |  38 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1004548437-fecf3 | http://is8.auto.ru/all/images/eb/0f/60x45/eb0fe328.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 150 000 |  2006  |  64 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Павловский Посад | 22.01.15
1007232665-fce5 | http://is5.auto.ru/all/images/9c/e0/60x45/9ce0f6a5.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2012  |  56 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кисловодск | 22.01.15
1007108699-ac6c85 | http://is8.auto.ru/all/images/ff/00/60x45/ff00a4e2.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #CACECB | 399 000 |  2014  |  454 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007173871-af73aa | http://is2.auto.ru/all/images/c9/1a/60x45/c91ae0a1.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FF9966 | 350 000 |  2014  |  20 000 км  |  1.6 MT (87 л.с.)универсал, бензин, передний  | Павловский Посад | 22.01.15
1007231811-cfc236 | http://is2.auto.ru/all/images/a6/2f/60x45/a62fccf5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 160 000 |  2008  |  135 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Ессентуки | 22.01.15
1007231565-b6dd4 | http://is5.auto.ru/all/images/c0/46/60x45/c046b56b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 233 333 |  2011  |  70 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007229409-f8595 | http://is10.auto.ru/all/images/4c/a0/60x45/4ca032b4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 219 000 |  2011  |  39 200 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007228469-73fb | http://is3.auto.ru/all/images/5b/ba/60x45/5bba47dd.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 185 000 |  2010  |  70 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007228613-0be3d9 | http://is3.auto.ru/all/images/3e/f2/60x45/3ef220ba.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 160 000 |  2006  |  66 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007227263-a399a | http://is4.auto.ru/all/images/d5/a1/60x45/d5a1b132.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 192 000 |  2011  |  68 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Великий Новгород | 22.01.15
1007227115-d57a4 | http://is8.auto.ru/all/images/b2/c5/60x45/b2c55882.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FF9966 | 396 000 |  2013  |  1 500 км  |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007226047-02e549 | http://is17.auto.ru/all/images/00/77/60x45/00779994.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 209 888 |  2010  |  30 500 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225543-495490 | http://is13.auto.ru/all/images/5f/15/60x45/5f15f9a7.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #CACECB | 546 000 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007225539-577522 | http://is11.auto.ru/all/images/23/24/60x45/2324790e.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #CACECB | 561 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225211-21ce1 | http://is3.auto.ru/all/images/0d/ce/60x45/0dce4723.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 239 888 |  2011  |  37 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007225439-84bd78 | http://is17.auto.ru/all/images/fe/5c/60x45/fe5c8cba.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 129 888 |  2006  |  140 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007224719-d2a6c6 | http://is2.auto.ru/all/images/6d/67/60x45/6d6795ca.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 199 000 |  2008  |  96 247 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224551-ada12c | http://is17.auto.ru/all/images/95/9d/60x45/959d106a.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9c9999 | 255 000 |  2013  |  18 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220929-2ad4f1 | http://is7.auto.ru/all/images/7b/2b/60x45/7b2b00ed.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 200 000 |  2010  |  35 375 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007218211-ba56 | http://is11.auto.ru/all/images/3f/fa/60x45/3ffa2505.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 169 900 |  2007  |  110 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007215135-ead6 | http://is5.auto.ru/all/images/52/c7/60x45/52c76d8f.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 199 888 |  2010  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214995-a8e6 | http://is16.auto.ru/all/images/7d/06/60x45/7d06d1b5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 199 999 |  2010  |  50 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214633-29d6 | http://is2.auto.ru/all/images/4b/53/60x45/4b537185.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 252 000 |  2011  |  57 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
