1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1007190083-5558a7 | http://is18.auto.ru/all/images/e8/8a/60x45/e88a9b7c.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #9c9999 | 180 000 |  2008  |  147 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007189957-667daa | http://is7.auto.ru/all/images/e6/f3/60x45/e6f38fd2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 225 000 |  2010  |  94 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007189953-f84b | http://is8.auto.ru/all/images/b1/61/60x45/b161813e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 345 000 |  2013  |  49 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Курск | 21.01.15
1007189583-14e5f4 | http://is14.auto.ru/all/images/a0/38/60x45/a038ab5e.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #000000 | 200 000 |  2011  |  68 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006987735-a34e | http://is17.auto.ru/all/images/bf/5d/60x45/bf5d32d8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 385 000 |  2013  |  21 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007189917-3f8be | http://is18.auto.ru/all/images/97/6e/60x45/976e09ef.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 190 000 |  2008  |  170 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Курск | 21.01.15
1007189845-6882 | http://is6.auto.ru/all/images/9b/20/60x45/9b20639f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 189 000 |  2008  |  77 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Владимир | 21.01.15
1007189257-4ae7f1 | http://is13.auto.ru/all/images/91/ce/60x45/91cee070.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 185 000 |  2008  |  300 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006315973-e30bb | http://is7.auto.ru/all/images/e6/43/60x45/e643e7f9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 240 000 |  2011  |  98 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007188993-dace7 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 230 000 |  2010  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Дзержинск | 21.01.15
1007189397-c0ec4 | http://is3.auto.ru/all/images/ed/e8/60x45/ede814de.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 180 000 |  2008  |  115 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007189351-e8a5b4 | http://is14.auto.ru/all/images/36/38/60x45/3638ea1c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 200 000 |  2008  |  98 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Вологда | 21.01.15
1004834429-0f020a | http://is5.auto.ru/all/images/ae/3c/60x45/ae3cb39d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 245 000 |  2009  |  46 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006977169-ad5c9a | http://is2.auto.ru/all/images/1a/73/60x45/1a73b8a2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 220 000 |  2007  |  89 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Невинномысск | 21.01.15
1006872737-7cf69f | http://is2.auto.ru/all/images/52/7b/60x45/527b2614.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 247 000 |  2011  |  62 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006994577-45fa7 | http://is2.auto.ru/all/images/32/3a/60x45/323a57cf.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2010  |  95 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Смоленск | 21.01.15
1006934811-8281c | http://is4.auto.ru/all/images/f4/9b/60x45/f49b72cb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 220 000 |  2009  |  80 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Иваново | 21.01.15
1007189037-6d5e | http://is12.auto.ru/all/images/98/08/60x45/9808bb45.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 215 000 |  2008  |  108 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Новочеркасск | 21.01.15
1006921831-6e3559 | http://is2.auto.ru/all/images/5f/d3/60x45/5fd31e13.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 186 000 |  2009  |  83 200 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007174801-3d1a1 | http://is14.auto.ru/all/images/37/69/60x45/3769d125.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 155 000 |  2007  |  147 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 21.01.15
1007188237-9b710c | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 210 000 |  2008  |  130 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Старый Оскол | 21.01.15
1006794685-431f | http://is18.auto.ru/all/images/44/3e/60x45/443e05c3.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 275 000 |  2009  |  105 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Псков | 21.01.15
1006369781-b2de | http://is6.auto.ru/all/images/1a/8e/60x45/1a8ea53b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 280 000 |  2012  |  44 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006263159-4c9d | http://is3.auto.ru/all/images/d4/11/60x45/d4114112.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 430 000 |  2014  |  19 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007188287-2a1140 | http://is1.auto.ru/all/images/92/ce/60x45/92ce2a05.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 310 000 |  2011  |  56 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Черкесск | 21.01.15
1007188291-ad03 | http://is2.auto.ru/all/images/14/4e/60x45/144e8518.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 340 000 |  2013  |  22 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Славянск-на-Кубани | 21.01.15
1007188249-9b77d | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 210 000 |  2009  |  77 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Архангельск | 21.01.15
1007115791-cbb5b | http://is5.auto.ru/all/images/35/bf/60x45/35bff3ba.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #FFFFFF | 280 000 |  2012  |  65 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Рузаевка | 21.01.15
49868550-2d6fd0 | http://is5.auto.ru/all/images/d1/1c/60x45/d11c7301.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 260 000 |  2011  |  100 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Можайск | 21.01.15
1007187407-62ebd0 | http://is1.auto.ru/all/images/78/29/60x45/78293673.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #926547 | 410 000 |  2014  |  6 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Новый Оскол | 21.01.15
1007033331-a2a7b5 | http://is3.auto.ru/all/images/6d/28/60x45/6d283d21.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 420 000 |  2014  |  10 000 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Коломна | 21.01.15
1007186783-40355 | http://is14.auto.ru/all/images/07/94/60x45/0794e2ed.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2009  |  140 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Мончегорск | 21.01.15
1004481807-b7b3 | http://is4.auto.ru/all/images/af/7c/60x45/af7c3ea3.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #9c9999 | 240 000 |  2010  |  40 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Тула | 21.01.15
1003198542-22d1 | http://is14.auto.ru/all/images/81/f8/60x45/81f8eee4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 184 999 |  2008  |  95 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Брянск | 21.01.15
1007187103-986b | http://is17.auto.ru/all/images/b2/10/60x45/b2109741.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 265 000 |  2010  |  88 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 21.01.15
1007186465-3a1da2 | http://is6.auto.ru/all/images/fd/9b/60x45/fd9b5f61.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 350 000 |  2013  |  27 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 21.01.15
1007187043-089da | http://is2.auto.ru/all/images/60/18/60x45/6018ac44.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 180 000 |  2010  |  50 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Орел | 21.01.15
1007186719-d55b | http://is12.auto.ru/all/images/07/23/60x45/0723761b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 220 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Екатеринбург | 21.01.15
1007186253-7743 | http://is2.auto.ru/all/images/0e/27/60x45/0e2748c5.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FF0000 | 380 000 |  2013  |  60 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006685339-2872b | http://is3.auto.ru/all/images/f7/d4/60x45/f7d4cf9b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 170 000 |  2007  |  84 250 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007185425-8c4b | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 275 000 |  2012  |  94 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Буй | 21.01.15
1007186163-d65025 | http://is17.auto.ru/all/images/d0/dd/60x45/d0dd52a6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 250 000 |  2010  |  90 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Дмитров | 21.01.15
1007186139-a3c71 | http://is7.auto.ru/all/images/c0/6a/60x45/c06aa547.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FFFFFF | 195 000 |  2008  |  42 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Иваново | 21.01.15
1007173555-80ae8 | http://is15.auto.ru/all/images/22/13/60x45/22130519.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 310 000 |  2012  |  45 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007184773-2d06cf | http://is5.auto.ru/all/images/c6/e6/60x45/c6e65430.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 275 000 |  2011  |  35 575 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кострома | 21.01.15
1007185603-897b3e | http://is10.auto.ru/all/images/f2/03/60x45/f2037f85.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 325 000 |  2012  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1007185583-0707c | http://is3.auto.ru/all/images/3d/94/60x45/3d94d90a.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #9c9999 | 415 000 |  2014  |  18 700 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007184567-db0da | http://is16.auto.ru/all/images/c3/f4/60x45/c3f4b4aa.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 275 000 |  2012  |  55 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Терновка | 21.01.15
1007100111-c9bd7d | http://is7.auto.ru/all/images/ee/9c/60x45/ee9c6321.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 239 000 |  2010  |  76 340 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 21.01.15
1007185117-801e | http://is17.auto.ru/all/images/cd/2e/60x45/cd2eb783.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 290 000 |  2010  |  100 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Минводы | 21.01.15
1007184135-2146d | http://is8.auto.ru/all/images/ea/e4/60x45/eae406d9.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #9c9999 | 189 000 |  2010  |  70 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ульяновск | 21.01.15
1007184889-b31f | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2010  |  85 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Вологда | 21.01.15
1004350287-044f11 | http://is15.auto.ru/all/images/cd/62/60x45/cd627a32.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 235 000 |  2010  |  122 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Псков | 21.01.15
1007119417-7b30d8 | http://is18.auto.ru/all/images/68/a2/60x45/68a26e53.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 245 000 |  2009  |  84 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Первомайск | 21.01.15
1007046973-01e335 | http://is3.auto.ru/all/images/a3/42/60x45/a3421214.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 175 000 |  2007  |  156 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Чаплыгин | 21.01.15
1007174229-9f1f97 | http://is18.auto.ru/all/images/d4/17/60x45/d417c943.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 179 999 |  2007  |  125 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Арзамас | 21.01.15
1007182531-c8599 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 480 000 |  2013  |  36 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Дербент | 21.01.15
1007183543-9e87b | http://is18.auto.ru/all/images/8d/61/60x45/8d610ae4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 200 000 |  2009  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Рязань | 21.01.15
1007183107-04a57 | http://is18.auto.ru/all/images/b9/cb/60x45/b9cb4efd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 200 000 |  2008  |  61 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Губкин | 21.01.15
1006462719-fff0a9 | http://is14.auto.ru/all/images/5e/08/60x45/5e08b782.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 215 000 |  2008  |  83 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ростов-на-Дону | 21.01.15
1007108433-5bc19 | http://is6.auto.ru/all/images/02/d7/60x45/02d71852.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #926547 | 487 000 |  2013  |  17 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007180593-af9f16 | http://is4.auto.ru/all/images/66/79/60x45/66795af4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 237 000 |  2011  |  99 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Владимир | 21.01.15
1007180885-fe065b | http://is5.auto.ru/all/images/06/10/60x45/06101d8b.jpg |  ВАЗ Priora IMT  | #000000 | 330 000 |  2013  |  57 200 км  |  MTседан, бензин, передний  | Москва | 21.01.15
1007179179-ab31b | http://is11.auto.ru/all/images/75/8a/60x45/758aae32.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 280 000 |  2012  |  28 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 21.01.15
1007180579-f0a87 | http://is8.auto.ru/all/images/a0/97/60x45/a097fd12.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 475 000 |  2014  |  17 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Черкесск | 21.01.15
1007179419-fad6 | http://is9.auto.ru/all/images/d8/30/60x45/d830a137.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 240 000 |  2008  |  137 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Белгород | 21.01.15
1007180359-c23a | http://is18.auto.ru/all/images/a3/fd/60x45/a3fda3cc.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 272 000 |  2011  |  90 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Тамбов | 21.01.15
1007102997-4586c | http://is15.auto.ru/all/images/26/43/60x45/2643c449.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 334 975 |  2012  |  67 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 21.01.15
1007119283-6e2145 | http://is13.auto.ru/all/images/5e/64/60x45/5e641c8c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 195 000 |  2009  |  59 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Киров | 21.01.15
1007175833-8f34 | http://is18.auto.ru/all/images/0f/c3/60x45/0fc36d6a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 260 000 |  2012  |  35 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кисловодск | 21.01.15
1007177611-9f34d | http://is18.auto.ru/all/images/19/9a/60x45/199a2078.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 250 000 |  2011  |  55 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005584725-95fb | http://is5.auto.ru/all/images/1f/7b/60x45/1f7b7406.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 187 555 |  2008  |  150 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Серпухов | 21.01.15
1007177953-f0edb | http://is17.auto.ru/all/images/f1/7e/60x45/f17e2a4b.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #9c9999 | 280 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Рязань | 21.01.15
1004227853-668b0 | http://is11.auto.ru/all/images/ec/4d/60x45/ec4d25e8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2009  |  120 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Клинцы | 21.01.15
1006568401-0988a | http://is6.auto.ru/all/images/43/11/60x45/43119cc5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 373 000 |  2011  |  31 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Славянск-на-Кубани | 21.01.15
1007175839-23ba4 | http://is10.auto.ru/all/images/01/9a/60x45/019af134.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 240 000 |  2011  |  100 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Саранск | 21.01.15
1007177091-43e1c | http://is6.auto.ru/all/images/be/9a/60x45/be9a31ff.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #926547 | 318 000 |  2011  |  38 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007176475-135f | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 250 000 |  2010  |  99 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Тамбов | 21.01.15
1007176287-060da9 | http://is13.auto.ru/all/images/3c/a5/60x45/3ca581f2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 210 000 |  2009  |  109 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Рязань | 21.01.15
1003971626-a09119 | http://is9.auto.ru/all/images/27/c7/60x45/27c7a2ab.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 280 000 |  2011  |  40 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Саранск | 21.01.15
1007175907-6cd49 | http://is2.auto.ru/all/images/19/e8/60x45/19e8fde9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 210 000 |  2008  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Отрадный | 21.01.15
1007175843-fd7ee9 | http://is2.auto.ru/all/images/3b/55/60x45/3b550779.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 345 000 |  2012  |  25 100 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007175827-2b8475 | http://is18.auto.ru/all/images/0f/c3/60x45/0fc36d6a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 260 000 |  2012  |  35 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кисловодск | 21.01.15
1006265859-b66b6 | http://is18.auto.ru/all/images/f9/2f/60x45/f92f636f.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 350 000 |  2013  |  50 500 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Тольятти | 21.01.15
1007175655-39475 | http://is6.auto.ru/all/images/9f/0e/60x45/9f0e4948.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 240 000 |  2011  |  115 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Брянск | 21.01.15
1007174217-042912 | http://is17.auto.ru/all/images/ea/c6/60x45/eac63a7c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 187 000 |  2008  |  132 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Бутурлиновка | 21.01.15
1007102185-efb07 | http://is5.auto.ru/all/images/c6/71/60x45/c6710e50.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #FF0000 | 339 000 |  2013  |  29 000 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 21.01.15
1006730515-38b0 | http://is13.auto.ru/all/images/4b/6c/60x45/4b6c7c96.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 350 000 |  2013  |  27 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Краснодар | 21.01.15
1007174629-93f9 | http://is15.auto.ru/all/images/35/85/60x45/358598b5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 205 000 |  2008  |  110 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пермь | 21.01.15
1006305197-0bde | http://is8.auto.ru/all/images/35/83/60x45/358351ed.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2008  |  111 114 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кострома | 21.01.15
1005975353-fc2aa | http://is3.auto.ru/all/images/fd/cb/60x45/fdcb759b.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CC0033 | 350 000 |  2009  |  49 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Смоленск | 21.01.15
1007173671-e94275 | http://is8.auto.ru/all/images/85/08/60x45/8508c61f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 259 000 |  2011  |  68 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Тула | 21.01.15
1007166743-31ed | http://is14.auto.ru/all/images/fd/9b/60x45/fd9b8f90.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 280 000 |  2011  |  71 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
47558328-5c368 | http://is18.auto.ru/all/images/75/06/60x45/7506888b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 370 000 |  2010  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Челябинск | 21.01.15
1007172703-08829d | http://is18.auto.ru/all/images/75/5c/60x45/755c78ab.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #FFFFFF | 300 000 |  2011  |  66 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 21.01.15
1002478953-3a394f | http://is5.auto.ru/all/images/00/25/60x45/0025db4a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 230 000 |  2009  |  60 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Рязань | 21.01.15
1007170967-dfbce | http://is11.auto.ru/all/images/4d/fb/60x45/4dfba4e9.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 367 777 |  2014  |  23 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ростов-на-Дону | 21.01.15
1007172343-d978f0 | http://is5.auto.ru/all/images/53/ad/60x45/53ad04ae.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 209 888 |  2008  |  130 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
35079986-a823 | http://is12.auto.ru/all/images/f6/ad/60x45/f6ad7b1d.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 249 990 |  2012  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
35918640-0c5a | http://is7.auto.ru/all/images/33/c2/60x45/33c256b8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 249 990 |  2010  |  76 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
