1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1007242405-43976 | http://is15.auto.ru/all/images/c0/53/60x45/c053cdca.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 540 000 |  2013  |  29 352 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Орел | 22.01.15
1007244093-c93b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 608 400 |  2011  |  38 785 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007053183-eb7664 | http://is7.auto.ru/all/images/9b/e0/60x45/9be07e9c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 440 000 |  2012  |  70 300 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1003492630-aa2ca | http://is5.auto.ru/all/images/3b/3f/60x45/3b3fe2e8.jpg |  Volkswagen Polo V1.2 AT (105 л.с.)  | #0000FF | 570 000 |  2010  |  20 100 км  |  1.2 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006908897-7872 | http://is17.auto.ru/all/images/d0/6d/60x45/d06d46ec.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #FFFFFF | 322 222 |  1999  |  147 281 км  |  1.6 MT (75 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242493-40cc | http://is15.auto.ru/all/images/41/7f/60x45/417f8b31.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 185 000 |  2000  |  130 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242493-40cc | http://is15.auto.ru/all/images/41/7f/60x45/417f8b31.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 185 000 |  2000  |  130 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007055405-fa5f4d | http://is14.auto.ru/all/images/0d/03/60x45/0d03f5c1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 575 000 |  2013  |  26 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Десногорск | 22.01.15
1007119315-538d | http://is10.auto.ru/all/images/3c/76/60x45/3c763a04.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 560 000 |  2013  |  22 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005705035-8d34 | http://is16.auto.ru/all/images/9b/5d/60x45/9b5d424c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 639 000 |  2014  |  3 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006366689-04c4 | http://is8.auto.ru/all/images/dd/44/60x45/dd44484b.jpg |  Volkswagen Polo IV1.2 MT (64 л.с.)  | #000000 | 195 000 |  2003  |  137 000 км  |  1.2 MT (64 л.с.)хэтчбек, бензин, передний  | Павловск | 22.01.15
1007148107-f2821 | http://is16.auto.ru/all/images/ae/7a/60x45/ae7a6652.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #9c9999 | 519 900 |  2015  |  1 118 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007148163-e9ac2d | http://is13.auto.ru/all/images/6b/b1/60x45/6bb1a477.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #FF0000 | 537 870 |  2015  |  998 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007148151-5ae0 | http://is9.auto.ru/all/images/96/15/60x45/9615eb92.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 629 900 |  2015  |  1 114 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007222109-b692bc | http://is16.auto.ru/all/images/d1/00/60x45/d100a291.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 629 900 |  2014  |  2 134 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007222121-5cb22 | http://is12.auto.ru/all/images/76/52/60x45/7652c886.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 629 900 |  2014  |  2 261 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007148139-ce90 | http://is10.auto.ru/all/images/b6/24/60x45/b6249129.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 671 900 |  2015  |  1 112 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007239813-e721 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 700 000 |  2014  |  27 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007182791-2635 | http://is11.auto.ru/all/images/16/f2/60x45/16f25f30.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #000000 | 525 000 |  2011  |  42 700 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004904165-e13e70 | http://is14.auto.ru/all/images/74/86/60x45/7486c89a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 550 000 |  2013  |  38 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006262413-272bbd | http://is15.auto.ru/all/images/b6/4a/60x45/b64ac8bc.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 455 000 |  2013  |  32 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006861899-8dee43 | http://is2.auto.ru/all/images/31/0f/60x45/310ff97d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 595 000 |  2014  |  9 179 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005511309-3539a1 | http://is8.auto.ru/all/images/5b/3d/60x45/5b3ddc52.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 490 000 |  2012  |  57 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006870375-13dc | http://is13.auto.ru/all/images/88/30/60x45/88304488.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 405 000 |  2012  |  39 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Орел | 22.01.15
1005857773-77cc51 | http://is11.auto.ru/all/images/77/3a/60x45/773a662d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 515 000 |  2013  |  20 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007238645-ab896b | http://is9.auto.ru/all/images/2a/14/60x45/2a149506.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 449 700 |  2013  |  55 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1005514543-1b3c5c | http://is12.auto.ru/all/images/99/8f/60x45/998f036c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 445 000 |  2010  |  72 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Новомосковск | 22.01.15
1005805779-77452 | http://is18.auto.ru/all/images/d6/1f/60x45/d61fee5b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 465 000 |  2011  |  46 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Новомосковск | 22.01.15
1007238353-0477 | http://is18.auto.ru/all/images/bd/16/60x45/bd1643e5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #926547 | 671 900 |  2015  |  3 600 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007238213-fc61b | http://is12.auto.ru/all/images/98/5d/60x45/985d2d1a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 577 900 |  2015  |  3 600 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007237497-e1d625 | http://is7.auto.ru/all/images/fb/75/60x45/fb753972.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 615 000 |  2014  |  6 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Волгоград | 22.01.15
1004771013-85db7 | http://is16.auto.ru/all/images/8f/56/60x45/8f562997.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 595 000 |  2014  |  100 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Чебоксары | 22.01.15
1007168131-1d6f2 | http://is8.auto.ru/all/images/be/c4/60x45/bec41bd8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 460 000 |  2013  |  2 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007236423-a32086 | http://is16.auto.ru/all/images/57/73/60x45/57733480.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 425 000 |  2014  |  12 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007049269-70aea | http://is18.auto.ru/all/images/ec/8d/60x45/ec8dc3ab.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 495 000 |  2011  |  54 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007236163-7193fe | http://is2.auto.ru/all/images/5a/50/60x45/5a50c705.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #FFFFFF | 565 000 |  2014  |  11 200 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005753135-79e7 | http://is10.auto.ru/all/images/38/ff/60x45/38ff5cee.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 385 000 |  2011  |  86 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007236069-a928d4 | http://is18.auto.ru/all/images/b7/54/60x45/b754717d.jpg |  Volkswagen Polo III Рестайлинг1.4 AT (75 л.с.)  | #CACECB | 210 000 |  2000  |  175 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005867123-ff01b | http://is14.auto.ru/all/images/4c/25/60x45/4c25ea2e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 415 000 |  2012  |  29 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Вологда | 22.01.15
1007166047-5bbb2 | http://is10.auto.ru/all/images/e3/71/60x45/e3710f9b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 465 000 |  2011  |  66 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006621441-fd6ae3 | http://is16.auto.ru/all/images/18/0d/60x45/180d7762.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 479 000 |  2011  |  60 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007095665-51406 | http://is18.auto.ru/all/images/3d/bd/60x45/3dbd2db7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CC0033 | 639 500 |  2012  |  64 859 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1005166431-a8e6 | http://is8.auto.ru/all/images/03/fd/60x45/03fd06c5.jpg |  Volkswagen Polo III Рестайлинг1.4 AT (60 л.с.)  | #0000FF | 205 000 |  2000  |  157 000 км  |  1.4 AT (60 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007234463-6ff0 | http://is15.auto.ru/all/images/c6/ee/60x45/c6eeced9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 525 000 |  2012  |  35 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234089-011c5 | http://is1.auto.ru/all/images/48/37/60x45/483763e1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 485 000 |  2011  |  65 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233745-742c8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 480 000 |  2011  |  32 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Шуя | 22.01.15
1007154209-8398 | http://is9.auto.ru/all/images/9a/db/60x45/9adb3d45.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 480 000 |  2013  |  72 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007154177-8180d | http://is3.auto.ru/all/images/44/6b/60x45/446bb0bf.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 655 000 |  2014  |  1 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233207-fa4d | http://is2.auto.ru/all/images/37/88/60x45/37880bdf.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 510 000 |  2011  |  90 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пронск | 22.01.15
1007108375-a405c5 | http://is8.auto.ru/all/images/9e/42/60x45/9e42eef9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 575 000 |  2012  |  59 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Ставрополь | 22.01.15
1007232773-e7e6 | http://is18.auto.ru/all/images/1c/ee/60x45/1ceec30c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 595 000 |  2012  |  25 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Зеленоград | 22.01.15
1006814579-ee3aaf | http://is8.auto.ru/all/images/17/d6/60x45/17d6ed55.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 495 000 |  2012  |  38 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
49974814-5c86a | http://is1.auto.ru/all/images/d8/53/60x45/d853386c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 664 000 |  2014  |  4 600 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1006801553-4eeed5 | http://is13.auto.ru/all/images/16/7a/60x45/167a24af.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 568 450 |  2012  |  25 465 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006111473-4398 | http://is16.auto.ru/all/images/1c/67/60x45/1c67c543.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 520 000 |  2011  |  46 350 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005328339-fc2451 | http://is11.auto.ru/all/images/b1/c3/60x45/b1c367f0.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 415 000 |  2010  |  36 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Калуга | 22.01.15
1007231303-0f719b | http://is8.auto.ru/all/images/56/db/60x45/56db322f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 555 555 |  2013  |  23 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003631784-199a91 | http://is2.auto.ru/all/images/60/94/60x45/609404e4.jpg |  Volkswagen Polo IV Fun1.2 MT (54 л.с.)  | #0088ff | 249 000 |  2003  |  150 000 км  |  1.2 MT (54 л.с.)хэтчбек, бензин, передний  | Саранск | 22.01.15
1007231191-431794 | http://is17.auto.ru/all/images/94/62/60x45/94622907.jpg |  Volkswagen Polo III1.6 AT (100 л.с.)  | #34ba2b | 200 000 |  2001  |  110 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006923945-8a9b | http://is17.auto.ru/all/images/1a/f3/60x45/1af3c4df.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 515 000 |  2012  |  15 200 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007230177-5455e | http://is14.auto.ru/all/images/0b/ef/60x45/0bef332a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 549 888 |  2012  |  54 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007229079-eaf94 | http://is2.auto.ru/all/images/03/f0/60x45/03f0f528.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #0000FF | 687 400 |  2014  |  6 546 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007227557-835e1f | http://is4.auto.ru/all/images/e8/ca/60x45/e8ca335f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  66 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227567-c292 | http://is1.auto.ru/all/images/da/17/60x45/da171ddd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  63 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007227571-078fc | http://is1.auto.ru/all/images/eb/0a/60x45/eb0a79a4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 459 900 |  2011  |  68 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007224979-3b8dd | http://is9.auto.ru/all/images/6f/b9/60x45/6fb9a426.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 419 000 |  2013  |  23 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224849-a76a33 | http://is8.auto.ru/all/images/46/d3/60x45/46d3eeb3.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 535 000 |  2013  |  43 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224523-afbe | http://is17.auto.ru/all/images/ac/f9/60x45/acf9a98b.jpg |  Volkswagen Polo V1.6 MT (85 л.с.)  | #9c9999 | 699 900 |  2014  |  1 001 км  |  1.6 MT (85 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007224237-4d50f2 | http://is12.auto.ru/all/images/f0/e2/60x45/f0e25d90.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 450 000 |  2012  |  14 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223715-429d31 | http://is13.auto.ru/all/images/b4/0f/60x45/b40f049e.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 500 000 |  2012  |  75 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223529-8c42ac | http://is3.auto.ru/all/images/27/f2/60x45/27f204b0.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 428 000 |  2011  |  37 398 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007223913-dc32 | http://is9.auto.ru/all/images/9f/a7/60x45/9fa75b2e.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #000000 | 350 000 |  2009  |  98 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223137-94b13 | http://is9.auto.ru/all/images/0b/68/60x45/0b6866e1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 455 555 |  2013  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007222411-d050c7 | http://is4.auto.ru/all/images/32/b5/60x45/32b50e3f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 529 900 |  2012  |  36 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007221395-c8b9b | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 600 000 |  2013  |  2 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007221125-2b8e | http://is3.auto.ru/all/images/fd/ad/60x45/fdade0d2.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 660 000 |  2013  |  39 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007221231-2d33 | http://is2.auto.ru/all/images/be/5f/60x45/be5f914e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 449 999 |  2013  |  9 600 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007220589-f181 | http://is6.auto.ru/all/images/25/be/60x45/25be20d2.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #CACECB | 365 000 |  2011  |  26 950 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220377-428f | http://is1.auto.ru/all/images/d3/ae/60x45/d3aee055.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 499 888 |  2012  |  41 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007220323-24b6ad | http://is1.auto.ru/all/images/20/fd/60x45/20fde367.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 304 888 |  2007  |  93 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007215535-4afad0 | http://is1.auto.ru/all/images/e8/22/60x45/e822ec34.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 429 980 |  2011  |  31 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007217595-004b5 | http://is8.auto.ru/all/images/7b/8d/60x45/7b8d56d1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 563 888 |  2013  |  27 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007215581-76cd2 | http://is13.auto.ru/all/images/bf/14/60x45/bf1432af.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 430 000 |  2012  |  77 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215337-9df195 | http://is11.auto.ru/all/images/a6/f5/60x45/a6f58ba7.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 435 000 |  2012  |  11 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215589-7c75 | http://is6.auto.ru/all/images/62/3d/60x45/623ddbde.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 525 000 |  2013  |  14 356 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216645-984797 | http://is18.auto.ru/all/images/68/64/60x45/68642a2f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 555 000 |  2014  |  8 075 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215177-51c5d | http://is4.auto.ru/all/images/94/51/60x45/94510af3.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 530 000 |  2011  |  48 100 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007214879-1194f | http://is9.auto.ru/all/images/19/43/60x45/1943dc03.jpg |  Volkswagen Polo V1.2 MT (60 л.с.)  | #FFFFFF | 335 000 |  2011  |  77 000 км  |  1.2 MT (60 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214741-f5cd0 | http://is4.auto.ru/all/images/da/f0/60x45/daf0b7ec.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #fde910 | 115 000 |  1998  |  214 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Жуковский | 22.01.15
1005396191-952408 | http://is7.auto.ru/all/images/4d/9d/60x45/4d9d02e9.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #0000FF | 145 000 |  2001  |  240 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Саратов | 22.01.15
1005132845-b4be | http://is12.auto.ru/all/images/86/b7/60x45/86b7e492.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 480 000 |  2013  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Псков | 22.01.15
50069682-10311c | http://is2.auto.ru/all/images/05/f7/60x45/05f790a4.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FF0000 | 575 000 |  2011  |  68 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Воронеж | 21.01.15
1007186477-f925 | http://is12.auto.ru/all/images/54/9a/60x45/549a00d9.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 530 000 |  2013  |  54 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Саратов | 21.01.15
42802546-8005 | http://is18.auto.ru/all/images/5a/52/60x45/5a52972b.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #9c9999 | 300 000 |  2007  |  60 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Кирово-Чепецк | 21.01.15
1007189031-77082c | http://is1.auto.ru/all/images/bd/4d/60x45/bd4d58f8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 510 000 |  2012  |  100 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Пермь | 21.01.15
1006464855-ab336 | http://is11.auto.ru/all/images/5b/83/60x45/5b83ead4.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 565 000 |  2012  |  59 233 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007187993-09acb | http://is18.auto.ru/all/images/5c/16/60x45/5c16924d.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 145 000 |  2000  |  150 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Подольск | 21.01.15
1007188481-13ba | http://is12.auto.ru/all/images/6d/a1/60x45/6da182f1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 710 000 |  2014  |  21 500 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007187739-0660d8 | http://is6.auto.ru/all/images/ed/34/60x45/ed34e391.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 510 000 |  2012  |  24 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007188173-3758 | http://is13.auto.ru/all/images/7d/fb/60x45/7dfb79bd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 435 000 |  2012  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006522867-5ecf | http://is14.auto.ru/all/images/f3/c2/60x45/f3c2f3af.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 480 000 |  2012  |  58 800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Дятьково | 21.01.15
