1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1007158837-e54e | http://is16.auto.ru/all/images/35/ed/60x45/35ed2e77.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #9c9999 | 500 000 |  2005  |  103 256 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007185991-4ef65 | http://is5.auto.ru/all/images/c9/c8/60x45/c9c8f4a5.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CACECB | 999 000 |  2011  |  59 000 км  |  1.8 CVT (160 л.с.)универсал, бензин, передний  | Москва | 21.01.15
1007185951-3d640 | http://is9.auto.ru/all/images/70/12/60x45/7012ff49.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 519 900 |  2006  |  188 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 21.01.15
1007185511-611926 | http://is17.auto.ru/all/images/6b/7c/60x45/6b7ca448.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #CACECB | 180 000 |  1996  |  311 500 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Королев | 21.01.15
1006987557-e0e8 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)1.8 AT (190 л.с.) 4WD  | #9c9999 | 455 555 |  2004  |  123 451 км  |  1.8 AT (190 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007184253-a97b | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #FFFFFF | 200 000 |  1996  |  250 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Тверь | 21.01.15
1007183443-e037 | http://is13.auto.ru/all/images/36/ee/60x45/36eee195.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #000000 | 1 300 000 |  2012  |  39 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007160023-aa0c5 | http://is6.auto.ru/all/images/da/d9/60x45/dad943b4.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 220 000 |  1997  |  265 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Калуга | 21.01.15
1006675323-cb52b | http://is3.auto.ru/all/images/b9/a5/60x45/b9a512c4.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #FF0000 | 1 280 000 |  2013  |  10 522 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Белгород | 21.01.15
1007044121-d2bb16 | http://is4.auto.ru/all/images/5e/4b/60x45/5e4bc8ed.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #FFFFFF | 750 000 |  2010  |  126 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 21.01.15
1007114641-32ca0 | http://is14.auto.ru/all/images/30/01/60x45/30014a85.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #000000 | 270 000 |  1997  |  217 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Иваново | 21.01.15
1005393391-b7626c | http://is7.auto.ru/all/images/e9/bb/60x45/e9bb3b4a.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 450 000 |  2003  |  140 000 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Майкоп | 21.01.15
1007182867-9c0d | http://is16.auto.ru/all/images/1d/9f/60x45/1d9f8bf2.jpg |  Audi A4 III (B7)2.0 AT  | #FFC0CB | 502 000 |  2007  |  48 000 км  |  2.0 ATседан, бензин, передний  | Москва | 21.01.15
1007105617-3d71 | http://is13.auto.ru/all/images/20/67/60x45/20670557.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #0088ff | 400 000 |  2003  |  129 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007105601-28f66 | http://is3.auto.ru/all/images/40/fd/60x45/40fdebc5.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #FF0000 | 450 000 |  2004  |  130 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1004300435-685448 | http://is2.auto.ru/all/images/03/44/60x45/03446b43.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0000FF | 352 000 |  2004  |  282 007 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007180147-daab1 | http://is13.auto.ru/all/images/1b/01/60x45/1b019afb.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 910 000 |  2010  |  140 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006990975-eb616 | http://is18.auto.ru/all/images/d4/d4/60x45/d4d4ff39.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 850 000 |  2011  |  97 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Ставрополь | 21.01.15
1001835965-800e5d | http://is7.auto.ru/all/images/8c/79/60x45/8c796dd0.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #0000FF | 430 000 |  2001  |  220 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006977911-7b77 | http://is8.auto.ru/all/images/4d/5b/60x45/4d5b72d7.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 786 000 |  2008  |  127 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Суворов | 21.01.15
1006567173-43421c | http://is5.auto.ru/all/images/34/25/60x45/3425460b.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #34ba2b | 250 000 |  1996  |  250 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Саранск | 21.01.15
1007182889-7642 | http://is12.auto.ru/all/images/a9/b1/60x45/a9b1161d.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #9c9999 | 350 000 |  2003  |  250 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Пушкино | 21.01.15
1007182651-f932 | http://is17.auto.ru/all/images/f6/74/60x45/f67453fe.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 719 000 |  2007  |  129 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
34024976-a7d9 | http://is17.auto.ru/all/images/8d/98/60x45/8d988c84.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 773 797 |  2009  |  105 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Кострома | 21.01.15
1001289471-a5bf | http://is6.auto.ru/all/images/49/34/60x45/49341b00.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CACECB | 790 000 |  2009  |  90 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007181321-af9254 | /i/all7/img/no-photo-thumb.gif |  Audi A4 IV (B8)3.2 AT (265 л.с.) 4WD  | #FFFFFF | 1 240 000 |  2009  |  77 000 км  |  3.2 AT (265 л.с.) 4WDседан, бензин, полный  | Тверь | 21.01.15
1007119457-419af | http://is12.auto.ru/all/images/12/5e/60x45/125eee4e.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 890 000 |  2010  |  106 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1007181615-7af59 | http://is5.auto.ru/all/images/a9/f7/60x45/a9f7f768.jpg |  Audi A4 IV (B8) Рестайлинг1.8 AT (170 л.с.) 4WD  | #FFFFFF | 1 085 000 |  2013  |  21 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1006933989-59c47 | http://is4.auto.ru/all/images/9a/7f/60x45/9a7fb3e6.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 1 100 000 |  2009  |  62 368 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007181401-6661ad | http://is17.auto.ru/all/images/7c/80/60x45/7c80075c.jpg |  Audi A4 II (B6)2.0 MT (150 л.с.)  | #000000 | 350 000 |  2002  |  250 000 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 21.01.15
50378724-ad9af | http://is15.auto.ru/all/images/f6/4e/60x45/f64e40c3.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 1 039 500 |  2010  |  67 789 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005963667-bf77ed | http://is9.auto.ru/all/images/e8/8d/60x45/e88dfe24.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 1 062 000 |  2010  |  47 440 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005963639-155174 | http://is6.auto.ru/all/images/95/3a/60x45/953a3dab.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FF0000 | 855 000 |  2008  |  71 093 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
49663616-9b39d | http://is5.auto.ru/all/images/fe/a9/60x45/fea96125.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 969 300 |  2009  |  71 241 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006468401-31ea | http://is4.auto.ru/all/images/9f/5d/60x45/9f5d40b7.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 1 399 000 |  2014  |  11 500 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007180383-7a49 | http://is18.auto.ru/all/images/a0/aa/60x45/a0aa55c1.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #FFFFFF | 1 420 000 |  2014  |  1 164 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007049217-60ec2 | http://is12.auto.ru/all/images/dd/e1/60x45/dde16c78.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 585 000 |  2006  |  179 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007178123-61b806 | http://is5.auto.ru/all/images/83/7e/60x45/837ec579.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (125 л.с.)  | #CACECB | 285 000 |  1999  |  270 000 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Тула | 21.01.15
1007179095-ae488 | http://is10.auto.ru/all/images/fd/0e/60x45/fd0edf83.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #926547 | 1 300 000 |  2012  |  45 100 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007045933-de08 | http://is6.auto.ru/all/images/2f/d5/60x45/2fd5dd22.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #9c9999 | 800 000 |  2009  |  120 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007178531-7365 | http://is6.auto.ru/all/images/00/2e/60x45/002ed8c2.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #9c9999 | 640 000 |  2007  |  144 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Вологда | 21.01.15
1007170339-aa3c | http://is6.auto.ru/all/images/32/21/60x45/3221a994.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FF0000 | 825 000 |  2012  |  56 189 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007170215-b21f4 | http://is3.auto.ru/all/images/e0/d2/60x45/e0d211dd.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #CACECB | 479 999 |  2006  |  135 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007176387-43ca9 | http://is1.auto.ru/all/images/6a/16/60x45/6a16e413.jpg |  Audi A4 I (B5)2.8 MT (174 л.с.)  | #000000 | 250 000 |  1996  |  300 000 км  |  2.8 MT (174 л.с.)седан, бензин, передний  | Белгород | 21.01.15
1007176195-1a0e1 | http://is9.auto.ru/all/images/ee/71/60x45/ee715585.jpg |  Audi A4 I (B5)2.8 MT (174 л.с.)  | #000000 | 250 000 |  1996  |  300 000 км  |  2.8 MT (174 л.с.)седан, бензин, передний  | Белгород | 21.01.15
1007177825-af1a | http://is1.auto.ru/all/images/33/47/60x45/33472bc7.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 200 000 |  2000  |  350 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 21.01.15
1003132508-0f80f1 | http://is2.auto.ru/all/images/80/68/60x45/806877ad.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 790 000 |  2008  |  103 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
1007177271-07da8 | http://is18.auto.ru/all/images/da/d5/60x45/dad55ac0.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #FFFFFF | 1 140 000 |  2011  |  32 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Новороссийск | 21.01.15
1006672177-b5f27d | http://is15.auto.ru/all/images/89/af/60x45/89af02cf.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #0000FF | 800 000 |  2008  |  130 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Красноярск | 21.01.15
1006865575-6b1d8c | http://is18.auto.ru/all/images/e4/45/60x45/e4456c90.jpg |  Audi A4 III (B7)2.0 AT 4WD  | #FF0000 | 560 000 |  2007  |  85 000 км  |  2.0 AT 4WDседан, бензин, полный  | Москва | 21.01.15
1007108953-9dcc5 | http://is12.auto.ru/all/images/36/66/60x45/36664ed7.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #FFFFFF | 840 000 |  2009  |  61 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006810075-e96438 | http://is18.auto.ru/all/images/26/3e/60x45/263ee334.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 780 000 |  2008  |  120 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
49869090-c415 | http://is15.auto.ru/all/images/24/c2/60x45/24c2c7ce.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #9c9999 | 450 000 |  2002  |  220 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Барнаул | 21.01.15
1007175669-ca76e7 | http://is16.auto.ru/all/images/8a/b5/60x45/8ab57a69.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 480 000 |  2006  |  145 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Новочеркасск | 21.01.15
1005381089-2b2a2f | http://is1.auto.ru/all/images/36/8d/60x45/368dea7e.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0088ff | 550 000 |  2005  |  181 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Тула | 21.01.15
1007174733-692ec8 | http://is16.auto.ru/all/images/94/8e/60x45/948e38ff.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 230 000 |  1997  |  200 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Курск | 21.01.15
47769448-0ca5 | http://is14.auto.ru/all/images/90/e9/60x45/90e9ceb6.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #9c9999 | 350 000 |  2001  |  320 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Воскресенск | 21.01.15
1001330601-d358 | http://is1.auto.ru/all/images/b5/f0/60x45/b5f0cfaa.jpg |  Audi A4 III (B7)2.0d MT (140 л.с.) 16V  | #0000FF | 525 000 |  2005  |  253 026 км  |  2.0d MT (140 л.с.) 16Vуниверсал, дизель, передний  | Москва | 21.01.15
1007109423-dd9c1 | http://is11.auto.ru/all/images/30/eb/60x45/30ebbfb9.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 925 000 |  2009  |  59 870 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007095651-c89135 | http://is13.auto.ru/all/images/d2/8b/60x45/d28b77fc.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 799 999 |  2011  |  49 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1006740063-52c5c | http://is9.auto.ru/all/images/85/7b/60x45/857b7884.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #0000FF | 340 000 |  2002  |  167 645 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Дзержинский | 21.01.15
1007090757-272b8 | http://is18.auto.ru/all/images/89/58/60x45/89582505.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #000000 | 955 555 |  2009  |  21 836 км  |  2.0 CVT (200 л.с.)кабриолет, бензин, передний  | Москва | 21.01.15
1005503309-13ee3 | http://is13.auto.ru/all/images/f8/50/60x45/f850d535.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #0000FF | 200 000 |  1997  |  160 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Люберцы | 21.01.15
1007173855-0a2a4 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 350 000 |  2003  |  120 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007172701-a4427 | /i/all7/img/no-photo-thumb.gif |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 777 111 |  2009  |  77 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007172671-524c | http://is7.auto.ru/all/images/c4/01/60x45/c401985f.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #000000 | 500 000 |  2001  |  200 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Орел | 21.01.15
1007097375-300d | http://is18.auto.ru/all/images/f6/68/60x45/f668e30a.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FF0000 | 1 015 000 |  2011  |  33 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007172021-8e3f77 | http://is8.auto.ru/all/images/88/56/60x45/8856c5a6.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 520 000 |  2005  |  171 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Павловская | 21.01.15
1007170197-24a752 | http://is12.auto.ru/all/images/6a/ec/60x45/6aec49d4.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0000FF | 680 000 |  2006  |  177 758 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007050671-6f6678 | http://is17.auto.ru/all/images/3f/00/60x45/3f00b040.jpg |  Audi A4 IV (B8)2.7d CVT (190 л.с.)  | #000000 | 810 000 |  2008  |  154 000 км  |  2.7d CVT (190 л.с.)седан, дизель, передний  | Москва | 21.01.15
1007170233-77ea | /i/all7/img/no-photo-thumb.gif |  Audi A4 III (B7)2.0d MT (140 л.с.) 8V  | #000000 | 500 000 |  2007  |  187 000 км  |  2.0d MT (140 л.с.) 8Vуниверсал, дизель, передний  | Ярославль | 21.01.15
1007170327-4861f | /i/all7/img/no-photo-thumb.gif |  Audi A4 III (B7)2.0d MT (140 л.с.) 8V  | #000000 | 500 000 |  2007  |  187 000 км  |  2.0d MT (140 л.с.) 8Vуниверсал, дизель, передний  | Москва | 21.01.15
1007167923-1ef5b | http://is18.auto.ru/all/images/bc/6f/60x45/bc6f0443.jpg |  Audi A4 III (B7)1.8 AT  | #FF0000 | 492 000 |  2006  |  66 200 км  |  1.8 ATседан, бензин, передний  | Москва | 21.01.15
1007169833-3ad8 | http://is6.auto.ru/all/images/f1/d2/60x45/f1d24dd6.jpg |  Audi A4 IV (B8)1.8 AT (160 л.с.)  | #FF0000 | 720 000 |  2008  |  112 000 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1005646271-e66fb | http://is17.auto.ru/all/images/e0/8f/60x45/e08f7cd7.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 585 000 |  2006  |  179 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Владимир | 21.01.15
1007158957-ad77c | http://is18.auto.ru/all/images/d9/bc/60x45/d9bc5299.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 890 000 |  2010  |  74 268 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007167931-4641 | http://is9.auto.ru/all/images/56/48/60x45/5648a950.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 750 000 |  2008  |  115 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Нижний Новгород | 21.01.15
48883356-b75c2 | http://is16.auto.ru/all/images/79/8c/60x45/798c0e44.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #ffefd5 | 380 000 |  2002  |  270 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Орел | 21.01.15
1007167839-8e223 | http://is16.auto.ru/all/images/6c/92/60x45/6c922121.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #34ba2b | 200 000 |  1998  |  225 500 км  |  2.4 AT (165 л.с.)универсал, бензин, передний  | Нелидово | 21.01.15
1000587697-4273 | http://is6.auto.ru/all/images/f4/d4/60x45/f4d41a84.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 675 000 |  2007  |  140 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007165045-c13f | http://is13.auto.ru/all/images/b4/d9/60x45/b4d9a19d.jpg |  Audi A4 III (B7)2.0 AT  | #0000FF | 487 000 |  2007  |  93 000 км  |  2.0 ATседан, бензин, передний  | Москва | 21.01.15
1002872591-c836 | http://is3.auto.ru/all/images/ce/16/60x45/ce16dd81.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (211 л.с.) 4WD  | #FF0000 | 1 500 000 |  2012  |  13 500 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Вышний Волочек | 21.01.15
1006025393-4eb58 | http://is8.auto.ru/all/images/06/52/60x45/0652cbe8.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 1 400 000 |  2013  |  2 607 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1006686255-0980 | http://is17.auto.ru/all/images/75/e5/60x45/75e5f054.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #0000FF | 340 000 |  2001  |  321 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Смоленск | 21.01.15
1004427101-bac7d8 | http://is2.auto.ru/all/images/5f/05/60x45/5f05e0fb.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #ffefd5 | 625 000 |  2007  |  141 000 км  |  2.0 CVT (200 л.с.)седан, бензин, передний  | Подольск | 21.01.15
1003208584-a875 | http://is15.auto.ru/all/images/37/a9/60x45/37a90e64.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #000000 | 210 000 |  1999  |  142 000 км  |  2.4 AT (165 л.с.)универсал, бензин, передний  | Шуя | 21.01.15
1007094893-c03e | http://is15.auto.ru/all/images/78/ca/60x45/78cac720.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 797 777 |  2008  |  86 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1007165067-955870 | http://is18.auto.ru/all/images/93/4d/60x45/934db273.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #FFFFFF | 940 000 |  2011  |  47 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Уфа | 21.01.15
1007165073-ec2e29 | http://is18.auto.ru/all/images/93/4d/60x45/934db273.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #FFFFFF | 940 000 |  2011  |  47 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Уфа | 21.01.15
1002665883-d618 | http://is5.auto.ru/all/images/05/60/60x45/0560e6ef.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 16V  | #0000FF | 525 000 |  2005  |  234 669 км  |  2.0d CVT (140 л.с.) 16Vуниверсал, дизель, передний  | Москва | 21.01.15
1003210030-3ea633 | http://is17.auto.ru/all/images/e5/cb/60x45/e5cb6576.jpg |  Audi A4 II (B6)2.4 CVT (170 л.с.)  | #0000FF | 400 000 |  2004  |  191 000 км  |  2.4 CVT (170 л.с.)седан, бензин, передний  | Москва | 21.01.15
1003834740-fd54 | http://is14.auto.ru/all/images/4d/ea/60x45/4dea621a.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #FF0000 | 625 000 |  2008  |  100 008 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Обнинск | 21.01.15
1005445331-a2f5 | http://is14.auto.ru/all/images/f3/d2/60x45/f3d29012.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 600 000 |  2007  |  120 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Ростов-на-Дону | 21.01.15
1006159565-d0c0 | http://is18.auto.ru/all/images/64/87/60x45/6487ccf0.jpg |  Audi A4 IV (B8)1.8 CVT (120 л.с.)  | #000000 | 977 000 |  2011  |  52 950 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007161255-28194 | http://is3.auto.ru/all/images/d0/4e/60x45/d04eb92d.jpg |  Audi A4 IV (B8) Рестайлинг2.0d AT  | #34ba2b | 813 000 |  2011  |  54 000 км  |  2.0d ATуниверсал, дизель, передний  | Москва | 21.01.15
1007164005-43710 | http://is15.auto.ru/all/images/6c/45/60x45/6c453bd6.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (180 л.с.) 4WD  | #ffefd5 | 310 000 |  2000  |  230 000 км  |  1.8 MT (180 л.с.) 4WDуниверсал, бензин, полный  | Вологда | 21.01.15
49616008-5e1b5 | http://is1.auto.ru/all/images/c9/cb/60x45/c9cbe018.jpg |  Audi A4 I (B5)2.6 AT (150 л.с.)  | #0000FF | 180 000 |  1997  |  340 897 км  |  2.6 AT (150 л.с.)седан, бензин, передний  | Москва | 21.01.15
1007162665-e74b3 | http://is4.auto.ru/all/images/38/81/60x45/3881e2c2.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #9c9999 | 1 750 000 |  2014  |  12 000 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
1004972923-4576 | http://is13.auto.ru/all/images/e7/fa/60x45/e7fa023c.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 1 100 000 |  2009  |  132 031 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 21.01.15
