48886618-4ddd | http://is3.auto.ru/all/images/5c/10/60x45/5c10dc0f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 415 555 |  2007  |  115 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007043003-899cb1 | http://is6.auto.ru/all/images/12/72/60x45/1272dfe7.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9c9999 | 350 000 |  2007  |  127 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007232707-faf8 | http://is10.auto.ru/all/images/d7/a8/60x45/d7a8e3df.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #fde910 | 1 250 000 |  2014  |  9 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Вологда | 22.01.15
1007053765-331b84 | http://is17.auto.ru/all/images/5f/c4/60x45/5fc4d561.jpg |  Opel Astra H1.8 AT (125 л.с.)  | #FF0000 | 310 000 |  2006  |  140 000 км  |  1.8 AT (125 л.с.)хэтчбек, бензин, передний  | Мытищи | 22.01.15
1005162751-05904c | http://is16.auto.ru/all/images/cb/a1/60x45/cba1a2ab.jpg |  Opel Astra J Рестайлинг1.8 MT (140 л.с.)  | #9c9999 | 710 000 |  2012  |  35 900 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006809861-fdbf7 | http://is5.auto.ru/all/images/12/c0/60x45/12c0baa0.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 450 000 |  2008  |  130 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
49257272-82e7d | http://is3.auto.ru/all/images/40/d1/60x45/40d1960b.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #9c9999 | 420 000 |  2008  |  73 500 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007158281-175e5 | http://is5.auto.ru/all/images/29/ce/60x45/29ce3b0a.jpg |  Opel Astra H2.0 MT (170 л.с.)  | #0000FF | 335 000 |  2005  |  165 000 км  |  2.0 MT (170 л.с.)хэтчбек, бензин, передний  | Богородицк | 22.01.15
1006465343-725bce | http://is7.auto.ru/all/images/46/4f/60x45/464fffca.jpg |  Opel Astra G1.4 MT (90 л.с.)  | #CACECB | 145 000 |  2000  |  133 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007107269-3d550 | http://is5.auto.ru/all/images/9d/32/60x45/9d32c2c9.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9966CC | 320 000 |  2008  |  180 000 км  |  1.6 AT (115 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005646931-29682b | http://is2.auto.ru/all/images/db/08/60x45/db08dc61.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #FFCC00 | 600 000 |  2011  |  30 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Новороссийск | 22.01.15
1006413331-14ed4 | http://is3.auto.ru/all/images/4c/93/60x45/4c93e225.jpg |  Opel Astra H Рестайлинг1.4 AT (90 л.с.)  | #0000FF | 335 000 |  2006  |  106 000 км  |  1.4 AT (90 л.с.)хэтчбек, бензин, передний  | Белгород | 22.01.15
1007098051-ab36 | http://is13.auto.ru/all/images/70/54/60x45/7054aa42.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #9c9999 | 385 000 |  2007  |  75 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006688181-34dee1 | http://is13.auto.ru/all/images/db/8c/60x45/db8c3105.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 485 000 |  2010  |  68 000 км  |  1.8 MT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007158361-693a | http://is18.auto.ru/all/images/4a/36/60x45/4a362f4e.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #9c9999 | 600 000 |  2011  |  94 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007187457-8da6 | http://is14.auto.ru/all/images/74/db/60x45/74db414a.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 400 000 |  2007  |  140 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 22.01.15
1007189903-d9de | http://is2.auto.ru/all/images/3a/74/60x45/3a74fa04.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 450 000 |  2008  |  88 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006747555-52a7 | http://is17.auto.ru/all/images/c3/a3/60x45/c3a35b7f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 369 000 |  2007  |  116 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006522547-3f6c | http://is10.auto.ru/all/images/a2/8e/60x45/a28ec27f.jpg |  Opel Astra H Рестайлинг1.6 AT  | #9c9999 | 324 000 |  2008  |  122 580 км  |  1.6 ATседан, бензин, передний  | Москва | 22.01.15
1007231359-455be | http://is13.auto.ru/all/images/97/09/60x45/970972a0.jpg |  Opel Astra H1.6 MT (94 л.с.)  | #0000FF | 255 555 |  2006  |  78 451 км  |  1.6 MT (94 л.с.)универсал, бензин / газ, передний  | Москва | 22.01.15
1007231377-f10c0 | http://is18.auto.ru/all/images/58/a4/60x45/58a43d9b.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 590 000 |  2012  |  59 000 км  |  1.8 AT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006978111-5abe | http://is4.auto.ru/all/images/d9/23/60x45/d923ae31.jpg |  Opel Astra J1.6 MT (115 л.с.)  | #0000FF | 605 000 |  2011  |  23 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007231329-d5988 | http://is6.auto.ru/all/images/19/74/60x45/19744bb7.jpg |  Opel Astra F1.6 MT (101 л.с.)  | #CACECB | 255 555 |  2002  |  130 000 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007231121-04dd3 | /i/all7/img/no-photo-thumb.gif |  Opel Astra J1.6 MT (115 л.с.)  | #0000FF | 550 000 |  2011  |  96 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Уфа | 22.01.15
1007231127-d4266e | http://is5.auto.ru/all/images/50/4b/60x45/504bf1ba.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 355 555 |  2008  |  78 451 км  |  1.8 MT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007231087-e8fe | http://is15.auto.ru/all/images/32/8c/60x45/328cfa40.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 377 777 |  2008  |  65 326 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007230621-c5c2d | http://is8.auto.ru/all/images/ac/93/60x45/ac93b523.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #FFFFFF | 809 999 |  2014  |  29 475 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007032637-1a578f | http://is14.auto.ru/all/images/90/ce/60x45/90ce283e.jpg |  Opel Astra J1.4 AT (140 л.с.)  | #CACECB | 700 000 |  2011  |  33 300 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 22.01.15
1007228627-f9a5 | http://is14.auto.ru/all/images/00/50/60x45/005071a5.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 425 000 |  2008  |  85 000 км  |  1.8 MT (140 л.с.)кабриолет, бензин, передний  | Москва | 22.01.15
1007226273-ac13 | http://is7.auto.ru/all/images/ed/06/60x45/ed06f5c1.jpg |  Opel Astra J1.6 AT (180 л.с.)  | #0000FF | 745 000 |  2012  |  44 000 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007226445-06e8d4 | http://is14.auto.ru/all/images/c0/8d/60x45/c08dda4f.jpg |  Opel Astra G1.4 MT (90 л.с.)  | #0000FF | 277 777 |  2002  |  98 000 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007230137-36bc02 | http://is18.auto.ru/all/images/d6/71/60x45/d6710326.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #ffefd5 | 435 000 |  2012  |  68 500 км  |  1.8 AT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006744281-56cd6f | http://is14.auto.ru/all/images/a8/1d/60x45/a81d12f5.jpg |  Opel Astra H1.3d MT (90 л.с.)  | #000000 | 345 000 |  2006  |  113 000 км  |  1.3d MT (90 л.с.)универсал, дизель, передний  | Тверь | 22.01.15
1007229747-544d2 | http://is17.auto.ru/all/images/da/8c/60x45/da8c766f.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #000000 | 449 888 |  2011  |  60 405 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007228571-475ffe | http://is3.auto.ru/all/images/a8/2f/60x45/a82f591a.jpg |  Opel Astra J Рестайлинг1.6 AT (115 л.с.)  | #000000 | 725 000 |  2012  |  6 700 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007228433-547b | http://is9.auto.ru/all/images/2b/a3/60x45/2ba35cc7.jpg |  Opel Astra J Рестайлинг1.6 AT (115 л.с.)  | #FFFFFF | 850 000 |  2014  |  6 500 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007227863-3b3b3 | http://is5.auto.ru/all/images/78/99/60x45/7899f3de.jpg |  Opel Astra H1.4 MT (90 л.с.)  | #FFCC00 | 230 000 |  2004  |  165 825 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007226271-c872e | http://is2.auto.ru/all/images/f8/68/60x45/f868cfdf.jpg |  Opel Astra H1.6 AT (105 л.с.)  | #9c9999 | 355 000 |  2006  |  68 456 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225193-3cc66 | http://is3.auto.ru/all/images/a1/5a/60x45/a15a4022.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 449 000 |  2011  |  60 707 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225835-29c29b | http://is9.auto.ru/all/images/4d/b3/60x45/4db350ec.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #000000 | 658 000 |  2011  |  48 521 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225221-50d31e | http://is12.auto.ru/all/images/85/74/60x45/857487e7.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #000000 | 469 888 |  2009  |  85 000 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007225829-bd7a4 | http://is15.auto.ru/all/images/99/16/60x45/991683ca.jpg |  Opel Astra J1.3d MT (95 л.с.)  | #FFFFFF | 363 300 |  2011  |  43 222 км  |  1.3d MT (95 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007221249-1cc936 | http://is12.auto.ru/all/images/d0/54/60x45/d054476c.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #000000 | 533 333 |  2013  |  26 333 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225041-f59463 | http://is11.auto.ru/all/images/d2/e7/60x45/d2e7c87f.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #000000 | 879 888 |  2014  |  29 000 км  |  1.6 MT (115 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007224905-88849 | http://is13.auto.ru/all/images/03/4d/60x45/034da991.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 355 555 |  2008  |  69 300 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224819-6d3a | http://is11.auto.ru/all/images/d0/1d/60x45/d01d28c3.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #FF0000 | 314 000 |  2009  |  64 500 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224629-27ca53 | http://is7.auto.ru/all/images/c8/2f/60x45/c82f3905.jpg |  Opel Astra J1.4 MT (140 л.с.)  | #000000 | 550 000 |  2011  |  67 000 км  |  1.4 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224787-60f906 | http://is16.auto.ru/all/images/a0/78/60x45/a0784f02.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 580 000 |  2013  |  9 750 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224525-0bea3 | http://is16.auto.ru/all/images/90/bb/60x45/90bbd5a9.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #0000FF | 499 999 |  2011  |  33 476 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224223-7dea9 | http://is17.auto.ru/all/images/cc/85/60x45/cc85eb23.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 455 000 |  2011  |  64 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007224057-be94e | http://is5.auto.ru/all/images/58/c3/60x45/58c31815.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 350 000 |  2007  |  68 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224203-447de | http://is6.auto.ru/all/images/a9/66/60x45/a966b848.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #CACECB | 722 222 |  2013  |  31 589 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224217-dada69 | http://is9.auto.ru/all/images/d6/65/60x45/d6652e7c.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #0000FF | 439 000 |  2011  |  161 934 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007224091-722632 | http://is15.auto.ru/all/images/4c/38/60x45/4c382707.jpg |  Opel Astra H1.6 AT (105 л.с.)  | #9c9999 | 419 000 |  2004  |  96 012 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223891-5276e3 | http://is13.auto.ru/all/images/bb/bc/60x45/bbbcf6ec.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 569 000 |  2007  |  97 556 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223831-1bee5 | http://is13.auto.ru/all/images/18/ca/60x45/18ca0104.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 569 000 |  2007  |  71 187 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223693-897f8 | http://is17.auto.ru/all/images/0d/6d/60x45/0d6d3088.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 450 555 |  2009  |  70 000 км  |  1.8 AT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007222449-b247 | http://is2.auto.ru/all/images/9f/53/60x45/9f53e17e.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #9c9999 | 575 000 |  2011  |  86 320 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007221939-74e3c | http://is7.auto.ru/all/images/69/ed/60x45/69ed4871.jpg |  Opel Astra H Рестайлинг1.4 MT (90 л.с.)  | #CACECB | 459 000 |  2008  |  116 910 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007222917-088fc4 | http://is5.auto.ru/all/images/0f/e0/60x45/0fe0bf92.jpg |  Opel Astra J1.6 MT (115 л.с.)  | #CACECB | 610 000 |  2010  |  69 260 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007223221-0a1b | http://is18.auto.ru/all/images/8e/cf/60x45/8ecf3888.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 800 000 |  2014  |  1 200 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007223131-0d2251 | http://is5.auto.ru/all/images/58/e2/60x45/58e209ff.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #FFFFFF | 899 000 |  2013  |  21 500 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007223519-ad57 | http://is1.auto.ru/all/images/c6/0f/60x45/c60f6f8e.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #000000 | 379 909 |  2007  |  50 000 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007223087-8735 | /i/all7/img/no-photo-thumb.gif |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 597 700 |  2012  |  49 760 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007222801-cb8b41 | http://is2.auto.ru/all/images/e7/58/60x45/e758853f.jpg |  Opel Astra J1.4 MT (140 л.с.)  | #0000FF | 535 000 |  2011  |  83 000 км  |  1.4 MT (140 л.с.)универсал, бензин, передний  | Киров | 22.01.15
1007222495-507c | http://is9.auto.ru/all/images/ee/a3/60x45/eea39dd2.jpg |  Opel Astra G1.8 MT (125 л.с.)  | #CACECB | 233 333 |  2005  |  98 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007222213-ec2016 | http://is17.auto.ru/all/images/73/6c/60x45/736c2518.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #000000 | 1 069 900 |  2014  |  1 050 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007222205-566954 | http://is10.auto.ru/all/images/c2/05/60x45/c20504ec.jpg |  Opel Astra J Рестайлинг1.6 AT (170 л.с.)  | #fde910 | 1 287 900 |  2014  |  1 518 км  |  1.6 AT (170 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221855-a844c5 | http://is11.auto.ru/all/images/a1/c1/60x45/a1c1509c.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #FFFFFF | 800 000 |  2014  |  7 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Казань | 22.01.15
1007221871-79ea8 | http://is6.auto.ru/all/images/e9/9f/60x45/e99fb76c.jpg |  Opel Astra J Рестайлинг1.6 MT (115 л.с.)  | #000000 | 840 000 |  2014  |  7 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Казань | 22.01.15
1007221253-a034ca | http://is16.auto.ru/all/images/b1/c8/60x45/b1c82cf1.jpg |  Opel Astra J1.4 AT (140 л.с.)  | #9c9999 | 750 000 |  2012  |  25 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221733-3b1e | http://is18.auto.ru/all/images/82/5a/60x45/825a38bf.jpg |  Opel Astra J2.0d AT (160 л.с.)  | #000000 | 333 300 |  2009  |  75 896 км  |  2.0d AT (160 л.с.)хэтчбек, дизель, передний  | Москва | 22.01.15
1007221581-bffa8 | http://is7.auto.ru/all/images/50/77/60x45/5077f01e.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 450 000 |  2008  |  53 100 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007221269-3d9a4 | /i/all7/img/no-photo-thumb.gif |  Opel Astra H1.8 AT (125 л.с.)  | #9c9999 | 377 000 |  2007  |  85 222 км  |  1.8 AT (125 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007220563-d19198 | http://is14.auto.ru/all/images/63/ec/60x45/63ec4fcb.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #0000FF | 472 935 |  2010  |  51 997 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007220679-b8dc | http://is15.auto.ru/all/images/3c/b1/60x45/3cb166bf.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 698 888 |  2013  |  69 900 км  |  1.8 AT (140 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007219565-fdfd82 | http://is8.auto.ru/all/images/fc/a5/60x45/fca5b68c.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #9c9999 | 529 999 |  2013  |  24 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007220151-83dab | http://is3.auto.ru/all/images/da/ea/60x45/daea72a5.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #000000 | 379 880 |  2008  |  90 000 км  |  1.6 MT (115 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007219977-31a009 | http://is15.auto.ru/all/images/0f/85/60x45/0f8593c2.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 465 000 |  2011  |  56 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216703-57197d | http://is15.auto.ru/all/images/cf/40/60x45/cf40ca24.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #fde910 | 799 900 |  2012  |  35 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007217661-fcb1f | http://is15.auto.ru/all/images/97/f8/60x45/97f890e2.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 445 000 |  2010  |  86 000 км  |  1.8 MT (140 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007214967-bbdad | http://is6.auto.ru/all/images/71/d5/60x45/71d52c3a.jpg |  Opel Astra F1.6 MT (75 л.с.) X16SZR  | #000000 | 249 888 |  1999  |  230 000 км  |  1.6 MT (75 л.с.) X16SZRхэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007214711-714e | http://is8.auto.ru/all/images/42/5b/60x45/425bfb76.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #CACECB | 489 000 |  2011  |  36 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007214717-3d32f | http://is6.auto.ru/all/images/35/98/60x45/3598af7e.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #FFFFFF | 564 000 |  2011  |  37 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007214677-1fd5a0 | http://is8.auto.ru/all/images/e9/eb/60x45/e9ebb563.jpg |  Opel Astra J Рестайлинг1.6 AT (115 л.с.)  | #9c9999 | 705 000 |  2012  |  42 000 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Тула | 22.01.15
1007214655-0d7301 | http://is13.auto.ru/all/images/4c/22/60x45/4c223313.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 410 000 |  2008  |  108 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007214647-62615e | http://is18.auto.ru/all/images/16/73/60x45/16738a4a.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #FF0000 | 427 000 |  2007  |  80 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007214605-3562b | http://is18.auto.ru/all/images/8f/fb/60x45/8ffb2795.jpg |  Opel Astra J Рестайлинг1.8 MT (140 л.с.)  | #FFFFFF | 520 000 |  2011  |  62 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1004359185-fad9 | http://is2.auto.ru/all/images/c7/90/60x45/c790b767.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #0088ff | 435 000 |  2009  |  72 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006632905-9efa | http://is15.auto.ru/all/images/6b/f9/60x45/6bf9891b.jpg |  Opel Astra G1.6 AT (101 л.с.)  | #0000FF | 205 000 |  2002  |  156 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006798489-1e605c | http://is6.auto.ru/all/images/d7/51/60x45/d751d11f.jpg |  Opel Astra F1.6 MT (100 л.с.)  | #FFFFFF | 140 000 |  1996  |  290 000 км  |  1.6 MT (100 л.с.)универсал, бензин, передний  | Тимашевск | 22.01.15
49022812-2439 | http://is15.auto.ru/all/images/79/78/60x45/7978390f.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 499 999 |  2011  |  35 900 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005924473-d92ce | http://is18.auto.ru/all/images/0a/7f/60x45/0a7fa28e.jpg |  Opel Astra J1.6 AT (180 л.с.)  | #000000 | 665 000 |  2010  |  84 000 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007190555-424af | http://is14.auto.ru/all/images/e4/7b/60x45/e47be31b.jpg |  Opel Astra J1.6 MT (115 л.с.)  | #9c9999 | 350 000 |  2009  |  64 300 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007190517-1c60c1 | http://is15.auto.ru/all/images/67/0b/60x45/670ba29e.jpg |  Opel Astra H1.8 AT (125 л.с.)  | #CACECB | 395 000 |  2007  |  94 000 км  |  1.8 AT (125 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007190679-49063 | http://is2.auto.ru/all/images/03/81/60x45/038193bb.jpg |  Opel Astra H1.3d MT (90 л.с.)  | #CACECB | 300 000 |  2007  |  105 000 км  |  1.3d MT (90 л.с.)универсал, дизель, передний  | Сергиев Посад | 22.01.15
1007190677-ef5c | http://is5.auto.ru/all/images/bc/38/60x45/bc386489.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 355 000 |  2006  |  90 700 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007119071-fd7d | http://is12.auto.ru/all/images/98/ca/60x45/98cabcd8.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #FF0000 | 750 000 |  2012  |  79 200 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007189967-3b56 | http://is12.auto.ru/all/images/a1/5b/60x45/a15b8988.jpg |  Opel Astra J1.6 MT (115 л.с.)  | #CACECB | 590 000 |  2012  |  63 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007190171-a1c9 | http://is6.auto.ru/all/images/c8/6c/60x45/c86c4b03.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 550 000 |  2012  |  88 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
