36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1006688885-fe2737 | http://is2.auto.ru/all/images/06/ed/60x45/06eddcb2.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 330 000 |  2008  |  77 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 13.01.15
1005811037-4108b | http://is17.auto.ru/all/images/d7/e0/60x45/d7e038dc.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 350 000 |  2011  |  34 700 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Одинцово | 13.01.15
1005867481-714e6 | http://is13.auto.ru/all/images/82/25/60x45/8225884d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  2009  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Чебоксары | 13.01.15
1006690813-4b4401 | http://is3.auto.ru/all/images/bd/99/60x45/bd99b491.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 200 000 |  2009  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Нижний Новгород | 13.01.15
1006691299-dc4fc | http://is11.auto.ru/all/images/0c/f9/60x45/0cf9b1b6.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 210 000 |  2006  |  165 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1006693191-97fc | http://is7.auto.ru/all/images/d2/57/60x45/d257c451.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #ffefd5 | 649 000 |  2014  |  9 900 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006677363-6ac2bc | http://is6.auto.ru/all/images/e1/c4/60x45/e1c4bb58.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 160 000 |  2005  |  216 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
1003684978-8a38 | http://is8.auto.ru/all/images/5e/a1/60x45/5ea1ddcc.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 270 000 |  2009  |  90 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Углич | 14.01.15
1006736635-c7bcf | http://is5.auto.ru/all/images/fc/8c/60x45/fc8cd9a7.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #000000 | 630 500 |  2014  |  49 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Иваново | 14.01.15
1005507765-176c | http://is15.auto.ru/all/images/21/95/60x45/21956d1f.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 349 000 |  2012  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1005708755-c9ef8 | http://is6.auto.ru/all/images/d6/f6/60x45/d6f6a6a0.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 185 000 |  2007  |  219 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1005970173-319ca | http://is2.auto.ru/all/images/4b/0a/60x45/4b0a43f1.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 199 000 |  2006  |  133 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1005570587-dbc0a4 | http://is15.auto.ru/all/images/02/d9/60x45/02d99f7e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 232 000 |  2008  |  229 500 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1002870455-a578 | http://is11.auto.ru/all/images/06/69/60x45/0669b866.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 205 000 |  2009  |  182 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
48957078-c3c9e5 | http://is18.auto.ru/all/images/59/ae/60x45/59ae7b82.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 280 000 |  2010  |  86 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Нижний Новгород | 14.01.15
1006739135-782ed0 | http://is14.auto.ru/all/images/c8/80/60x45/c880670a.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 480 000 |  2013  |  5 700 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006739845-f4742 | http://is3.auto.ru/all/images/a2/0c/60x45/a20c40b9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 198 000 |  2007  |  130 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
1005808963-070db | http://is4.auto.ru/all/images/ae/b6/60x45/aeb69d4e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 157 000 |  2006  |  160 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006739899-21442a | http://is2.auto.ru/all/images/67/75/60x45/67752e35.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 190 000 |  2006  |  106 962 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Псков | 14.01.15
1006742499-d62aeb | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 220 000 |  2006  |  170 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Уфа | 14.01.15
1006742695-0698b0 | http://is9.auto.ru/all/images/52/44/60x45/5244cdc1.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #CACECB | 488 900 |  2014  |  12 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Нижний Новгород | 14.01.15
1006358341-13aee | http://is2.auto.ru/all/images/aa/00/60x45/aa003a55.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 290 000 |  2009  |  70 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006745377-f5bf | http://is15.auto.ru/all/images/44/17/60x45/44179781.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 250 000 |  2012  |  78 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 14.01.15
1006746355-863fa | http://is18.auto.ru/all/images/d1/b3/60x45/d1b30664.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 185 000 |  2007  |  170 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006745707-effd55 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 350 000 |  2010  |  51 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Рязань | 14.01.15
1006746305-f2fc | http://is5.auto.ru/all/images/19/35/60x45/1935f970.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #000000 | 390 000 |  2011  |  29 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Ижевск | 14.01.15
1006747229-a2ec | http://is3.auto.ru/all/images/67/57/60x45/67579e8d.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 320 000 |  2011  |  9 500 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Голицыно | 14.01.15
1006747901-d79d3 | http://is18.auto.ru/all/images/2a/6b/60x45/2a6b481b.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 260 000 |  2009  |  75 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Люберцы | 14.01.15
1006747449-cced60 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 220 000 |  2005  |  190 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Половинное | 14.01.15
1005812119-c8998 | http://is9.auto.ru/all/images/0b/47/60x45/0b47dc43.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 250 000 |  2005  |  145 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006749375-cf31 | http://is2.auto.ru/all/images/48/04/60x45/480443ed.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 230 000 |  2007  |  95 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Дмитров | 14.01.15
1005868451-bd01 | http://is2.auto.ru/all/images/4a/91/60x45/4a914dbb.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 300 000 |  2012  |  60 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 14.01.15
48620306-33bb | http://is18.auto.ru/all/images/6c/db/60x45/6cdb7342.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 215 000 |  2008  |  115 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 14.01.15
1006750233-c0b58 | http://is13.auto.ru/all/images/a7/3a/60x45/a73a8c46.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 155 000 |  2007  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 14.01.15
1006313381-d3d6 | http://is15.auto.ru/all/images/dd/a2/60x45/dda2bdbe.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 330 000 |  2010  |  97 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Железногорск | 14.01.15
1006313113-0e76 | http://is16.auto.ru/all/images/22/73/60x45/227349b0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 330 000 |  2010  |  97 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 14.01.15
1006751393-a8ed | http://is7.auto.ru/all/images/59/fa/60x45/59fa8d44.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 200 000 |  2006  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Домодедово | 14.01.15
1006752621-5cb9cf | http://is13.auto.ru/all/images/b9/37/60x45/b93717c1.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 230 000 |  2006  |  94 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 14.01.15
1002608193-c8481 | http://is6.auto.ru/all/images/70/12/60x45/701265a5.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 380 000 |  2013  |  25 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 14.01.15
1006753561-318fe | http://is15.auto.ru/all/images/0c/23/60x45/0c232f19.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 390 000 |  2012  |  61 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Ижевск | 14.01.15
1006579049-920698 | http://is15.auto.ru/all/images/e0/9a/60x45/e09a201e.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #000000 | 539 999 |  2014  |  1 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Екатеринбург | 15.01.15
1006629885-8464e | http://is5.auto.ru/all/images/80/4e/60x45/804e9453.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 199 000 |  2005  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006633017-59e658 | http://is14.auto.ru/all/images/62/bf/60x45/62bf0442.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 310 000 |  2013  |  42 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006794919-a96cc | http://is5.auto.ru/all/images/b3/1d/60x45/b31d0569.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 325 000 |  2011  |  60 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1001344195-1a90c | http://is4.auto.ru/all/images/49/ec/60x45/49ec255a.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 239 999 |  2006  |  180 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тверь | 15.01.15
1006799249-54993 | http://is6.auto.ru/all/images/89/ab/60x45/89ab2412.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 300 000 |  2012  |  200 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Шахты | 15.01.15
1006799275-54e25 | http://is8.auto.ru/all/images/16/74/60x45/1674710b.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2006  |  76 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005319411-3a77c9 | http://is18.auto.ru/all/images/d1/89/60x45/d18907e5.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0088ff | 385 000 |  2010  |  34 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Орехово-Зуево | 15.01.15
1005732819-5000bb | http://is9.auto.ru/all/images/a2/0c/60x45/a20c1cf5.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 370 000 |  2013  |  68 818 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006799973-a1817d | http://is9.auto.ru/all/images/ca/d4/60x45/cad4f62e.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 209 000 |  2007  |  111 400 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005381323-0bc5ae | http://is2.auto.ru/all/images/50/28/60x45/502846af.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 267 750 |  2007  |  113 608 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
49604662-759976 | http://is7.auto.ru/all/images/25/99/60x45/2599b577.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 282 234 |  2007  |  101 158 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 15.01.15
1004959853-6416 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 235 620 |  2006  |  115 454 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1002812773-d013c | http://is13.auto.ru/all/images/90/15/60x45/9015e459.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 430 440 |  2011  |  48 261 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 15.01.15
1004085106-7c52 | http://is4.auto.ru/all/images/60/c9/60x45/60c9224a.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 440 130 |  2010  |  51 293 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 15.01.15
1002109561-a0341 | http://is3.auto.ru/all/images/46/ee/60x45/46ee7a5f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 322 014 |  2007  |  112 503 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 15.01.15
1005381449-10dc | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 339 150 |  2008  |  35 189 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006801761-8f30 | http://is3.auto.ru/all/images/fc/84/60x45/fc84158a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 340 000 |  2010  |  70 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Ростов-на-Дону | 15.01.15
1006806083-2ea83 | http://is7.auto.ru/all/images/a6/36/60x45/a636ddac.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FFFFFF | 255 000 |  2005  |  250 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 15.01.15
1006805793-8f827 | http://is10.auto.ru/all/images/23/69/60x45/2369ff65.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FFFFFF | 260 000 |  2008  |  210 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 15.01.15
1006802189-dcdf | http://is5.auto.ru/all/images/94/60/60x45/9460fab7.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 225 000 |  2008  |  92 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006806471-6814 | http://is18.auto.ru/all/images/94/2f/60x45/942fcd62.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 410 000 |  2014  |  15 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ставрополь | 15.01.15
1006809391-a178 | http://is12.auto.ru/all/images/85/f9/60x45/85f9c4dc.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #000000 | 494 700 |  2011  |  46 845 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006809673-e277da | http://is4.auto.ru/all/images/6c/ba/60x45/6cba157d.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 280 000 |  2008  |  56 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006810123-9b42 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 230 000 |  2010  |  147 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Раменское | 15.01.15
1006811369-375df | http://is11.auto.ru/all/images/b0/8a/60x45/b08a37ad.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 363 000 |  2012  |  37 300 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
45698076-36727a | http://is3.auto.ru/all/images/95/5c/60x45/955cb9ac.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #0000FF | 520 000 |  2014  |  5 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006812083-b6621 | http://is18.auto.ru/all/images/c1/3a/60x45/c13ab012.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #FFFFFF | 559 000 |  2014  |  500 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 15.01.15
1006812559-aeb3 | http://is8.auto.ru/all/images/bc/49/60x45/bc49a829.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 299 000 |  2009  |  60 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Брянск | 15.01.15
34292270-80fc | http://is18.auto.ru/all/images/08/45/60x45/0845e281.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 210 000 |  2009  |  85 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 15.01.15
1006813623-08bc | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 140 000 |  2007  |  170 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Мурманск | 15.01.15
1006813793-bf3c97 | http://is8.auto.ru/all/images/3a/9c/60x45/3a9c860a.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 450 000 |  2014  |  500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 15.01.15
1006813775-f1709c | http://is1.auto.ru/all/images/5d/d5/60x45/5dd54011.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 255 000 |  2010  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Тула | 15.01.15
1006811417-d44b | http://is17.auto.ru/all/images/aa/2c/60x45/aa2cd35f.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 350 000 |  2009  |  62 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006813745-3e14b | http://is5.auto.ru/all/images/83/84/60x45/83844c3a.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 250 000 |  2007  |  116 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Елец | 15.01.15
1006815049-7d0e06 | http://is12.auto.ru/all/images/5b/5b/60x45/5b5b6d5a.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 245 000 |  2010  |  3 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 15.01.15
1006815151-acfc2 | http://is18.auto.ru/all/images/df/a2/60x45/dfa29fbe.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 180 000 |  2006  |  55 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 15.01.15
49864344-0b5fc | http://is1.auto.ru/all/images/40/e5/60x45/40e53a99.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #FF0000 | 350 000 |  2008  |  100 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Липецк | 16.01.15
1006849857-8d9f | http://is13.auto.ru/all/images/37/c1/60x45/37c1323c.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 295 000 |  2009  |  74 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006852313-9e2a | http://is12.auto.ru/all/images/36/b6/60x45/36b62b42.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #ffefd5 | 199 900 |  2008  |  159 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006856517-08b2e0 | http://is17.auto.ru/all/images/bf/2f/60x45/bf2f207d.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 350 000 |  2011  |  55 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Ярославль | 16.01.15
48744484-060a | http://is2.auto.ru/all/images/35/65/60x45/3565432c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 250 000 |  2007  |  55 200 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ульяновск | 16.01.15
1006857353-07a2b | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 275 000 |  2010  |  75 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 16.01.15
1004973263-b301 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 235 000 |  2009  |  101 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Петрозаводск | 16.01.15
1006857727-19249d | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 250 000 |  2011  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 16.01.15
1005379153-d7b6 | http://is10.auto.ru/all/images/2a/ac/60x45/2aac2fa2.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 270 000 |  2009  |  102 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тула | 16.01.15
1006860675-a42afd | http://is18.auto.ru/all/images/12/b8/60x45/12b8da60.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 250 000 |  2006  |  67 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Рязань | 16.01.15
1006861277-7a5cc9 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 300 000 |  2013  |  55 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Калуга | 16.01.15
1006861427-27fcc | http://is11.auto.ru/all/images/03/9a/60x45/039a80f6.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 259 000 |  2010  |  200 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кострома | 16.01.15
1006676427-7bae | http://is17.auto.ru/all/images/c1/ce/60x45/c1cea8e3.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 379 900 |  2010  |  61 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 16.01.15
1002932858-f06ebe | http://is2.auto.ru/all/images/e5/da/60x45/e5da5d06.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 215 000 |  2009  |  164 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006863709-7b28a5 | http://is3.auto.ru/all/images/44/a1/60x45/44a1b78f.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 299 990 |  2009  |  46 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 16.01.15
33192796-f63a7 | http://is9.auto.ru/all/images/85/0d/60x45/850d0c2c.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 210 000 |  2010  |  155 356 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 16.01.15
1006798015-a63d1 | http://is2.auto.ru/all/images/11/5a/60x45/115a8f7c.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #FFFFFF | 455 000 |  2014  |  200 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 16.01.15
1006867913-b580ce | http://is17.auto.ru/all/images/74/f1/60x45/74f1528a.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 192 000 |  2006  |  127 743 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Уфа | 16.01.15
1006815907-bcd46 | http://is6.auto.ru/all/images/ad/7f/60x45/ad7fab06.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 245 000 |  2006  |  37 508 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 16.01.15
1006683389-66597e | http://is15.auto.ru/all/images/4f/6e/60x45/4f6e27cc.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 273 000 |  2006  |  134 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тамбов | 16.01.15
1006870097-b30cc2 | http://is9.auto.ru/all/images/58/33/60x45/58337395.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 260 000 |  2007  |  89 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Воронеж | 16.01.15
1006871369-3cfd8 | http://is13.auto.ru/all/images/5c/87/60x45/5c87e454.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 210 000 |  2005  |  145 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Тверь | 16.01.15
24998924-b1c26 | http://is16.auto.ru/all/images/de/60/60x45/de602c52.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 330 000 |  2011  |  100 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Каменск-Уральский | 16.01.15
1006874321-13e3d | http://is12.auto.ru/all/images/93/bc/60x45/93bcedf6.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 310 000 |  2010  |  42 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орехово-Зуево | 16.01.15
1005807809-d722 | http://is11.auto.ru/all/images/d1/ea/60x45/d1ea0415.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 190 000 |  2006  |  192 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Донской | 16.01.15
1006875549-fce74a | http://is17.auto.ru/all/images/fa/dc/60x45/fadc5701.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 360 000 |  2012  |  42 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 16.01.15
