1007255473-928d | http://is8.auto.ru/all/images/f9/ed/60x45/f9edc7da.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 455 000 |  2011  |  98 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Протвино | 23.01.15
1007246421-d5a07 | http://is13.auto.ru/all/images/36/4e/60x45/364ead6d.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 425 000 |  2009  |  58 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Павловский Посад | 22.01.15
1004154111-9221 | http://is14.auto.ru/all/images/34/cc/60x45/34cceb02.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #CACECB | 355 000 |  2007  |  100 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007247157-1b3be | http://is2.auto.ru/all/images/ad/d0/60x45/add05319.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 445 000 |  2009  |  67 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007241815-a8482d | http://is14.auto.ru/all/images/91/52/60x45/9152c715.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #CACECB | 400 000 |  2008  |  90 000 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Москва | 22.01.15
1007247113-fb42 | http://is8.auto.ru/all/images/9a/cb/60x45/9acbac4b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CC0033 | 750 000 |  2012  |  35 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005388707-799ba1 | http://is18.auto.ru/all/images/1e/d1/60x45/1ed1bd1a.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 399 000 |  2009  |  121 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007246963-9243 | http://is12.auto.ru/all/images/fc/66/60x45/fc6624d0.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 339 000 |  2008  |  168 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007116989-9aa0f | http://is14.auto.ru/all/images/c6/ce/60x45/c6cec2c0.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 400 000 |  2008  |  72 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
45328024-a0fb5 | http://is9.auto.ru/all/images/dc/8e/60x45/dc8e69cb.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF0000 | 730 000 |  2013  |  37 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007222563-96d0 | http://is6.auto.ru/all/images/fa/eb/60x45/faeb63a0.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 444 444 |  2008  |  100 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242271-565083 | http://is17.auto.ru/all/images/ef/54/60x45/ef549eb4.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 750 000 |  2013  |  68 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Ногинск | 22.01.15
1007242745-b15ccd | http://is14.auto.ru/all/images/b8/95/60x45/b8958826.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 760 000 |  2014  |  65 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005757871-967bd5 | http://is6.auto.ru/all/images/77/fe/60x45/77fe2002.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 435 000 |  2008  |  87 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Пенза | 22.01.15
1007106511-06b0f2 | http://is6.auto.ru/all/images/67/33/60x45/6733e8e6.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 435 000 |  2008  |  87 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Саранск | 22.01.15
1007241765-65f08b | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd II1.6 MT (129 л.с.)  | #FFFFFF | 700 000 |  2013  |  58 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Казань | 22.01.15
1006808143-a6d06 | http://is2.auto.ru/all/images/be/14/60x45/be14cf63.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 425 000 |  2012  |  62 800 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007240981-9ffef1 | http://is17.auto.ru/all/images/a6/4c/60x45/a64c276f.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 650 000 |  2012  |  30 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Муром | 22.01.15
1007240563-3a762d | http://is14.auto.ru/all/images/e1/59/60x45/e159bb7a.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 749 000 |  2013  |  23 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007238893-264a | http://is3.auto.ru/all/images/6c/1e/60x45/6c1eab37.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 400 000 |  2008  |  125 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006800049-4f68 | http://is16.auto.ru/all/images/a0/b0/60x45/a0b0885f.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 520 000 |  2010  |  45 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007239281-17dc59 | http://is9.auto.ru/all/images/05/b1/60x45/05b13e0b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 599 000 |  2011  |  45 800 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Ульяновск | 22.01.15
1006862169-8c87e | http://is4.auto.ru/all/images/3f/cf/60x45/3fcf3506.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 465 000 |  2009  |  47 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007232861-6793b7 | http://is18.auto.ru/all/images/3a/9e/60x45/3a9e6e0b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 511 111 |  2011  |  45 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
41114682-b2fc6d | http://is4.auto.ru/all/images/bc/3a/60x45/bc3a1e12.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF0000 | 720 000 |  2012  |  15 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007239631-82d24 | http://is18.auto.ru/all/images/14/56/60x45/1456c3c2.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 350 000 |  2008  |  118 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Белгород | 22.01.15
1007239141-a081 | http://is6.auto.ru/all/images/71/35/60x45/7135b7d6.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 845 000 |  2014  |  30 945 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007026843-f0fcb | http://is8.auto.ru/all/images/c8/c8/60x45/c8c86529.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #9966CC | 420 000 |  2007  |  98 000 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 22.01.15
1006880217-74ae0 | http://is7.auto.ru/all/images/fc/06/60x45/fc067a2e.jpg |  Kia Cee'd II1.6 MT (135 л.с.)  | #ffefd5 | 585 000 |  2013  |  46 000 км  |  1.6 MT (135 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1003195356-dc971 | http://is13.auto.ru/all/images/95/5b/60x45/955bc2b6.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 580 000 |  2011  |  66 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006306557-4a0c9 | http://is9.auto.ru/all/images/04/d7/60x45/04d753b9.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 450 000 |  2008  |  100 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007238209-cb0c40 | http://is5.auto.ru/all/images/93/38/60x45/9338c85f.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #ffefd5 | 475 000 |  2008  |  63 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Орехово-Зуево | 22.01.15
1006565025-269817 | http://is4.auto.ru/all/images/9a/62/60x45/9a62f297.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 545 000 |  2011  |  64 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Сергиев Посад | 22.01.15
1007184621-4680ae | http://is6.auto.ru/all/images/1b/65/60x45/1b65bc32.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 542 000 |  2011  |  65 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007237749-5280 | http://is13.auto.ru/all/images/2c/46/60x45/2c46a5d4.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #CACECB | 639 990 |  2014  |  1 500 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1006978581-25f3 | http://is8.auto.ru/all/images/a1/67/60x45/a1670eef.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFCC00 | 700 000 |  2013  |  9 800 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007237317-37dd | http://is15.auto.ru/all/images/db/40/60x45/db404826.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #CACECB | 461 422 |  2009  |  85 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007237305-765b45 | http://is10.auto.ru/all/images/60/e7/60x45/60e7ebc7.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 463 155 |  2009  |  95 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007152741-1b33 | http://is9.auto.ru/all/images/ed/d7/60x45/edd7a42c.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #FF0000 | 533 333 |  2009  |  75 325 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007166763-3fd7 | http://is5.auto.ru/all/images/b3/7f/60x45/b37f39be.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #000000 | 650 000 |  2011  |  60 000 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007237291-b52b4 | http://is14.auto.ru/all/images/17/55/60x45/1755d1c0.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 545 000 |  2012  |  35 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007183961-37cd | http://is6.auto.ru/all/images/a2/92/60x45/a2929b3f.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 730 000 |  2013  |  35 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Набережные Челны | 22.01.15
34722742-aab177 | http://is8.auto.ru/all/images/c4/df/60x45/c4df8573.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 405 000 |  2007  |  83 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007186381-3444 | http://is15.auto.ru/all/images/43/84/60x45/438476cd.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 580 000 |  2012  |  52 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005976517-a3838c | http://is3.auto.ru/all/images/2a/5f/60x45/2a5f2bf2.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 899 999 |  2015  |  5 153 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005514093-b45e6 | http://is10.auto.ru/all/images/9b/a5/60x45/9ba59dc9.jpg |  Kia Cee'd II1.6 AT (135 л.с.)  | #926547 | 752 754 |  2012  |  72 000 км  |  1.6 AT (135 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006739239-7fdc | http://is3.auto.ru/all/images/72/58/60x45/7258ded1.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 520 000 |  2011  |  50 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007234303-b661 | http://is4.auto.ru/all/images/96/3b/60x45/963b9989.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 734 000 |  2013  |  23 700 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006750999-d394 | http://is4.auto.ru/all/images/88/2a/60x45/882aa3cd.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 699 000 |  2012  |  43 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007234227-b756 | http://is12.auto.ru/all/images/5f/8f/60x45/5f8f003e.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 590 000 |  2011  |  40 800 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006685845-15a7 | http://is6.auto.ru/all/images/1f/ba/60x45/1fba7b2f.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FFFFFF | 550 000 |  2009  |  65 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006863753-f90a3 | http://is14.auto.ru/all/images/2b/67/60x45/2b67c633.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 444 444 |  2010  |  52 784 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007233231-b23d | http://is13.auto.ru/all/images/89/ae/60x45/89ae2577.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 749 000 |  2013  |  26 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Челябинск | 22.01.15
1007101541-97a2 | http://is12.auto.ru/all/images/45/1c/60x45/451ceb0d.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #0000FF | 509 000 |  2010  |  62 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
1007102133-6bfc0 | http://is16.auto.ru/all/images/e8/87/60x45/e887c38a.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #ffefd5 | 509 000 |  2011  |  65 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
1005246181-f2741 | http://is15.auto.ru/all/images/6a/34/60x45/6a34949b.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #ffefd5 | 1 020 000 |  2014  |  25 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007233761-88f04 | http://is14.auto.ru/all/images/a1/0a/60x45/a10abcda.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 583 000 |  2012  |  35 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Уфа | 22.01.15
1003205630-fbc9c | http://is4.auto.ru/all/images/26/d9/60x45/26d93702.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 507 000 |  2011  |  43 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
45531394-4981e2 | http://is1.auto.ru/all/images/36/6f/60x45/366f7868.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #9c9999 | 425 000 |  2009  |  42 000 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Москва | 22.01.15
49916000-b4d6 | http://is8.auto.ru/all/images/58/ba/60x45/58bad3bc.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #926547 | 427 000 |  2009  |  42 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007154323-e004a | http://is15.auto.ru/all/images/9f/f8/60x45/9ff824b0.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 539 000 |  2010  |  38 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007167395-4946 | http://is8.auto.ru/all/images/28/61/60x45/286188ca.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 545 000 |  2010  |  66 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006743613-f6d3a | http://is15.auto.ru/all/images/5d/2c/60x45/5d2c39cc.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 514 000 |  2011  |  63 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005184707-61d081 | http://is18.auto.ru/all/images/b3/95/60x45/b395ba76.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #0000FF | 450 000 |  2010  |  160 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Дубна | 22.01.15
1007233173-9b395b | http://is4.auto.ru/all/images/2d/0e/60x45/2d0e43ae.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 450 000 |  2009  |  43 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Казань | 22.01.15
1007232499-cc35f | http://is18.auto.ru/all/images/08/2a/60x45/082a40ca.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CC0033 | 696 000 |  2012  |  27 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007047285-1c78f7 | http://is5.auto.ru/all/images/ac/98/60x45/ac98b7e1.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 595 000 |  2014  |  5 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007101639-0b16db | http://is6.auto.ru/all/images/3b/94/60x45/3b948b23.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #0000FF | 550 000 |  2010  |  72 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007231559-4b37 | http://is7.auto.ru/all/images/2b/aa/60x45/2baa5e66.jpg |  Kia Cee'd I Рестайлинг2.0 MT (143 л.с.)  | #9c9999 | 495 000 |  2010  |  31 475 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007224745-8b8c | http://is16.auto.ru/all/images/f8/59/60x45/f8596df4.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 479 000 |  2009  |  114 339 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005013955-772b5 | http://is7.auto.ru/all/images/90/5c/60x45/905c34cc.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 435 000 |  2007  |  146 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1004970397-d06b66 | http://is17.auto.ru/all/images/a7/5c/60x45/a75c648c.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #0088ff | 522 500 |  2009  |  77 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007231713-6133bd | http://is17.auto.ru/all/images/b2/6b/60x45/b26bd37a.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 685 000 |  2013  |  46 500 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006461063-e376 | http://is6.auto.ru/all/images/f6/1d/60x45/f61dc353.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #34ba2b | 430 000 |  2009  |  100 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007189345-0113e5 | http://is10.auto.ru/all/images/37/f8/60x45/37f86315.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #9c9999 | 760 000 |  2014  |  9 400 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007229553-0fe5 | http://is17.auto.ru/all/images/5f/1e/60x45/5f1e4392.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #9c9999 | 408 000 |  2008  |  97 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007230269-07eb | http://is17.auto.ru/all/images/f9/6d/60x45/f96dc545.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FF0000 | 490 000 |  2010  |  58 913 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007229873-e270a1 | http://is18.auto.ru/all/images/9b/87/60x45/9b87dca4.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #9c9999 | 580 000 |  2013  |  50 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007228863-9b0b02 | http://is2.auto.ru/all/images/c8/91/60x45/c891fefb.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF0000 | 930 000 |  2014  |  5 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007228023-0c1ef | http://is3.auto.ru/all/images/4f/d0/60x45/4fd0e438.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 495 000 |  2010  |  48 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007228051-13d2ff | http://is18.auto.ru/all/images/63/c0/60x45/63c0dbce.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 375 000 |  2007  |  89 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007227577-0fd6c8 | http://is13.auto.ru/all/images/c0/82/60x45/c082637e.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FF0000 | 477 000 |  2011  |  70 216 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007226359-5293 | http://is9.auto.ru/all/images/5c/99/60x45/5c996745.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 458 000 |  2010  |  91 300 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007226197-15879 | http://is13.auto.ru/all/images/b9/74/60x45/b9745a36.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 410 000 |  2009  |  66 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225391-413e52 | http://is9.auto.ru/all/images/90/ed/60x45/90ed422c.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 440 000 |  2009  |  65 461 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007225281-1a55a3 | http://is11.auto.ru/all/images/c0/8c/60x45/c08c5429.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 419 888 |  2009  |  88 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007225449-54464e | http://is17.auto.ru/all/images/d6/76/60x45/d676f4b8.jpg |  Kia Cee'd I1.6d AT (115 л.с.)  | #0000FF | 419 888 |  2008  |  120 000 км  |  1.6d AT (115 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 22.01.15
1007224031-ae3a7 | http://is5.auto.ru/all/images/3d/ff/60x45/3dff64c7.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 410 000 |  2009  |  90 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223427-38fb | http://is17.auto.ru/all/images/8d/f2/60x45/8df293b4.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 385 000 |  2010  |  55 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007223889-3b94 | http://is7.auto.ru/all/images/fb/fe/60x45/fbfef862.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 490 000 |  2011  |  65 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007222743-d89d | http://is7.auto.ru/all/images/b4/13/60x45/b4130c5e.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #ffefd5 | 459 999 |  2010  |  60 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Тюмень | 22.01.15
1007220041-07ff5b | http://is14.auto.ru/all/images/cc/8d/60x45/cc8dc27d.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FFCC00 | 427 350 |  2009  |  62 098 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1006989849-d7747e | http://is2.auto.ru/all/images/b2/05/60x45/b205a33b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 620 000 |  2010  |  95 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007219835-e69e | http://is9.auto.ru/all/images/7e/30/60x45/7e30d5b0.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #926547 | 625 000 |  2013  |  16 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007218879-9c6e6 | http://is4.auto.ru/all/images/da/98/60x45/da983ba6.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #0000FF | 689 900 |  2014  |  35 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007218213-8318 | http://is18.auto.ru/all/images/a0/23/60x45/a02317e8.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #0000FF | 629 888 |  2013  |  23 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007215293-dd93 | http://is3.auto.ru/all/images/2d/43/60x45/2d430c97.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #0000FF | 399 000 |  2009  |  51 828 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007214617-5ac31f | http://is10.auto.ru/all/images/c2/b9/60x45/c2b97fe9.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #CACECB | 426 000 |  2010  |  92 300 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
1007214597-c75ed | http://is3.auto.ru/all/images/df/d2/60x45/dfd2f168.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 475 000 |  2010  |  110 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Тула | 22.01.15
