1003758136-b9f65c | http://is15.auto.ru/all/images/df/91/60x45/df91b079.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 750 000 |  2011  |  55 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007231185-f2aa | http://is9.auto.ru/all/images/02/db/60x45/02db0dc0.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 477 777 |  2010  |  56 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007156547-6019ed | http://is14.auto.ru/all/images/cb/fa/60x45/cbfab678.jpg |  Toyota Corolla VIII (E110)1.5 AT (100 л.с.)  | #FFCC00 | 133 333 Правый руль |  1997  |  137 685 км  |  1.5 AT (100 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007156543-5359 | http://is18.auto.ru/all/images/60/45/60x45/60454e9b.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 311 111 |  2005  |  67 023 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007154633-207a2d | http://is17.auto.ru/all/images/3e/89/60x45/3e89c8c5.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 422 222 |  2009  |  67 896 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007156425-a034 | http://is17.auto.ru/all/images/db/d7/60x45/dbd7b199.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 429 999 |  2008  |  67 456 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006627623-52c5b | http://is2.auto.ru/all/images/cb/08/60x45/cb08a8ed.jpg |  Toyota Corolla VII (E100) Ceres1.5 AT (105 л.с.)  | #FF0000 | 130 000 Правый руль |  1993  |  320 000 км  |  1.5 AT (105 л.с.)седан-хардтоп, бензин, передний  | Москва | 22.01.15
1007249189-2db8f7 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #0000FF | 649 000 |  2011  |  67 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Курск | 22.01.15
1007248417-25e7c | http://is12.auto.ru/all/images/f0/63/60x45/f063f981.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #0088ff | 495 000 |  2008  |  85 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Моршанск | 22.01.15
1007157319-9dbe63 | http://is8.auto.ru/all/images/67/5e/60x45/675e5154.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #000000 | 340 000 |  2005  |  193 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007112795-eeae | http://is15.auto.ru/all/images/26/a3/60x45/26a3ebc7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #0088ff | 399 999 |  2006  |  130 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Троицк | 22.01.15
1007248907-0fe678 | http://is9.auto.ru/all/images/1d/4e/60x45/1d4ed44b.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 420 000 |  2005  |  134 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Краснодар | 22.01.15
1007248787-2e5721 | http://is18.auto.ru/all/images/84/2a/60x45/842ad772.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 470 000 |  2007  |  100 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007103731-abe5 | http://is11.auto.ru/all/images/5e/ad/60x45/5ead0338.jpg |  Toyota Corolla V (E80)1.6 MT (73 л.с.)  | #FFFFFF | 60 000 |  1985  |  370 000 км  |  1.6 MT (73 л.с.)хэтчбек, бензин, передний  | Новомосковск | 22.01.15
1007248409-37c6 | http://is3.auto.ru/all/images/91/8a/60x45/918ad1ea.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #000000 | 450 000 |  2011  |  45 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Ковров | 22.01.15
1007231321-a16ef6 | http://is7.auto.ru/all/images/54/26/60x45/5426f995.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #9c9999 | 1 033 333 |  2014  |  15 500 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007238493-36ba0a | http://is17.auto.ru/all/images/ac/01/60x45/ac0193f4.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 569 000 |  2010  |  127 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007248179-d87453 | http://is17.auto.ru/all/images/f3/f3/60x45/f3f31f76.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 525 000 |  2008  |  98 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ростов-на-Дону | 22.01.15
1007242307-3fc174 | http://is2.auto.ru/all/images/cd/c1/60x45/cdc1ccce.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 357 000 |  2006  |  145 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Череповец | 22.01.15
1002166099-7b0d | http://is3.auto.ru/all/images/fb/8c/60x45/fb8c63df.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 510 000 |  2007  |  51 600 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Тверь | 22.01.15
1007246641-48e6 | http://is4.auto.ru/all/images/9b/27/60x45/9b27428d.jpg |  Toyota Corolla VI (E90)1.3 MT (75 л.с.) i  | #FF0000 | 50 000 |  1989  |  318 000 км  |  1.3 MT (75 л.с.) iхэтчбек, бензин, передний  | Смоленск | 22.01.15
1007247539-141f | http://is11.auto.ru/all/images/d3/46/60x45/d346ceeb.jpg |  Toyota Corolla IX (E120, E130) Fielder1.5 AT (110 л.с.)  | #CACECB | 330 000 Правый руль |  2003  |  283 000 км  |  1.5 AT (110 л.с.)универсал, бензин, передний  | Астрахань | 22.01.15
1007180651-5946 | http://is16.auto.ru/all/images/e4/37/60x45/e43721f5.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #0000FF | 520 000 |  2008  |  93 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007247403-5773 | http://is15.auto.ru/all/images/a4/4c/60x45/a44c68ac.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #FFFFFF | 1 150 000 |  2014  |  1 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Пятигорск | 22.01.15
1007246319-4fbd | http://is3.auto.ru/all/images/30/3b/60x45/303bf733.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 850 000 |  2013  |  16 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Архангельск | 22.01.15
1006801521-ef6e60 | http://is4.auto.ru/all/images/27/88/60x45/2788d255.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #34ba2b | 420 000 |  2006  |  120 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007247181-b23c | http://is14.auto.ru/all/images/6e/17/60x45/6e175e66.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #CACECB | 433 333 |  2009  |  92 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007242267-4e4276 | http://is9.auto.ru/all/images/d0/e8/60x45/d0e845a7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 355 000 |  2006  |  978 659 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242323-abcec9 | http://is12.auto.ru/all/images/c9/b8/60x45/c9b827f3.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #000000 | 355 000 |  2004  |  99 876 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005447507-90f6 | http://is11.auto.ru/all/images/06/5f/60x45/065f6c3d.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 800 000 |  2011  |  42 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Набережные Челны | 22.01.15
1006878569-ed01 | http://is2.auto.ru/all/images/2c/c7/60x45/2cc779c7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 280 000 |  2004  |  126 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Владимир | 22.01.15
1007246723-54a7 | http://is14.auto.ru/all/images/97/19/60x45/97195fd0.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #0000FF | 459 888 |  2007  |  145 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007049201-131086 | http://is18.auto.ru/all/images/25/2d/60x45/252d528a.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #0000FF | 725 000 |  2011  |  37 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007246163-50c587 | http://is9.auto.ru/all/images/c9/97/60x45/c997515b.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 375 000 |  2005  |  109 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007246031-eb52 | http://is6.auto.ru/all/images/d7/21/60x45/d7215b39.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 725 000 |  2010  |  65 124 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
7850302-c5833a | http://is6.auto.ru/all/images/e5/7c/60x45/e57c6621.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 468 986 |  2007  |  107 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007177265-d0e1f | http://is8.auto.ru/all/images/ed/c3/60x45/edc32d02.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 320 000 |  2004  |  120 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007241511-cb57b2 | http://is10.auto.ru/all/images/e3/fe/60x45/e3fe3ba7.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 750 000 |  2011  |  32 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007116571-6f8a8 | http://is4.auto.ru/all/images/fe/90/60x45/fe908bd9.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #FFFFFF | 600 000 |  2011  |  109 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Крымск | 22.01.15
1006461379-9de3 | http://is13.auto.ru/all/images/47/b5/60x45/47b5ad7a.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 480 000 |  2008  |  41 200 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007116447-e13cd1 | http://is11.auto.ru/all/images/d3/e0/60x45/d3e0531d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 460 000 |  2008  |  145 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
48269910-5fed6 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla XI (E160, E170)1.3 MT (99 л.с.)  | #FFFFFF | 790 000 |  2014  |  9 500 км  |  1.3 MT (99 л.с.)седан, бензин, передний  | Киров | 22.01.15
1007241703-44fb88 | http://is6.auto.ru/all/images/f0/cb/60x45/f0cbaf52.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 400 000 |  2011  |  42 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Владимир | 22.01.15
1006312967-0383b | http://is2.auto.ru/all/images/9b/5c/60x45/9b5c9fde.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #CACECB | 410 000 |  2007  |  103 900 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007242491-1227a | http://is13.auto.ru/all/images/da/7c/60x45/da7cd39f.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 450 000 |  2008  |  123 000 км  |  1.6 MT (124 л.с.)универсал, бензин, передний  | Покров | 22.01.15
1007241941-9ebe4 | http://is8.auto.ru/all/images/dc/7f/60x45/dc7f625b.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #9c9999 | 400 000 |  2006  |  146 620 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240733-a678 | http://is14.auto.ru/all/images/a5/be/60x45/a5beb15e.jpg |  Toyota Corolla VIII (E110) Рестайлинг1.6 AT (108 л.с.)  | #000000 | 215 000 Правый руль |  1999  |  250 000 км  |  1.6 AT (108 л.с.)универсал, бензин, передний  | Воронеж | 22.01.15
1007241839-ba02a9 | http://is5.auto.ru/all/images/f2/0b/60x45/f20b9512.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #34ba2b | 355 000 |  2004  |  160 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007101587-8603b | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla XI (E160, E170)1.8 CVT (140 л.с.)  | #FFFFFF | 1 100 000 |  2014  |  1 км  |  1.8 CVT (140 л.с.)седан, бензин, передний  | Пятигорск | 22.01.15
1007238653-e0788 | http://is18.auto.ru/all/images/db/82/60x45/db825a75.jpg |  Toyota Corolla VIII (E110) Levin1.6 MT (165 л.с.)  | #FFFFFF | 320 000 Правый руль |  1996  |  152 000 км  |  1.6 MT (165 л.с.)купе, бензин, передний  | Москва | 22.01.15
1006368587-5bde2c | http://is7.auto.ru/all/images/8d/f5/60x45/8df5c8c4.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #000000 | 750 000 |  2012  |  34 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007169445-b5c3 | http://is3.auto.ru/all/images/a0/c3/60x45/a0c3c636.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 450 000 |  2007  |  106 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007240483-b95d19 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 480 000 |  2008  |  46 062 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007239777-bcd473 | http://is5.auto.ru/all/images/5a/0a/60x45/5a0a145e.jpg |  Toyota Corolla VIII (E110)1.3 AT (85 л.с.)  | #34ba2b | 200 000 |  1998  |  200 000 км  |  1.3 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004645789-1dac9 | http://is2.auto.ru/all/images/a1/cd/60x45/a1cdcb47.jpg |  Toyota Corolla IX (E120, E130) Рестайлингd MT  | #FFFFFF | 385 000 |  2007  |  125 000 км  |  d MTхэтчбек, дизель, передний  | Москва | 22.01.15
1007104453-2c0d5 | http://is17.auto.ru/all/images/34/1d/60x45/341dd4cc.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 460 000 |  2008  |  120 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Клинцы | 22.01.15
1007115307-c68f | http://is7.auto.ru/all/images/1c/82/60x45/1c82f1ab.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 477 000 |  2009  |  70 254 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005706141-5fe7 | http://is13.auto.ru/all/images/02/8b/60x45/028b5908.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 530 000 |  2005  |  122 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006410475-e6103 | http://is18.auto.ru/all/images/e8/2b/60x45/e82b2277.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0088ff | 730 000 |  2010  |  38 458 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007046675-b0294e | http://is15.auto.ru/all/images/a0/fb/60x45/a0fb11bf.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 650 000 |  2008  |  107 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007238119-f7fb | http://is4.auto.ru/all/images/70/20/60x45/70207876.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 640 000 |  2011  |  65 413 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007171287-e208 | http://is8.auto.ru/all/images/1d/99/60x45/1d99edaf.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #9c9999 | 730 000 |  2012  |  54 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Тюмень | 22.01.15
1007237441-2feec5 | http://is5.auto.ru/all/images/c1/50/60x45/c150270a.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 520 000 |  2008  |  120 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Смоленск | 22.01.15
1007236475-5d439 | http://is5.auto.ru/all/images/cb/d8/60x45/cbd831d4.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 365 000 |  2006  |  98 712 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237117-77f0 | http://is6.auto.ru/all/images/bd/b7/60x45/bdb7b842.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #9c9999 | 449 990 |  2006  |  183 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1004549025-40b78 | http://is5.auto.ru/all/images/a5/e8/60x45/a5e8220d.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #FFFFFF | 900 000 |  2014  |  13 000 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1007236603-dbb02a | http://is1.auto.ru/all/images/43/c7/60x45/43c7b091.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #9966CC | 250 000 |  2003  |  180 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 22.01.15
1007236597-baaa26 | http://is5.auto.ru/all/images/eb/4a/60x45/eb4adf2e.jpg |  Toyota Corolla VII (E100)1.6 AT (114 л.с.)  | #FFFFFF | 149 000 |  1994  |  320 000 км  |  1.6 AT (114 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007236477-8da7 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla VII (E100) Levin1.6 MT (160 л.с.)  | #000000 | 130 000 Правый руль |  1993  |  150 000 км  |  1.6 MT (160 л.с.)седан, бензин, передний  | Череповец | 22.01.15
1007236239-8782a3 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #000000 | 700 000 |  2011  |  98 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Ульяновск | 22.01.15
1007236153-bbb1 | http://is6.auto.ru/all/images/96/1b/60x45/961b9bfc.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 479 000 |  2007  |  120 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1004908661-95dc | http://is9.auto.ru/all/images/0c/22/60x45/0c22f31e.jpg |  Toyota Corolla VII (E100) Ceres1.6 AT (110 л.с.)  | #CACECB | 145 000 Правый руль |  1993  |  225 683 км  |  1.6 AT (110 л.с.)седан-хардтоп, бензин, передний  | Челябинск | 22.01.15
1007035039-9f2811 | http://is5.auto.ru/all/images/a4/48/60x45/a448ac0a.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 250 000 |  2003  |  200 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004816555-3dc0 | http://is10.auto.ru/all/images/70/bf/60x45/70bf748c.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #CACECB | 525 000 |  2008  |  110 379 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Челябинск | 22.01.15
1006632667-72aaa1 | http://is12.auto.ru/all/images/a4/b1/60x45/a4b14036.jpg |  Toyota Corolla VIII (E110)1.6 MT (110 л.с.)  | #0000FF | 165 000 |  1998  |  220 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007235629-6e8a2 | http://is2.auto.ru/all/images/f1/19/60x45/f1190182.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #000000 | 390 000 |  2006  |  130 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007109147-f953 | http://is9.auto.ru/all/images/ec/7e/60x45/ec7e2b2a.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #CACECB | 715 000 |  2011  |  41 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007234087-73f839 | http://is6.auto.ru/all/images/03/1c/60x45/031c95b3.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 490 000 |  2008  |  94 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007234923-a05c40 | http://is16.auto.ru/all/images/14/da/60x45/14da5647.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #CACECB | 950 000 |  2014  |  4 000 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Вологда | 22.01.15
1007234841-f3a162 | http://is17.auto.ru/all/images/dc/30/60x45/dc301d77.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #000000 | 749 900 |  2011  |  52 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007234759-6478 | http://is11.auto.ru/all/images/89/cc/60x45/89cc16f7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 349 900 |  2005  |  120 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1005650053-17f5 | http://is3.auto.ru/all/images/db/45/60x45/db4560ed.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #CACECB | 300 000 |  2003  |  190 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1007234825-f18a | http://is13.auto.ru/all/images/39/06/60x45/3906e4e6.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #0088ff | 400 000 |  2007  |  91 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Пушкино | 22.01.15
1007234343-a1681 | http://is15.auto.ru/all/images/da/53/60x45/da534a29.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #FFFFFF | 579 000 |  2013  |  20 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1007234349-6804 | http://is8.auto.ru/all/images/17/e5/60x45/17e5e5e9.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #FFFFFF | 579 000 |  2013  |  20 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
45761368-96bd | http://is4.auto.ru/all/images/f0/ae/60x45/f0ae8589.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #CACECB | 379 000 |  2006  |  65 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Ижевск | 22.01.15
1007234239-854dbf | http://is14.auto.ru/all/images/9c/a7/60x45/9ca722e8.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 410 000 |  2007  |  10 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Вельск | 22.01.15
1000358275-09cbb | http://is9.auto.ru/all/images/43/b2/60x45/43b23e9f.jpg |  Toyota Corolla VII (E100)1.3 MT (88 л.с.)  | #FF0000 | 85 000 |  1994  |  100 000 км  |  1.3 MT (88 л.с.)седан, бензин, передний  | Рязань | 22.01.15
44951036-f8bf7e | http://is11.auto.ru/all/images/d5/77/60x45/d577160d.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #9c9999 | 375 000 |  2006  |  110 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233901-7598a | http://is3.auto.ru/all/images/0c/78/60x45/0c789457.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #FF0000 | 365 000 |  2005  |  137 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007095659-b9c7 | http://is17.auto.ru/all/images/95/43/60x45/95434c25.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #000000 | 810 000 |  2014  |  7 000 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Москва | 22.01.15
44393930-1a7b4 | http://is11.auto.ru/all/images/08/f8/60x45/08f8e3ba.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 480 000 |  2008  |  65 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006309511-130b9 | http://is7.auto.ru/all/images/ca/ce/60x45/cacea214.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 510 000 |  2009  |  57 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233569-306f | http://is3.auto.ru/all/images/38/6e/60x45/386ebd1e.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 399 000 |  2006  |  116 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007233095-264dc9 | http://is13.auto.ru/all/images/ab/57/60x45/ab5745ce.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 540 000 |  2009  |  87 580 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007053359-3b19 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #000000 | 900 000 |  2014  |  1 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Самара | 22.01.15
